Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,206,0.9879479161833078,0.09999999999999998,0.6625585440966536,0.01685526332448568,0.5,0.2,9.348380095696738,9.348380095696738,0.8,0.75,0.75,1,0.0,0.0012065742022397872,1.0
1,203,0.9855452287458104,0.09999999999999998,0.6667576011201786,0.03334882845508521,1.0,0.2,10.588258525909705,19.93663862160644,0.8,0.75,0.75,1,0.0,0.0030257260005032076,1.0
2,197,0.987789491170696,0.09999999999999998,0.6742408592942566,0.03280089573994176,1.0,0.2,10.465615177924768,30.40225379953121,0.8,0.75,0.75,1,0.0,0.009714902619748127,1.0
3,193,0.9840630049006408,0.09999999999999998,0.6775391996474809,0.03217026583085338,1.0,0.2,10.337140205431611,40.73939400496282,0.8,0.75,0.75,1,0.0,0.015794235845047175,1.0
4,194,0.9849691732900173,0.09999999999999998,0.6793114333259785,0.032451389813142974,1.0,0.2,10.282381614975497,51.02177561993832,0.8,0.75,0.75,1,0.0,0.01813187337823818,1.0
5,197,0.9859008770540765,0.09999999999999998,0.6825755304446518,0.033142876845460904,1.0,0.2,10.261220559282346,61.28299617922066,0.8,0.75,0.75,1,0.0,0.02653392816340725,1.0
6,195,0.9882543157158828,0.09999999999999998,0.6881091274201915,0.033151307224254106,1.0,0.2,10.186176206620276,71.46917238584093,0.8,0.75,0.75,1,0.0,0.02916555856018434,1.0
7,194,0.9843861214609928,0.09999999999999998,0.6926904984144845,0.033070933285695145,1.0,0.2,10.104780913704499,81.57395329954544,0.8,0.75,0.75,1,0.0,0.031229952198603306,1.0
8,192,0.9835214664924056,0.09999999999999998,0.7003108241552359,0.033060994981135815,1.0,0.2,10.02976638451761,91.60371968406305,0.8,0.75,0.75,1,0.0,0.03481706804472067,1.0
9,192,0.9812472578953185,0.09999999999999998,0.7018214001050079,0.03305569557049403,1.0,0.2,9.95586145218636,101.5595811362494,0.8,0.75,0.75,1,0.0,0.041097317484957124,1.0
10,196,0.9806602454323589,0.09999999999999998,0.7040695235338666,0.03383219659575811,1.0,0.2,9.945231439166585,111.504812575416,0.8,0.75,0.75,1,0.0,0.054614294522307566,1.0
11,193,0.9856568827942543,0.09999999999999998,0.7096013740196625,0.03374718283003722,1.0,0.2,9.866404453708482,121.37121702912448,0.8,0.75,0.75,1,0.0,0.05706146934178312,1.0
12,189,0.9877506093157237,0.09999999999999998,0.7204764503822432,0.03362551224776213,1.0,0.2,9.785361586942047,131.15657861606653,0.8,0.75,0.75,1,0.0,0.05921446852385048,1.0
13,194,0.9854892489373764,0.09999999999999998,0.7189989174314679,0.03436543660162671,1.0,0.2,9.773955524676802,140.93053414074333,0.8,0.75,0.75,1,0.0,0.06298721249503343,1.0
14,199,0.9826304882346764,0.09999999999999998,0.7195920231652202,0.03517787978736779,1.0,0.2,9.769053418828952,150.69958755957228,0.8,0.75,0.75,1,0.0,0.06952303778615175,1.0
15,199,0.987020582480987,0.09999999999999998,0.721725264688514,0.03543979513441905,1.0,0.2,9.720804813923468,160.42039237349576,0.8,0.75,0.75,1,0.0,0.07663137037538548,1.0
16,205,0.981580158606282,0.09999999999999998,0.7185819250781766,0.036148970199479505,1.0,0.2,9.70902533701406,170.1294177105098,0.8,0.75,0.75,1,0.0,0.08112021747141507,1.0
17,210,0.9814841211347239,0.09999999999999998,0.7166660912856031,0.03692831040950667,1.0,0.2,9.703540798312124,179.83295850882195,0.8,0.75,0.75,1,0.0,0.08618987607309227,1.0
18,203,0.986786824220747,0.09999999999999998,0.7164800797526746,0.03588091495271589,1.0,0.2,9.552593015149947,189.38555152397188,0.8,0.75,0.75,1,0.0,0.09869815878652952,1.0
19,212,0.9831870006941926,0.09999999999999998,0.7125392093806043,0.03712964227184017,1.0,0.2,9.586002412261394,198.97155393623328,0.8,0.75,0.75,1,0.0,0.10271464149645976,1.0
20,213,0.9835333428655396,0.09999999999999998,0.7102039762009749,0.037195619736662515,1.0,0.2,9.525453830202473,208.49700776643576,0.8,0.75,0.75,1,0.0,0.1049483106513387,1.0
21,212,0.9820642153415785,0.09999999999999998,0.711478930768606,0.03703205388749883,1.0,0.2,9.447196839617924,217.9442046060537,0.8,0.75,0.75,1,0.0,0.10752744504860416,1.0
22,214,0.9805751125586626,0.09999999999999998,0.7089578167213799,0.03719247191480373,1.0,0.2,9.395506915392664,227.33971152144636,0.8,0.75,0.75,1,0.0,0.10859362471413618,1.0
23,216,0.9857553313166887,0.09999999999999998,0.7082414921124738,0.037700252642316114,1.0,0.2,9.372247943358452,236.7119594648048,0.8,0.75,0.75,1,0.0,0.11421517105503382,1.0
24,217,0.9824480408703262,0.09999999999999998,0.711742078510168,0.0379342913770729,1.0,0.2,9.327725285923513,246.03968475072833,0.8,0.75,0.75,1,0.0,0.11889055505366007,1.0
25,221,0.9865822328992436,0.09999999999999998,0.7099919713681251,0.03870071691102277,1.0,0.2,9.326422735254052,255.36610748598238,0.8,0.75,0.75,1,0.0,0.13354517251279138,1.0
26,224,0.9827553486851311,0.09999999999999998,0.7099702226617534,0.03907271388876865,1.0,0.2,9.294189033699109,264.6602965196815,0.8,0.75,0.75,1,0.0,0.13984912418668027,1.0
27,220,0.9851152921004075,0.09999999999999998,0.7150295007602603,0.038741257252601885,1.0,0.2,9.206296170591703,273.8665926902732,0.8,0.75,0.75,1,0.0,0.14698556053347708,1.0
28,220,0.980235213255328,0.09999999999999998,0.7188097125990277,0.038753142555573,1.0,0.2,9.146481205144646,283.01307389541785,0.8,0.75,0.75,1,0.0,0.15429764936481655,1.0
29,221,0.9843264474291019,0.09999999999999998,0.7264912500030056,0.03950952645400918,1.0,0.2,9.146830548709813,292.1599044441277,0.8,0.75,0.75,1,0.0,0.16056514540104005,1.0
30,222,0.9815444509901133,0.09999999999999998,0.7243258139851384,0.03945816808014354,1.0,0.2,9.083159366473057,301.24306381060075,0.8,0.75,0.75,1,0.0,0.1641379159835771,1.0
31,224,0.9838141075161488,0.09999999999999998,0.7194691850469209,0.03963814031364923,1.0,0.2,9.038587238297724,310.2816510488985,0.8,0.75,0.75,1,0.0,0.1669896765869511,1.0
32,223,0.9855973514206586,0.09999999999999998,0.7131467745698338,0.03918531314960441,1.0,0.2,8.943978137135655,319.22562918603415,0.8,0.75,0.75,1,0.0,0.16887726689055546,1.0
33,227,0.9875091423852719,0.09999999999999998,0.7123236435256567,0.03991943176059039,1.0,0.2,8.944905203797466,328.17053438983163,0.8,0.75,0.75,1,0.0,0.1698555132836354,1.0
34,230,0.9863252289731105,0.09999999999999998,0.7132020110356655,0.04044832536823305,1.0,0.2,8.929989465644232,337.10052385547584,0.8,0.75,0.75,1,0.0,0.1734228970864878,1.0
35,227,0.9868017440379466,0.09999999999999998,0.7122978227744455,0.03988938964248348,1.0,0.2,8.828617190314779,345.92914104579063,0.8,0.75,0.75,1,0.0,0.1785276227408683,1.0
36,234,0.9803915210134203,0.09999999999999998,0.7122130778841687,0.040847488268681814,1.0,0.2,8.849170844489302,354.77831189027995,0.8,0.75,0.75,1,0.0,0.18093992735822784,1.0
37,230,0.9867324882365035,0.09999999999999998,0.7127248671490802,0.04043795494142749,1.0,0.2,8.7608726381374,363.53918452841737,0.8,0.75,0.75,1,0.0,0.18768058788288117,1.0
38,237,0.9875251824955739,0.09999999999999998,0.7105461270137933,0.04157466997973605,1.0,0.2,8.796826316675961,372.3360108450933,0.8,0.75,0.75,1,0.0,0.19199478239571954,1.0
39,242,0.9924712566719357,0.09999999999999998,0.7098179431655227,0.042620671316737385,1.0,0.2,8.826070045589328,381.16208089068266,0.8,0.75,0.75,1,0.0,0.1932008263813279,1.0
40,242,0.9846695383941422,0.09999999999999998,0.7065462620599928,0.042090732193861544,1.0,0.2,8.729780666221773,389.8918615569044,0.8,0.75,0.75,1,0.0,0.19517929530304634,1.0
41,244,0.9906189147122523,0.09999999999999998,0.7060665691284512,0.04266601680390242,1.0,0.2,8.722445133244976,398.6143066901494,0.8,0.75,0.75,1,0.0,0.20842625537796472,1.0
42,243,0.9867620335220901,0.09999999999999998,0.7054151315161155,0.042286669831364754,1.0,0.2,8.639270275947787,407.2535769660972,0.8,0.75,0.75,1,0.0,0.21711699146235666,1.0
43,244,0.9861312188189663,0.09999999999999998,0.7020448910419139,0.04223081142819625,1.0,0.2,8.582500048327685,415.8360770144249,0.8,0.75,0.75,1,0.0,0.22717144567461686,1.0
44,239,0.98956422642048,0.09999999999999998,0.7045166542461384,0.041655577558075634,1.0,0.2,8.484700396983776,424.3207774114087,0.8,0.75,0.75,1,0.0,0.22899797070737618,1.0
45,246,0.990968589558724,0.09999999999999998,0.7000765393513853,0.04266586243822798,1.0,0.2,8.514256909821906,432.8350343212306,0.8,0.75,0.75,1,0.0,0.23359707676362215,1.0
