Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,199,0.05673159267692335,0.04999999999999999,0.6639703965036834,0.0003373178183420611,0.01,0.9,8.026836794232745,8.026836794232745,0.9,0.0,0.0,1,0.0,0.005510499822986751,1.0
1,201,0.2570351217395105,0.04999999999999999,0.6792813933153451,0.15792495435389248,1.0,0.9,20.554190884080672,28.58102767831342,0.9,0.0,0.0,1,0.0,0.13347444012728707,1.0
2,205,0.12947260431319302,0.04999999999999999,0.6922711319267534,0.08268380999994036,1.0,0.9,14.456115982427775,43.037143660741194,0.9,0.0,0.0,1,0.0,0.2961591781619779,1.0
3,210,0.08000361608443174,0.04999999999999999,0.7034610073308318,0.05318405602101601,1.0,0.9,12.018104727242973,55.055248387984165,0.9,0.0,0.0,1,0.0,0.3854607730668397,1.0
4,215,0.2432896455271679,0.04999999999999999,0.7130119309556314,0.16783069629082487,1.0,0.9,21.112558636344186,76.16780702432835,0.9,0.0,0.0,1,0.0,0.4142081205833275,1.0
5,216,0.5794169143108684,0.04999999999999999,0.7208307607262116,0.405967012136968,1.0,0.9,40.08685247819718,116.25465950252553,0.9,0.0,0.0,1,0.0,0.42040687663463316,1.0
6,217,0.046159429322223854,0.04999999999999999,0.7328392050868923,0.03303249466370668,1.0,0.9,10.17650172788822,126.43116123041375,0.9,0.0,0.0,1,0.0,0.5774185606781126,1.0
7,219,0.039905199868778135,0.04999999999999999,0.7448621088967954,0.029292875195918215,1.0,0.9,9.802353531698182,136.23351476211192,0.9,0.0,0.0,1,0.0,0.6291984584958078,1.0
8,228,0.08938904240928193,0.04999999999999999,0.7479702130685149,0.0685987099653795,1.0,0.9,12.872641019422744,149.10615578153465,0.9,0.0,0.0,1,0.0,0.6457226047643648,1.0
9,233,0.022021566397739945,0.04999999999999999,0.7543616048324877,0.017417917040907418,1.0,0.9,8.704570515723324,157.810726297258,0.9,0.0,0.0,1,0.0,0.6642390649392174,1.0
10,235,0.10129199784750618,0.04999999999999999,0.7620692858217228,0.08163003288550305,1.0,0.9,13.768913750551077,171.57964004780905,0.9,0.0,0.0,1,0.0,0.7163014536805759,1.0
11,236,0.0701351014242928,0.04999999999999999,0.7674277880265423,0.057160690545504086,1.0,0.9,11.739335667495082,183.31897571530413,0.9,0.0,0.0,1,0.0,0.8078112040849663,1.0
12,242,0.12049536370132265,0.04999999999999999,0.767677452719588,0.10073421394524856,1.0,0.9,15.15390835339678,198.47288406870092,0.9,0.0,0.0,1,0.0,1.0282286369910691,1.0
13,242,0.05345202811270206,0.04999999999999999,0.7704531216899766,0.04484750501097985,1.0,0.9,10.61236016811,209.08524423681092,0.9,0.0,0.0,1,0.0,1.0370040528922104,1.0
14,248,0.25654856398589504,0.04999999999999999,0.7750664209211342,0.22190786984560074,1.0,0.9,24.707249976510504,233.79249421332142,0.9,0.0,0.0,1,0.0,1.2166644709041445,1.0
