Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,200,0.18910130416516727,0.04999999999999999,0.6690428868018027,0.0011386519419298434,0.01,0.9,8.091004731594843,8.091004731594843,0.9,0.0,0.0,1,0.0,0.006342704650767625,1.0
1,210,0.16245945496180872,0.04999999999999999,0.6830851847244617,0.10487009622866723,1.0,0.9,16.309821299622175,24.40082603121702,0.9,0.0,0.0,1,0.0,0.04258515390520286,1.0
2,212,0.04496430508110633,0.04999999999999999,0.6935815514154479,0.029751837502553558,1.0,0.9,10.221517647065768,34.62234367828279,0.9,0.0,0.0,1,0.0,0.23491979843176192,1.0
3,209,0.03988539062745677,0.04999999999999999,0.707889440111214,0.02655449725291413,1.0,0.9,9.887694951798018,44.51003863008081,0.9,0.0,0.0,1,0.0,0.35825954368711677,1.0
4,205,0.2393617111497588,0.04999999999999999,0.7221203575841879,0.15945224720275133,1.0,0.9,20.442288596388757,64.95232722646956,0.9,0.0,0.0,1,0.0,0.410561778785979,1.0
5,208,0.049102899714148454,0.04999999999999999,0.731786931004459,0.03363315722698129,1.0,0.9,10.300279616271268,75.25260684274083,0.9,0.0,0.0,1,0.0,0.4195332765611328,1.0
6,206,0.17778518952426084,0.04999999999999999,0.7451495263390738,0.12280576163132575,1.0,0.9,17.35838598909421,92.61099283183503,0.9,0.0,0.0,1,0.0,0.4457307074534714,1.0
7,209,0.2903321842636199,0.04999999999999999,0.7546884254622732,0.2060732738322593,1.0,0.9,23.944781335418455,116.55577416725349,0.9,0.0,0.0,1,0.0,0.504260995947344,1.0
8,212,0.09846395262390148,0.04999999999999999,0.7635963510156906,0.07172812604340412,1.0,0.9,13.122999134124857,129.67877330137836,0.9,0.0,0.0,1,0.0,0.6523362787954569,1.0
9,213,0.08829026210085959,0.04999999999999999,0.7705244702864464,0.06520657042809262,1.0,0.9,12.527792474911605,142.20656577628995,0.9,0.0,0.0,1,0.0,0.7994642224872484,1.0
10,213,0.12087111095666915,0.04999999999999999,0.7766699626857357,0.0899810673451849,1.0,0.9,14.437001804045988,156.64356758033594,0.9,0.0,0.0,1,0.0,0.8206794482117821,1.0
11,213,0.1561823175442793,0.04999999999999999,0.7833361049474357,0.11726600348289712,1.0,0.9,16.5477630337619,173.19133061409784,0.9,0.0,0.0,1,0.0,0.8252324233914826,1.0
12,219,0.17278369007957828,0.04999999999999999,0.7833361688720606,0.13338517197997185,1.0,0.9,17.765979744323143,190.95731035842098,0.9,0.0,0.0,1,0.0,0.9178476198182864,1.0
13,221,0.1503055314872841,0.04999999999999999,0.7916551669090023,0.11833570478851918,1.0,0.9,16.491427570824236,207.44873792924523,0.9,0.0,0.0,1,0.0,0.9470692844730381,1.0
14,227,0.08607200913412821,0.04999999999999999,0.7914190341698712,0.06958358540425892,1.0,0.9,12.521367883295659,219.97010581254088,0.9,0.0,0.0,1,0.0,0.9692759211879268,1.0
15,234,0.432638211498505,0.04999999999999999,0.7950768996618287,0.3622116222107638,1.0,0.9,35.86227281630746,255.83237862884835,0.9,0.0,0.0,1,0.0,1.003316056808904,1.0
16,231,0.1461521758554079,0.04999999999999999,0.7981412419570418,0.12125775727846165,1.0,0.9,16.5175763776741,272.34995500652246,0.9,0.0,0.0,1,0.0,1.263846397479979,1.0
17,234,0.061690752375546755,0.04999999999999999,0.802253065949245,0.052114649781399944,1.0,0.9,10.918298012862909,283.2682530193854,0.9,0.0,0.0,1,0.0,1.2646032646490175,1.0
18,239,0.11426056453192508,0.04999999999999999,0.8028184181847882,0.09865613734714179,1.0,0.9,14.574463649374662,297.84271666876003,0.9,0.0,0.0,1,0.0,1.5121715588118678,1.0
19,241,0.0534116692735131,0.04999999999999999,0.8084132876390627,0.04682730357234693,1.0,0.9,10.361658397304625,308.20437506606464,0.9,0.0,0.0,1,0.0,1.572001768101511,1.0
20,243,0.04778127597003527,0.04999999999999999,0.8076344841446775,0.04219795304671339,1.0,0.9,9.925477997682096,318.12985306374674,0.9,0.0,0.0,1,0.0,1.6563855495541422,1.0
21,246,0.19637110316814674,0.04999999999999999,0.8080212874386146,0.1756499389786173,1.0,0.9,20.53644970137594,338.6663027651227,0.9,0.0,0.0,1,0.0,1.7309029007618821,1.0
22,250,0.021215852882496507,0.04999999999999999,0.8072861452973734,0.01926817210429512,1.0,0.9,7.96130991054249,346.62761267566515,0.9,0.0,0.0,1,0.0,1.8496706864469492,1.0
23,253,0.06906216092088338,0.04999999999999999,0.8062323668998467,0.06339185016301287,1.0,0.9,11.427427711298341,358.05504038696347,0.9,0.0,0.0,1,0.0,1.8839547109245518,1.0
24,255,0.06313553442950215,0.04999999999999999,0.8074825263106264,0.05850051486516905,1.0,0.9,10.972873157060741,369.0279135440242,0.9,0.0,0.0,1,0.0,2.0286452881882115,1.0
25,261,0.16289725571639632,0.04999999999999999,0.8081415715607808,0.15461592995704582,1.0,0.9,18.599469803981663,387.6273833480059,0.9,0.0,0.0,1,0.0,2.070332944377024,1.0
26,260,0.14359148071482877,0.04999999999999999,0.8081758467766299,0.13577518482444173,1.0,0.9,17.03022562016863,404.6576089681745,0.9,0.0,0.0,1,0.0,2.172777438984206,1.0
27,265,0.13567802212388524,0.04999999999999999,0.8089639765306945,0.13088716902390063,1.0,0.9,16.577808778083487,421.23541774625795,0.9,0.0,0.0,1,0.0,2.2447101402229652,1.0
28,268,0.13209227476745253,0.04999999999999999,0.8078410970210765,0.12869173919631488,1.0,0.9,16.341409187327937,437.5768269335859,0.9,0.0,0.0,1,0.0,2.2460606172890416,1.0
29,273,0.1285712738405146,0.04999999999999999,0.8017942511815519,0.12664324956352016,1.0,0.9,16.11736927758767,453.69419621117356,0.9,0.0,0.0,1,0.0,2.286034690225923,1.0
30,281,0.04956487906104284,0.04999999999999999,0.8022297866879016,0.050279583069607156,1.0,0.9,9.948712345051584,463.64290855622517,0.9,0.0,0.0,1,0.0,2.311632575051347,1.0
31,276,0.2322320316503468,0.04999999999999999,0.8022547399999551,0.23139608622876742,1.0,0.9,24.37901409629352,488.0219226525187,0.9,0.0,0.0,1,0.0,2.358423436986266,1.0
32,274,0.14143199472947465,0.04999999999999999,0.8070819124979579,0.14074350351182258,1.0,0.9,17.06846913767038,505.0903917901891,0.9,0.0,0.0,1,0.0,2.4349821881341427,1.0
33,278,0.4390136081153864,0.04999999999999999,0.8076796463706152,0.4435825270489084,1.0,0.9,41.23762404444166,546.3280158346307,0.9,0.0,0.0,1,0.0,2.5297847131088194,1.0
34,272,0.15882903607919116,0.04999999999999999,0.808870067039548,0.15724979294691144,1.0,0.9,18.27393705529701,564.6019528899277,0.9,0.0,0.0,1,0.0,2.5743608043908592,1.0
35,265,0.11854044769661375,0.09999999999999998,0.8046721927298248,0.10110937409372185,1.0,0.8,13.726130801762446,578.3280836916902,0.8,0.0,0.0,1,0.0,2.7091157131145427,1.0
36,258,0.5601726995562119,0.04999999999999999,0.8090617655707683,0.5261818177732185,1.0,0.9,47.675545274633755,626.003628966324,0.9,0.0,0.0,1,0.0,2.733718004500773,1.0
37,260,0.11019968875174337,0.04999999999999999,0.8072862772886398,0.10408635489419119,1.0,0.9,13.852600577183285,639.8562295435072,0.9,0.0,0.0,1,0.0,2.8076291317808386,1.0
38,255,0.21539886604543962,0.04999999999999999,0.8125007956492016,0.20082598317532419,1.0,0.9,21.536745912433936,661.3929754559412,0.9,0.0,0.0,1,0.0,2.9320416567627876,1.0
39,249,0.07133422836616476,0.04999999999999999,0.8087662947011129,0.06464469226817457,1.0,0.9,10.587858202306302,671.9808336582474,0.9,0.0,0.0,1,0.0,3.040427372202644,1.0
40,251,0.048638585410686545,0.04999999999999999,0.8036448353503388,0.04415006312538835,1.0,0.9,8.894384418658664,680.8752180769061,0.9,0.0,0.0,1,0.0,3.057965748121167,1.0
41,256,0.04056844652155702,0.09999999999999998,0.7936946924301098,0.03297173574071763,1.0,0.8,7.946788631572417,688.8220067084785,0.8,0.0,0.0,1,0.0,3.1083163564249885,1.0
42,260,0.03540293059484944,0.04999999999999999,0.794128131664206,0.03289392186060865,1.0,0.9,7.887689901286492,696.709696609765,0.9,0.0,0.0,1,0.0,3.1298272105543683,1.0
43,265,0.03975801717853236,0.04999999999999999,0.7947516149327172,0.03768031491829986,1.0,0.9,8.218307121389667,704.9280037311547,0.9,0.0,0.0,1,0.0,3.137066300850629,1.0
44,261,0.25541048827697643,0.04999999999999999,0.7961574477167532,0.2388310074171242,1.0,0.9,24.2585306629009,729.1865343940556,0.9,0.0,0.0,1,0.0,3.160783594374299,1.0
45,261,0.05613091161094578,0.04999999999999999,0.7957358084978048,0.05245948450246811,1.0,0.9,9.297610715138344,738.484145109194,0.9,0.0,0.0,1,0.0,3.179950136881232,1.0
46,262,0.10878071888498146,0.04999999999999999,0.7967079016533144,0.10217975431588414,1.0,0.9,13.22447434486705,751.708619454061,0.9,0.0,0.0,1,0.0,3.235043024532713,1.0
47,262,0.0967704243611258,0.04999999999999999,0.7968051429048505,0.09090935556638323,1.0,0.9,12.272595283778003,763.9812147378391,0.9,0.0,0.0,1,0.0,3.289976741188979,1.0
48,254,0.17213529599334879,0.04999999999999999,0.7986058490612669,0.15712621456223666,1.0,0.9,17.52016928561804,781.5013840234571,0.9,0.0,0.0,1,0.0,3.3358546900270696,1.0
49,261,0.5011533275259471,0.04999999999999999,0.7953837161122138,0.46816650068977256,1.0,0.9,42.35396073655748,823.8553447600146,0.9,0.0,0.0,1,0.0,3.4440008084449296,1.0
50,264,0.4368737694732933,0.04999999999999999,0.7904218890553546,0.410233733093227,1.0,0.9,37.67060750607824,861.5259522660929,0.9,0.0,0.0,1,0.0,3.5193627996985355,1.0
51,264,0.08410444083771955,0.04999999999999999,0.7895832354323545,0.07889205833492029,1.0,0.9,11.115163334329365,872.6411156004223,0.9,0.0,0.0,1,0.0,3.652075491443006,1.0
52,264,0.048866815873060264,0.04999999999999999,0.7885276282304827,0.04577700729043718,1.0,0.9,8.41815416378163,881.0592697642039,0.9,0.0,0.0,1,0.0,3.674045143425409,1.0
53,268,0.1081891144277864,0.04999999999999999,0.7830656196020898,0.10217132616385673,1.0,0.9,12.882374812608147,893.9416445768121,0.9,0.0,0.0,1,0.0,3.7138048900236305,1.0
54,267,0.07261978283761779,0.09999999999999998,0.773402873873491,0.05998352446145683,1.0,0.8,9.460551076922126,903.4021956537342,0.8,0.0,0.0,1,0.0,3.7486181453037775,1.0
55,266,0.15301089651643293,0.04999999999999999,0.7735086131904843,0.14167122990184813,1.0,0.9,15.949112110566537,919.3513077643007,0.9,0.0,0.0,1,0.0,3.89600229521872,1.0
56,275,0.027403374117534327,0.04999999999999999,0.7723172441122113,0.026190571742564638,1.0,0.9,6.664716260329586,926.0160240246303,0.9,0.0,0.0,1,0.0,3.9172281524765085,1.0
57,282,0.18790595818758443,0.04999999999999999,0.7717458935177721,0.18402486187886513,1.0,0.9,19.245984101315088,945.2620081259454,0.9,0.0,0.0,1,0.0,4.001488153665177,1.0
58,277,0.3139757594283688,0.04999999999999999,0.7790231824933787,0.3048869137859043,1.0,0.9,28.869866044971502,974.131874170917,0.9,0.0,0.0,1,0.0,4.055718423346519,1.0
59,274,0.364283088665826,0.04999999999999999,0.7810531049862303,0.35081863143308295,1.0,0.9,32.49980928634227,1006.6316834572592,0.9,0.0,0.0,1,0.0,4.110152232296423,1.0
60,274,0.11083311597511637,0.04999999999999999,0.7851320293327634,0.10729396988105291,1.0,0.9,12.973840214904678,1019.6055236721639,0.9,0.0,0.0,1,0.0,4.1192107116480035,1.0
61,272,0.1430212209560734,0.04999999999999999,0.7875765456877635,0.13787155481261193,1.0,0.9,15.376348821248339,1034.9818724934123,0.9,0.0,0.0,1,0.0,4.159389565286371,1.0
62,271,0.08428376388586331,0.09999999999999998,0.7811366208699386,0.0713674538153473,1.0,0.8,10.012840008370851,1044.9947125017832,0.8,0.0,0.0,1,0.0,4.378530889478808,1.0
63,269,0.06379317382202683,0.04999999999999999,0.7859490984199656,0.060692275909157246,1.0,0.9,9.11595879947673,1054.1106713012598,0.9,0.0,0.0,1,0.0,4.544968522005273,1.0
64,273,0.05943731514532728,0.04999999999999999,0.7912537054050663,0.057776349899352625,1.0,0.9,8.840288124049323,1062.950959425309,0.9,0.0,0.0,1,0.0,4.584715996190465,1.0
65,272,0.13670868868616506,0.04999999999999999,0.7965410161663184,0.13328635123312763,1.0,0.9,14.839095179227954,1077.790054604537,0.9,0.0,0.0,1,0.0,4.794477729874058,1.0
66,270,0.20337112142676017,0.04999999999999999,0.8054519667305438,0.19902388872119697,1.0,0.9,20.056509713223083,1097.84656431776,0.9,0.0,0.0,1,0.0,4.846944875395092,1.0
67,271,0.04116453790746961,0.04999999999999999,0.796769184355665,0.03999793573970669,1.0,0.9,7.293338046922353,1105.1399023646825,0.9,0.0,0.0,1,0.0,4.923471280092583,1.0
68,283,0.06091172949786254,0.04999999999999999,0.7932623908663872,0.06153422634467346,1.0,0.9,8.97551463465824,1114.1154169993408,0.9,0.0,0.0,1,0.0,4.96481370203129,1.0
69,288,0.34294502749320704,0.04999999999999999,0.7919523870930822,0.3519885885817726,1.0,0.9,32.171395725058375,1146.2868127243992,0.9,0.0,0.0,1,0.0,4.980565701705513,1.0
70,286,0.19616428385519302,0.04999999999999999,0.7963612916131685,0.20105210584511102,1.0,0.9,20.0566365716603,1166.3434492960594,0.9,0.0,0.0,1,0.0,5.070776081495021,1.0
71,287,0.49743762935241664,0.04999999999999999,0.7947463261381619,0.5105773847424318,1.0,0.9,44.77895225831817,1211.1224015543776,0.9,0.0,0.0,1,0.0,5.0715260648095315,1.0
72,291,0.15631948836357382,0.09999999999999998,0.7869001601055652,0.14318111460994656,1.0,0.8,15.34838829380406,1226.4707898481815,0.8,0.0,0.0,1,0.0,5.189838206158513,1.0
73,293,0.06929480903028928,0.04999999999999999,0.7906083583924277,0.07223409529775218,1.0,0.9,9.633840399015144,1236.1046302471966,0.9,0.0,0.0,1,0.0,5.301831301617018,1.0
74,292,0.22230515979671767,0.04999999999999999,0.7913631330708708,0.23116427758948013,1.0,0.9,22.30982348593788,1258.4144537331345,0.9,0.0,0.0,1,0.0,5.304733319047702,1.0
75,303,0.3281206453031762,0.04999999999999999,0.7884723705278895,0.3527566249295918,1.0,0.9,31.999161473147023,1290.4136152062815,0.9,0.0,0.0,1,0.0,5.41483763589331,1.0
76,312,0.16742251562329355,0.04999999999999999,0.7872009163225707,0.18504040142720798,1.0,0.9,18.5443552210675,1308.957970427349,0.9,0.0,0.0,1,0.0,5.4894248135551695,1.0
77,314,0.038340494895580904,0.04999999999999999,0.7877461121376158,0.042676239593284884,1.0,0.9,7.118034295527836,1316.0760047228769,0.9,0.0,0.0,1,0.0,5.603765455154895,1.0
78,312,0.20457448933670452,0.04999999999999999,0.7859615467676225,0.225745905623855,1.0,0.9,21.726691213639082,1337.8026959365159,0.9,0.0,0.0,1,0.0,5.715271935379005,1.0
79,314,0.03368068590883082,0.04999999999999999,0.7865331352638115,0.037431748361305944,1.0,0.9,6.625125602867822,1344.4278215393838,0.9,0.0,0.0,1,0.0,5.86993718703733,1.0
80,311,0.4824044348130997,0.04999999999999999,0.7891911288149396,0.5328026659874486,1.0,0.9,46.2184384768227,1390.6462600162065,0.9,0.0,0.0,1,0.0,5.989449926132753,1.0
81,308,0.11177477227743719,0.04999999999999999,0.7968298121957804,0.12344474253165018,1.0,0.9,13.43426805661451,1404.080528072821,0.9,0.0,0.0,1,0.0,5.995419528328984,1.0
