Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,201,0.9835224667409787,0.09999999999999998,0.6472925992819082,0.13103307735422298,0.4,0.6400000000000001,18.482565133934113,18.482565133934113,0.8,0.2,0.2,1,0.0,0.0800000000000001,1.0
1,208,0.9822241701421,0.09999999999999998,0.6482997289234085,0.339070305164774,1.0,0.6400000000000001,35.04586936175719,53.5284344956913,0.8,0.2,0.2,1,0.0,0.16000000000000023,1.0
2,211,0.9807691873062043,0.09999999999999998,0.6526226494128794,0.34574139171011464,1.0,0.6400000000000001,35.50074497311583,89.02917946880713,0.8,0.2,0.2,1,0.0,0.24000000000000027,1.0
3,209,0.9850326966295657,0.09999999999999998,0.6596965521464843,0.34768112334612067,1.0,0.6400000000000001,35.577898145573684,124.60707761438081,0.8,0.2,0.2,1,0.0,0.3200000000000003,1.0
4,211,0.9864266646668179,0.09999999999999998,0.6626532505557323,0.35308035673293503,1.0,0.6400000000000001,35.93258653844474,160.53966415282554,0.8,0.2,0.2,1,0.0,0.40000000000000036,1.0
5,212,0.9856458911409817,0.09999999999999998,0.6638300389564347,0.355102428842071,1.0,0.6400000000000001,36.01787179803029,196.55753595085582,0.8,0.2,0.2,1,0.0,0.4800000000000005,1.0
6,220,0.9883895599567153,0.09999999999999998,0.6659676462667813,0.3707182160501437,1.0,0.6400000000000001,37.19141056791782,233.74894651877364,0.8,0.2,0.2,1,0.0,0.5600000000000006,1.0
7,221,0.9831358823766198,0.09999999999999998,0.666593266526334,0.37077181132611187,1.0,0.6400000000000001,37.12073266486654,270.8696791836402,0.8,0.2,0.2,1,0.0,0.6400000000000007,1.0
8,214,0.9908067307451947,0.09999999999999998,0.6696723144414609,0.3635005158913403,1.0,0.6400000000000001,36.46481229807402,307.3344914817142,0.8,0.2,0.2,1,0.0,0.7200000000000008,1.0
9,213,0.9853872361846799,0.09999999999999998,0.6757342061415862,0.36308006543429194,1.0,0.6400000000000001,36.35769531570593,343.69218679742016,0.8,0.2,0.2,1,0.0,0.8000000000000009,1.0
10,211,0.9882641801393426,0.09999999999999998,0.675378631198975,0.3605311473940421,1.0,0.6400000000000001,36.08103301418168,379.77321981160185,0.8,0.2,0.2,1,0.0,0.880000000000001,1.0
11,215,0.9886964935444894,0.09999999999999998,0.676586717664522,0.3681839789996622,1.0,0.6400000000000001,36.621230923477825,416.39445073507966,0.8,0.2,0.2,1,0.0,0.9600000000000011,1.0
12,227,0.9893046077044988,0.09999999999999998,0.6749981054116508,0.3880595789920015,1.0,0.6400000000000001,38.139962693775466,454.53441342885515,0.8,0.2,0.2,1,0.0,1.0400000000000011,1.0
13,230,0.9843528948148836,0.09999999999999998,0.6714982307158048,0.3891916346155015,1.0,0.6400000000000001,38.159926888531565,492.6943403173867,0.8,0.2,0.2,1,0.0,1.1200000000000012,1.0
14,227,0.9843109559323184,0.09999999999999998,0.6718123737872119,0.38427854726622906,1.0,0.6400000000000001,37.696984365359974,530.3913246827467,0.8,0.2,0.2,1,0.0,1.2000000000000013,1.0
15,225,0.9879403450730728,0.09999999999999998,0.6757678304730702,0.38454814288906375,1.0,0.6400000000000001,37.64935024009323,568.0406749228399,0.8,0.2,0.2,1,0.0,1.2800000000000014,1.0
16,225,0.9885767047003259,0.09999999999999998,0.6761358289985133,0.38500538674243595,1.0,0.6400000000000001,37.61741640396489,605.6580913268048,0.8,0.2,0.2,1,0.0,1.3600000000000014,1.0
