Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,202,0.9842941053185579,0.09999999999999998,0.6559748012058257,0.1502504873545078,0.8,0.48,20.019951201797543,20.019951201797543,0.8,0.4,0.4,1,0.0,0.07786507548916685,1.0
1,203,0.9879536409813184,0.09999999999999998,0.6624325759542076,0.19130960604913114,1.0,0.48,23.225065367709522,43.245016569507065,0.8,0.4,0.4,1,0.0,0.13109988184102866,1.0
2,200,0.9865959389882119,0.09999999999999998,0.6686909033741764,0.1900015861557085,1.0,0.48,23.041615276625418,66.28663184613248,0.8,0.4,0.4,1,0.0,0.17884545346119954,1.0
3,207,0.9854176835035345,0.09999999999999998,0.6709026182437193,0.19706644211431634,1.0,0.48,23.528776481968126,89.8154083281006,0.8,0.4,0.4,1,0.0,0.24104519581692152,1.0
4,214,0.9881739416089139,0.09999999999999998,0.6740592253492489,0.20526160461194987,1.0,0.48,24.10713823358606,113.92254656168666,0.8,0.4,0.4,1,0.0,0.2963186020398414,1.0
5,213,0.9866909059156035,0.09999999999999998,0.6773445253882047,0.20499008048394024,1.0,0.48,24.008936593673194,137.93148315535984,0.8,0.4,0.4,1,0.0,0.3529373466647513,1.0
6,212,0.9868148894922785,0.09999999999999998,0.6784913213989013,0.20439880089079404,1.0,0.48,23.88591564004219,161.81739879540203,0.8,0.4,0.4,1,0.0,0.40942179207440516,1.0
7,213,0.9780128135652433,0.09999999999999998,0.6806641201431332,0.20418296148412204,1.0,0.48,23.79368304674005,185.61108184214208,0.8,0.4,0.4,1,0.0,0.471987616591245,1.0
8,214,0.9791188163999499,0.09999999999999998,0.6792844604547267,0.20495727668265473,1.0,0.48,23.78140854550844,209.39249038765053,0.8,0.4,0.4,1,0.0,0.5273584583903194,1.0
9,218,0.9855515286846955,0.09999999999999998,0.6779688972823642,0.2097529570361864,1.0,0.48,24.09158042411278,233.4840708117633,0.8,0.4,0.4,1,0.0,0.5993011848424132,1.0
10,213,0.9888029780397427,0.09999999999999998,0.6793235100119006,0.2060290719031881,1.0,0.48,23.72092115007981,257.2049919618431,0.8,0.4,0.4,1,0.0,0.6656011789993728,1.0
11,208,0.9847296018296846,0.09999999999999998,0.683991289751462,0.20174063881778115,1.0,0.48,23.305821999384374,280.5108139612275,0.8,0.4,0.4,1,0.0,0.7116199545705763,1.0
12,206,0.9823378941760982,0.09999999999999998,0.6840298085768186,0.19932677388356038,1.0,0.48,23.04140433979083,303.55221830101834,0.8,0.4,0.4,1,0.0,0.7664836557097376,1.0
13,202,0.9826941393449901,0.09999999999999998,0.6851995427301732,0.19586159731354646,1.0,0.48,22.693591698633416,326.2458099996518,0.8,0.4,0.4,1,0.0,0.8239127554813729,1.0
14,198,0.9781325902457579,0.09999999999999998,0.6860414054135237,0.19132676994932363,1.0,0.48,22.260909777032065,348.50671977668384,0.8,0.4,0.4,1,0.0,0.8694645938938368,1.0
