Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,201,0.9884913117415574,0.10149999999999998,0.6581666925686427,0.13582502028358043,0.41500000000000004,0.6316225,18.865919992875995,18.865919992875995,0.797,0.20750000000000002,0.20750000000000002,1,0.0,0.04106148367941562,1.0
1,204,0.9841294958498628,0.10299999999999998,0.6588112881284212,0.3187201333445935,0.985,0.62329,33.41786644817713,52.283786441053124,0.794,0.21500000000000002,0.21500000000000002,1,0.0,0.06472950380464769,1.0
2,208,0.9866732690948884,0.10449999999999998,0.6618731270789838,0.31988579843247766,0.9850000000000001,0.6150025,33.432312111793095,85.71609855284622,0.791,0.2225,0.2225,1,0.0,0.1661552089077078,1.0
3,210,0.9889986086870932,0.10599999999999998,0.6596650353033784,0.31524800254864105,0.985,0.6067600000000001,32.98326694288866,118.69936549573488,0.788,0.23,0.23,1,0.0,0.23373302918062366,1.0
4,202,0.9840233222242268,0.10749999999999998,0.6625155634209919,0.29601139778689717,0.985,0.5985625,31.367097993830463,150.06646348956534,0.785,0.23750000000000002,0.23750000000000002,1,0.0,0.3957706886507597,1.0
5,204,0.9866810692899297,0.10899999999999999,0.6663141634718583,0.2944373493007716,0.985,0.59041,31.164696381699336,181.23115987126468,0.782,0.24500000000000002,0.24500000000000002,1,0.0,0.4926863462191084,1.0
6,205,0.982121056411976,0.11049999999999999,0.6652487242813522,0.2871236857087675,0.9850000000000001,0.5823025000000001,30.503888193857904,211.73504806512258,0.779,0.2525,0.2525,1,0.0,0.5255598650793367,1.0
7,203,0.9884193163837792,0.11199999999999999,0.6672399936381167,0.2801887715434696,0.985,0.57424,29.874133368070325,241.6091814331929,0.776,0.26,0.26,1,0.0,0.619072367693035,1.0
8,197,0.9860056036571396,0.11349999999999999,0.6705652185126196,0.26606492104892815,0.985,0.5662225,28.670011557629493,270.27919299082237,0.773,0.2675,0.2675,1,0.0,0.6677846127257119,1.0
9,199,0.9873274841262314,0.11499999999999999,0.6723966408919169,0.26333756247939266,0.985,0.55825,28.378343978720107,298.6575369695425,0.77,0.275,0.275,1,0.0,0.7509517842031403,1.0
10,206,0.9871292988706979,0.11649999999999999,0.6686527920029859,0.2644157586570537,0.9850000000000001,0.5503225,28.391850670882178,327.0493876404247,0.767,0.2825,0.2825,1,0.0,0.7871832084868899,1.0
11,202,0.9790159320726317,0.118,0.6621790103979888,0.2483892694394413,0.985,0.54244,27.037711452178236,354.08709909260295,0.764,0.29,0.29,1,0.0,0.7898632503056852,1.0
12,208,0.9806558193523095,0.1195,0.6567879766290906,0.24779280244413596,0.985,0.5346025,26.91868606069613,381.0057851532991,0.761,0.2975,0.2975,1,0.0,0.8153867825591267,1.0
13,204,0.985187524920277,0.121,0.6585711011436587,0.23866942697603213,0.985,0.52681,26.11822009155159,407.12400524485065,0.758,0.305,0.305,1,0.0,0.8962325043696773,1.0
14,204,0.9847293090967226,0.1225,0.654482491061897,0.23107004867253145,0.985,0.5190625,25.440375751788554,432.5643809966392,0.755,0.3125,0.3125,1,0.0,0.9092864022680187,1.0
15,206,0.9869085032023632,0.124,0.6515568018167844,0.22684974476503197,0.985,0.5113599999999999,25.033551833072643,457.59793282971185,0.752,0.32,0.32,1,0.0,0.9745389009961007,1.0
