Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,209,0.9841780802907312,0.09999999999999998,0.6542289376409886,0.002121549943256338,0.30000000000000004,0.07006820916705733,8.169688171142942,8.169688171142942,0.8,0.85,0.85,1,0.0,0.05614517135655984,1.0
1,204,0.9890879438416416,0.09999999999999998,0.657586350454158,0.007045619365275356,1.0,0.07080110699156617,8.484011043328122,16.653699214471064,0.8,0.85,0.85,1,0.0,0.12159189367044168,1.0
2,202,0.9872487676525228,0.09999999999999998,0.6621277792199032,0.007109857030442266,1.0,0.0717926238002768,8.410341085914286,25.06404030038535,0.8,0.85,0.85,1,0.0,0.18450640356285783,1.0
3,207,0.9890138556341321,0.09999999999999998,0.667885616989034,0.007491267970316005,1.0,0.07304983793700114,8.362829060734692,33.42686936112004,0.8,0.85,0.85,1,0.0,0.26444698067425537,1.0
4,203,0.9853750519208753,0.09999999999999998,0.6723715103857428,0.007467441934175112,1.0,0.0740293075639901,8.28367455019168,41.71054391131172,0.8,0.85,0.85,1,0.0,0.35596218577636496,1.0
5,200,0.9871621683453815,0.09999999999999998,0.6766333262918107,0.007510369004210031,1.0,0.07495974990647206,8.210628928260462,49.92117283957218,0.8,0.85,0.85,1,0.0,0.42757074433237424,1.0
6,199,0.9822959219108451,0.09999999999999998,0.6802086886795962,0.007553100718935046,1.0,0.07574019518945194,8.138328629480913,58.05950146905309,0.8,0.85,0.85,1,0.0,0.498435238094313,1.0
7,199,0.985627280652529,0.09999999999999998,0.6833766422497966,0.00768351585646283,1.0,0.07643157444710857,8.073796431473895,66.13329790052698,0.8,0.85,0.85,1,0.0,0.5458765610978802,1.0
8,198,0.9853892744478593,0.09999999999999998,0.6881800059517028,0.007802315033100086,1.0,0.0774795601538116,8.009080859942904,74.14237876046988,0.8,0.85,0.85,1,0.0,0.6156161637522612,1.0
9,191,0.9843742381535233,0.09999999999999998,0.6946026005589216,0.007726071079465037,1.0,0.0788800948887272,7.929500398443216,82.07187915891309,0.8,0.85,0.85,1,0.0,0.6937431585744205,1.0
10,193,0.9839132395149182,0.09999999999999998,0.6958161324194923,0.00784316270162181,1.0,0.07914461190357719,7.866117865919761,89.93799702483285,0.8,0.85,0.85,1,0.0,0.7818109665198849,1.0
11,192,0.9878108009267325,0.09999999999999998,0.6954193670765996,0.007820411264186273,1.0,0.07905813200644929,7.7922718323693925,97.73026885720225,0.8,0.85,0.85,1,0.0,0.8586624346159383,1.0
12,192,0.9815786903920835,0.09999999999999998,0.6949496276142019,0.007755765244312906,1.0,0.0789557412297844,7.715790866341606,105.44605972354385,0.8,0.85,0.85,1,0.0,0.9116856551857817,1.0
13,189,0.9794589679895147,0.09999999999999998,0.6992606244288637,0.00775655879647843,1.0,0.07989520227746608,7.645254603029051,113.0913143265729,0.8,0.85,0.85,1,0.0,0.9768966575840476,1.0
14,195,0.9834314195050619,0.09999999999999998,0.6967195507103973,0.007950572456676788,1.0,0.0793415075608448,7.590878389844565,120.68219271641746,0.8,0.85,0.85,1,0.0,1.0366316707376726,1.0
