Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,205,0.9849114055204377,0.04999999999999999,0.6628562883093378,0.006022584778871076,0.01,0.9,8.481737787695327,8.481737787695327,0.9,0.0,0.0,1,0.0,0.001537171623992296,1.0
1,208,0.9831467775778491,0.04999999999999999,0.6778778470555691,0.6238004019849509,1.0,0.9,57.823960394478895,66.30569818217423,0.9,0.0,0.0,1,0.0,0.05073860963630193,1.0
2,213,0.9846705845771023,0.04999999999999999,0.6907985855042061,0.6519803715624034,1.0,0.9,59.99953103652691,126.30522921870113,0.9,0.0,0.0,1,0.0,0.20921338763973613,1.0
3,211,0.9790372172609815,0.04999999999999999,0.7039569396654468,0.654395441095894,1.0,0.9,60.11471032464173,186.41993954334285,0.9,0.0,0.0,1,0.0,0.29461272700834457,1.0
4,209,0.9849644965884394,0.04999999999999999,0.7172671918790645,0.6644469968137366,1.0,0.9,60.84158034514916,247.26151988849202,0.9,0.0,0.0,1,0.0,0.3878403354893504,1.0
5,208,0.988420343086736,0.04999999999999999,0.7294691381798047,0.6748767191376926,1.0,0.9,61.59947198548084,308.86099187397286,0.9,0.0,0.0,1,0.0,0.535458677344264,1.0
6,196,0.9870976892116503,0.04999999999999999,0.7442111081385991,0.647925195444001,1.0,0.9,59.367649062066555,368.2286409360394,0.9,0.0,0.0,1,0.0,0.610389454368662,1.0
7,195,0.9801095185641873,0.04999999999999999,0.7563463310925537,0.6504927142266355,1.0,0.9,59.49808352580896,427.7267244618484,0.9,0.0,0.0,1,0.0,0.7835356875617916,1.0
8,192,0.9848524768262106,0.04999999999999999,0.7673939410458533,0.6529851275389363,1.0,0.9,59.623255967142555,487.34998042899093,0.9,0.0,0.0,1,0.0,0.8117463238606097,1.0
9,194,0.9833274624908547,0.04999999999999999,0.775098506647831,0.6653793404617098,1.0,0.9,60.541304184566144,547.8912846135571,0.9,0.0,0.0,1,0.0,0.8534595707792596,1.0
10,193,0.9879280341292231,0.04999999999999999,0.7844586760595729,0.6730777013182351,1.0,0.9,61.08441867749397,608.9757032910511,0.9,0.0,0.0,1,0.0,0.9768041191298875,1.0
11,194,0.9860446189459168,0.04999999999999999,0.7918779934150045,0.6816620009164488,1.0,0.9,61.69913130969559,670.6748346007466,0.9,0.0,0.0,1,0.0,0.999311029834486,1.0
12,198,0.9859754107628517,0.04999999999999999,0.7956265204530348,0.698961153117892,1.0,0.9,63.01174321790091,733.6865778186475,0.9,0.0,0.0,1,0.0,1.0236898164001809,1.0
13,205,0.9824542804870362,0.04999999999999999,0.7978209481405498,0.7230763536317835,1.0,0.9,64.87034394776335,798.5569217664108,0.9,0.0,0.0,1,0.0,1.0971656764693993,1.0
14,201,0.986348932810968,0.04999999999999999,0.8078093563399878,0.7206892254210288,1.0,0.9,64.60947841144727,863.1664001778581,0.9,0.0,0.0,1,0.0,1.255472235056936,1.0
15,205,0.9839104698504142,0.04999999999999999,0.8102363544723936,0.735417029721861,1.0,0.9,65.71849156028703,928.8848917381451,0.9,0.0,0.0,1,0.0,1.417992488523915,1.0
