Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,197,0.03902638724706991,0.45,0.5885762450140639,0.00033550004952568593,0.6,0.035305794428149836,8.026704769956169,8.026704769956169,1.0,0.3,0.3,1,0.0,0.008494148246874222,1.0
1,195,0.03418869813160784,0.0,0.6124770777013425,9.999999999999997e-06,0.01,0.09999999999999998,4.950604366380237,12.977309136336405,1.0,0.9,0.9,1,0.0,0.008494507492781054,1.0
2,191,0.02363649855282903,0.0,0.6323497256819053,0.0009999999999999998,1.0,0.09999999999999998,4.950783911486938,17.928093047823342,1.0,0.9,0.9,1,0.0,0.008494834278578065,1.0
3,195,0.03367903261073085,0.0,0.6551069670548217,0.0009999999999999998,1.0,0.09999999999999998,4.902082114805451,22.830175162628795,1.0,0.9,0.9,1,0.0,0.008495068630026576,1.0
4,196,0.018479713253704674,0.0,0.6740292000955611,0.0009999999999999998,1.0,0.09999999999999998,4.853684546418535,27.68385970904733,1.0,0.9,0.9,1,0.0,0.008496148129818727,1.0
5,193,0.03924546574602728,0.0,0.6955899259242496,0.0009999999999999998,1.0,0.09999999999999998,4.806024661868424,32.48988437091575,1.0,0.9,0.9,1,0.0,0.008496257699345833,1.0
6,192,0.04046987662794677,0.0,0.717639276675515,0.0009999999999999998,1.0,0.09999999999999998,4.758705081571146,37.2485894524869,1.0,0.9,0.9,1,0.0,0.008497518865633689,1.0
7,192,0.022614152066445806,0.0,0.7381300472349928,0.0009999999999999998,1.0,0.09999999999999998,4.711760745012128,41.960350197499025,1.0,0.9,0.9,1,0.0,0.008497810357679601,1.0
8,194,0.020231832622168103,0.0,0.7542189529301294,0.0009999999999999998,1.0,0.09999999999999998,4.665351137343728,46.62570133484275,1.0,0.9,0.9,1,0.0,0.008497900248322933,1.0
9,196,0.06837646635426071,0.0,0.766521513605277,0.0009999999999999998,1.0,0.09999999999999998,4.619588365269533,51.24528970011229,1.0,0.9,0.9,1,0.0,0.008498849927898785,1.0
10,203,0.029394341458758317,0.0,0.7740735688839095,0.0009999999999999998,1.0,0.09999999999999998,4.574031480928019,55.81932118104031,1.0,0.9,0.9,1,0.0,0.008499003831305812,1.0
11,208,0.06252445821228102,0.0,0.7852642144277971,0.002233968990006867,0.7,0.25,4.590795701984868,60.410116883025175,1.0,0.75,0.75,1,0.0,0.008807489245638596,1.0
12,209,0.15302463459381063,0.0,0.7949478559667696,0.01423751867031965,0.7,0.4,5.146444485624725,65.5565613686499,1.0,0.6,0.6,1,0.0,0.008956001987902088,1.0
13,218,0.10898061779760097,0.0,0.8013838886650209,0.020157644858202716,0.7,0.55,5.398309862926222,70.95487123157612,1.0,0.44999999999999996,0.44999999999999996,1,0.0,0.00906793141112107,1.0
14,221,0.04670320927256471,0.0,0.8063721989236204,0.013483093905122232,0.9000000000000001,0.6,5.020838367039144,75.97570959861527,1.0,0.4,0.4,1,0.0,0.009115683810578076,1.0
15,229,0.11564763011224129,0.0,0.8068348054722069,0.03846177736234094,1.0,0.6,6.2265749093214,82.20228450793667,1.0,0.4,0.4,1,0.0,0.009134121929767449,1.0
16,230,0.10288627467373675,0.0,0.8144332705239222,0.03469071814226535,1.0,0.6,5.995196581814505,88.19748108975118,1.0,0.4,0.4,1,0.0,0.009155884162560026,1.0
