Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,202,0.041431124710018835,0.45,0.6025949592189963,0.0003934043840149141,0.6,0.03714636430403253,8.031344503780119,8.031344503780119,0.1,0.3,0.3,1,0.0,0.004698451082725658,1.0
1,201,0.017316341733903232,0.0,0.6283047871113018,0.0048,0.7999999999999999,0.6,5.189949454780008,13.221293958560127,1.0,0.4,0.4,1,0.0,0.004698721921113986,1.0
2,199,0.04555445303622557,0.0,0.6571287829686667,0.010722767965590853,1.0,0.6,5.43701241287184,18.658306371431966,1.0,0.4,0.4,1,0.0,0.0046995771257098175,1.0
3,204,0.035754269405061774,0.0,0.6788068127768787,0.00891203273682342,1.0,0.6,5.297681135393751,23.955987506825718,1.0,0.4,0.4,1,0.0,0.004700718482862463,1.0
4,210,0.15102153249857303,0.0,0.6984724065230916,0.039873093085129596,1.0,0.6,6.797556839503853,30.75354434632957,1.0,0.4,0.4,1,0.0,0.004701226550245694,1.0
5,212,0.0658936635493852,0.0,0.7180874312726105,0.018056324264773983,1.0,0.6,5.658877456810183,36.41242180313975,1.0,0.4,0.4,1,0.0,0.004701409022496849,1.0
6,213,0.050817690740898314,0.0,0.739111266852656,0.014400476311631005,1.0,0.6,5.42873965575095,41.8411614588907,1.0,0.4,0.4,1,0.0,0.004702634556965659,1.0
7,215,0.0378875787637465,0.0,0.7520521278642845,0.011026959046584779,1.0,0.6,5.213179455854538,47.05434091474524,1.0,0.4,0.4,1,0.0,0.004703133347380118,1.0
8,220,0.04059329481693648,0.0,0.7676950069406029,0.012340654819507076,1.0,0.6,5.23248557266537,52.28682648741061,1.0,0.4,0.4,1,0.0,0.004703340731667603,1.0
9,227,0.13133019682313157,0.0,0.7737097187002206,0.041518438323259375,1.0,0.6,6.645527240849414,58.93235372826002,1.0,0.4,0.4,1,0.0,0.0047035820859091144,1.0
10,225,0.07492480583747985,0.0,0.789704026478625,0.02396321044545974,1.0,0.6,5.722271238931693,64.65462496719171,1.0,0.4,0.4,1,0.0,0.004704003576749591,1.0
11,228,0.04614131916167822,0.0,0.7999368738426924,0.015147922525162092,1.0,0.6,5.236453315449731,69.89107828264144,1.0,0.4,0.4,1,0.0,0.004704411784344176,1.0
12,229,0.16209854551206118,0.0,0.8124722652039623,0.054286975967373884,1.0,0.6,7.148906879727301,77.03998516236875,1.0,0.4,0.4,1,0.0,0.004704897052344209,1.0
13,241,0.07696379099804279,0.0,0.8118192803769335,0.02710412307174591,1.0,0.6,5.745608654790362,82.78559381715911,1.0,0.4,0.4,1,0.0,0.004705706522970276,1.0
14,244,0.15683737956034818,0.0,0.8193357258893804,0.05643828404603017,1.0,0.6,7.16865967169897,89.95425348885809,1.0,0.4,0.4,1,0.0,0.0047058648308834945,1.0
15,248,0.06382471357614766,0.0,0.8243042094181866,0.02348554150134124,1.0,0.6,5.477731132582639,95.43198462144072,1.0,0.4,0.4,1,0.0,0.00470624892930742,1.0
16,250,0.13122166143952257,0.0,0.8319092868987632,0.04912403345722086,1.0,0.6,6.716869430492083,102.1488540519328,1.0,0.4,0.4,1,0.0,0.004706635257319466,1.0
17,242,0.20815754854799395,0.0,0.8434370753219654,0.07647733104614896,1.0,0.6,8.042152000360888,110.19100605229369,1.0,0.4,0.4,1,0.0,0.004706766395342835,1.0
18,252,0.08380852976099694,0.0,0.8472547014679652,0.03220885270351238,1.0,0.6,5.786724645266691,115.97773069756038,1.0,0.4,0.4,1,0.0,0.0047069079965633455,1.0
19,248,0.0709221291000458,0.0,0.8561630625556503,0.027105812997856343,1.0,0.6,5.490008910640378,121.46773960820076,1.0,0.4,0.4,1,0.0,0.004707161528876218,1.0
20,251,0.028666113465301693,0.0,0.8574593009076221,0.011105255571364324,1.0,0.6,4.648754374978344,126.1164939831791,1.0,0.4,0.4,1,0.0,0.004707421211827855,1.0
21,260,0.2100383605637611,0.0,0.8555415965128153,0.0840979874244063,1.0,0.6,8.257781285484977,134.37427526866406,1.0,0.4,0.4,1,0.0,0.0047254480305626454,1.0
22,261,0.06505694543796652,0.0,0.8594250865725978,0.02626725603943834,1.0,0.6,5.3258749269674,139.70015019563147,1.0,0.4,0.4,1,0.0,0.004761630410174651,1.0
23,267,0.1787607478824753,0.0,0.8572655854244611,0.07364975711081528,1.0,0.6,7.655113044825066,147.35526324045654,1.0,0.4,0.4,1,0.0,0.004761723083391124,1.0
24,277,0.4100414118623014,0.0,0.8547640667202823,0.17475364823295547,1.0,0.6,12.670790815733865,160.0260540561904,1.0,0.4,0.4,1,0.0,0.00476192881004269,1.0
25,285,0.03643663889041317,0.0,0.8544332582680052,0.015971062832872335,1.0,0.6,4.692428273764409,164.7184823299548,1.0,0.4,0.4,1,0.0,0.004763135588208328,1.0
26,287,0.05607258905638414,0.0,0.857896694369508,0.02485077891212302,1.0,0.6,5.097705962004326,169.81618829195912,1.0,0.4,0.4,1,0.0,0.004768019913345859,1.0
27,290,0.054171257172723024,0.0,0.8580522311106813,0.024263482937303505,1.0,0.6,5.029978765272117,174.84616705723124,1.0,0.4,0.4,1,0.0,0.00477233671971671,1.0
28,289,0.10269485679604852,0.0,0.8638146364909026,0.046146588468315805,1.0,0.6,6.086188865906912,180.93235592313815,1.0,0.4,0.4,1,0.0,0.004780253354773874,1.0
29,292,0.029801994248327527,0.0,0.8663767310208385,0.013570862888865972,1.0,0.6,4.419712679754662,185.3520686028928,1.0,0.4,0.4,1,0.0,0.0047886152490185675,1.0
30,295,0.0633906574122707,0.0,0.866191696561102,0.029156392838820985,1.0,0.6,5.161829316484137,190.51389791937694,1.0,0.4,0.4,1,0.0,0.004789914553039713,1.0
31,302,0.41714702115019525,0.0,0.8628050227946366,0.19565063391212478,1.0,0.6,13.449734234535958,203.9636321539129,1.0,0.4,0.4,1,0.0,0.00479257120271112,1.0
32,309,0.04798787087181669,0.0,0.8659395206495335,0.0231126651270313,1.0,0.6,4.786278702377235,208.74991085629014,1.0,0.4,0.4,1,0.0,0.004805752858910069,1.0
33,319,0.06393796001848902,0.0,0.8642756329517964,0.03173030398046839,1.0,0.6,5.181052833681666,213.9309636899718,1.0,0.4,0.4,1,0.0,0.004813163009761929,1.0
34,323,0.4518993621996142,0.0,0.8631406199241259,0.22677663724061461,1.0,0.6,14.897650509099954,228.82861419907175,1.0,0.4,0.4,1,0.0,0.004817614853663202,1.0
35,321,0.016849904794306092,0.45,0.7843456589980085,0.0007234425032526467,0.7999999999999999,0.060902624494118235,5.695164130241672,234.52377832931342,0.1,0.3,0.3,1,0.0,0.024094996084407704,1.0
36,319,0.037419232267173995,0.0,0.8010218162902448,0.013768682723932895,0.7999999999999999,0.6,4.176704147368447,238.70048247668186,1.0,0.4,0.4,1,0.0,0.024100296390119468,1.0
37,317,0.04473454363024806,0.0,0.8106729589824276,0.020692857417385243,1.0,0.6,4.488214194113448,243.1886966707953,1.0,0.4,0.4,1,0.0,0.024100867747572086,1.0
38,312,0.15022044391325282,0.0,0.8188979337879709,0.06908534257244696,1.0,0.6,6.873528418405956,250.06222508920126,1.0,0.4,0.4,1,0.0,0.024105498407522515,1.0
39,320,0.022621782629921452,0.0,0.8175225570709364,0.010652438926722975,1.0,0.6,3.9177331347238966,253.97995822392517,1.0,0.4,0.4,1,0.0,0.024110660626703823,1.0
40,324,0.06328834455620284,0.0,0.824565981437173,0.03043453457767729,1.0,0.6,4.873249958312674,258.85320818223784,1.0,0.4,0.4,1,0.0,0.02411870268279426,1.0
41,323,0.019905532859825947,0.0,0.82990066544523,0.009604504141471614,1.0,0.6,3.798285642182998,262.6514938244208,1.0,0.4,0.4,1,0.0,0.024119722140729768,1.0
42,327,0.03571672023035205,0.0,0.8316275384216504,0.01748319058276491,1.0,0.6,4.159277176390697,266.8107710008115,1.0,0.4,0.4,1,0.0,0.02414540522621911,1.0
43,330,0.1726534706142876,0.0,0.8331485122954703,0.08544451341785637,1.0,0.6,7.524727561675329,274.3354985624868,1.0,0.4,0.4,1,0.0,0.024156113359647985,1.0
44,326,0.09188683085382983,0.0,0.8383798911976059,0.045204766611686806,1.0,0.6,5.480360793494777,279.81585935598156,1.0,0.4,0.4,1,0.0,0.02415739543782583,1.0
45,324,0.1027978240446547,0.0,0.847016447249793,0.05078006830290481,1.0,0.6,5.7270884610976065,285.54294781707915,1.0,0.4,0.4,1,0.0,0.0241662109739455,1.0
46,319,0.07433914812203656,0.0,0.8541988279647972,0.03646193725814522,1.0,0.6,4.979448107590547,290.5223959246697,1.0,0.4,0.4,1,0.0,0.02419383994872986,1.0
47,322,0.07124418076696866,0.0,0.852066689830257,0.035184498182641764,1.0,0.6,4.884167695224405,295.4065636198941,1.0,0.4,0.4,1,0.0,0.024201518195202856,1.0
48,318,0.058043404381047985,0.0,0.8578062107185124,0.028499791861152514,1.0,0.6,4.518828699509768,299.92539231940384,1.0,0.4,0.4,1,0.0,0.024214918104610676,1.0
49,316,0.05996233019664905,0.0,0.8583161404847465,0.02927422245945544,1.0,0.6,4.526767600371076,304.45215991977494,1.0,0.4,0.4,1,0.0,0.02421497736666344,1.0
50,319,0.024929071108597243,0.0,0.8617543273680256,0.012335386382507784,1.0,0.6,3.6492762313183857,308.1014361510933,1.0,0.4,0.4,1,0.001,0.02423035113210566,1.0
51,315,0.02865234078066519,0.0,0.8600388896583325,0.01397208620808246,1.0,0.6,3.7009530369023116,311.80238918799563,1.0,0.4,0.4,1,0.002,0.02423228316677573,1.0
52,308,0.024410872565038613,0.0,0.8664583416244249,0.011726116706475049,1.0,0.6,3.5587627892025213,315.3611519771982,1.0,0.4,0.4,1,0.003,0.024242057453553758,1.0
53,320,0.03743611592087424,0.0,0.8630207831311907,0.018609492141747605,1.0,0.6,3.8733959886559193,319.2345479658541,1.0,0.4,0.4,1,0.004,0.024258636200710927,1.0
54,316,0.3129646399875834,0.0,0.8634833396495875,0.15371237123832987,1.0,0.6,10.599325956299188,329.8338739221533,1.0,0.4,0.4,1,0.005,0.024268043742199537,1.0
55,316,0.167033073397275,0.0,0.864308138971167,0.0821165438905633,1.0,0.6,6.9905343952315935,336.8244083173849,1.0,0.4,0.4,1,0.006,0.02428233721403119,1.0
56,316,0.029228832424069238,0.0,0.8637212672340948,0.014359676906204039,1.0,0.6,3.5739068912167937,340.3983152086017,1.0,0.4,0.4,1,0.007,0.02428490942876298,1.0
57,322,0.06691724912167965,0.0,0.8631010301391857,0.033475578518920884,1.0,0.6,4.501338852200809,344.8996540608025,1.0,0.4,0.4,1,0.008,0.024285204245883714,1.0
58,324,0.05614603602203731,0.0,0.8624543606477867,0.028240523147691335,1.0,0.6,4.211442981479351,349.11109704228187,1.0,0.4,0.4,1,0.009000000000000001,0.02428728945117982,1.0
59,317,0.025812449496613907,0.0,0.8661181519977075,0.012756693680862517,1.0,0.6,3.4093390265264283,352.5204360688083,1.0,0.4,0.4,1,0.010000000000000002,0.024309121247147184,1.0
60,321,0.038211396577454204,0.0,0.8662885569465426,0.01912639083767703,1.0,0.6,3.7002808852525773,356.2207169540609,1.0,0.4,0.4,1,0.011000000000000003,0.024310859444817437,1.0
61,324,0.06321932156310058,0.0,0.8638288723962706,0.031848945811346466,1.0,0.6,4.309133474286584,360.52985042834746,1.0,0.4,0.4,1,0.012000000000000004,0.024336542345089432,1.0
62,319,0.10216970499941548,0.0,0.8660636535573163,0.05080835572253777,1.0,0.6,5.230088783888995,365.7599392122365,1.0,0.4,0.4,1,0.013000000000000005,0.02434786596421993,1.0
63,324,0.21125332100057653,0.0,0.865697254218176,0.10665644410589957,1.0,0.6,7.995743361251763,373.75568257348823,1.0,0.4,0.4,1,0.014000000000000005,0.024354308988914313,1.0
64,335,0.1157098666431285,0.0,0.8623829347001114,0.060171087264784186,1.0,0.6,5.644967697919894,379.4006502714081,1.0,0.4,0.4,1,0.015000000000000006,0.02436066679344178,1.0
65,340,0.06620807303957003,0.0,0.8623435343773368,0.034941591470064474,1.0,0.6,4.357242645958631,383.75789291736675,1.0,0.4,0.4,1,0.016000000000000007,0.02436402289514526,1.0
66,347,0.03748517418675814,0.0,0.8615109584601471,0.020170762658213062,1.0,0.6,3.592698962171401,387.3505918795382,1.0,0.4,0.4,1,0.017000000000000008,0.024373471539841422,1.0
67,356,0.07332536157147211,0.0,0.8583905490379427,0.040333103759656826,1.0,0.6,4.575135681919008,391.92572756145717,1.0,0.4,0.4,1,0.01800000000000001,0.02437880046088289,1.0
