Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,199,0.13190546290518218,0.35,0.6147699237476865,0.0001452348968674708,0.6000000000000001,0.01,8.011572247196051,8.011572247196051,0.3,0.7,0.7,1,0.0,0.00023215141590066077,1.0
1,190,0.048130973542009486,0.35,0.5744063926221681,0.0001,1.0,0.01,7.928287224006396,15.939859471202446,0.3,0.7,0.7,1,0.0,0.001661549395436997,1.0
2,188,0.05634672641454614,0.35,0.5323717783848528,0.0001,1.0,0.01,7.849493909809418,23.789353381011864,0.3,0.7,0.7,1,0.0,0.002001605932607309,1.0
3,180,0.06135778558572568,0.35,0.4915160458591084,0.0001,1.0,0.01,7.771476780656941,31.560830161668804,0.3,0.7,0.7,1,0.0,0.002105354122576687,1.0
4,173,0.06073749892096166,0.35,0.4528335670278675,0.0001,1.0,0.01,7.694228094718846,39.25505825638765,0.3,0.7,0.7,1,0.0,0.0021462333252705848,1.0
5,167,0.04659577831915207,0.35,0.407424786571061,0.0001,1.0,0.01,7.617725056459401,46.87278331284705,0.3,0.7,0.7,1,0.0,0.0022810152207862686,1.0
6,156,0.043140335640696297,0.35,0.3638676514143995,0.0001,1.0,0.01,7.54199892321451,54.414782236061555,0.3,0.7,0.7,1,0.0,0.0026512537724150947,1.0
7,149,0.09119605272453092,0.35,0.31522441730052825,0.0001,1.0,0.01,7.467091384191407,61.88187362025296,0.3,0.7,0.7,1,0.0,0.002651669022870717,1.0
8,133,0.017972045447407298,0.35,0.2761305803830612,0.0001,1.0,0.01,7.3926657661565125,69.27453938640947,0.3,0.7,0.7,1,0.0,0.002652617740000079,1.0
9,127,0.01195709906181527,0.35,0.23223448822397802,0.0001,1.0,0.01,7.319059082805884,76.59359846921535,0.3,0.7,0.7,1,0.0,0.002653215216528212,1.0
10,118,0.02529563810293266,0.35,0.19311814164705438,0.0001,1.0,0.01,7.246512536945084,83.84011100616044,0.3,0.7,0.7,1,0.0,0.002654050264303388,1.0
11,111,0.023719334740838156,0.35,0.15630896340139494,0.0001,1.0,0.01,7.174476351930968,91.0145873580914,0.3,0.7,0.7,1,0.0,0.0026543670261316007,1.0
12,105,0.018553909205405825,0.35,0.12612560994372943,0.0001,1.0,0.01,7.103116614679995,98.1177039727714,0.3,0.7,0.7,1,0.0,0.0026563968827629804,1.0
13,95,0.01794672301533391,0.35,0.10305320224705818,0.0001,1.0,0.01,7.032511007836739,105.15021498060813,0.3,0.7,0.7,1,0.0,0.002660252445751872,1.0
14,88,0.021389061354983262,0.35,0.08029907707954592,0.0001,1.0,0.01,6.962654973783992,112.11286995439212,0.3,0.7,0.7,1,0.0,0.002661783012090033,1.0
15,85,0.011416797628430878,0.35,0.06063171224541437,0.0001,1.0,0.01,6.893279072380028,119.00614902677215,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
16,79,0.013445933803450584,0.35,0.04604895408591012,0.0001,1.0,0.01,6.824825772946596,125.83097479971875,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
17,72,0.01155786768853988,0.35,0.03313557554689961,0.0001,1.0,0.01,6.756945917565265,132.58792071728402,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
18,64,0.011685658646558978,0.35,0.021961764116939987,0.0001,1.0,0.01,6.689796734866706,139.27771745215074,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
19,61,0.012546244978901742,0.35,0.011753574693473571,0.0001,1.0,0.01,6.623336038148935,145.90105349029966,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
20,56,0.010631189249106084,0.35,0.006017488530936109,0.0001,1.0,0.01,6.557453503571186,152.45850699387086,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
21,51,0.009999999999999998,0.35,0.0015565725988557829,0.0001,1.0,0.01,6.492261259797147,158.950768253668,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
22,49,0.009999999999999998,0.35,0.0004527441561991947,0.0001,1.0,0.01,6.427741777188465,165.37851003085646,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
23,46,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,6.363864274158156,171.7423743050146,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
24,40,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,6.300622362902686,178.0429966679173,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
25,38,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,6.238009719178229,184.28100638709552,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
26,35,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,6.176020081668234,190.45702646876376,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
27,29,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,6.114647251357292,196.57167372012105,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
28,26,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,6.053885090911229,202.62555881103228,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
29,23,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.993727524063364,208.61928633509564,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
30,19,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.93416853500688,214.5534548701025,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
31,17,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.87520216779324,220.42865703789576,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
32,16,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.816822525736582,226.24547956363233,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
33,12,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.7590237708240535,232.0045033344564,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
34,11,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.701800123131995,237.70630345758838,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
35,10,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.645145860247952,243.35144931783634,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
36,8,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.589055316698423,248.94050463453476,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
37,7,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.533522883382312,254.47402751791708,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
38,5,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.478543007010009,259.95257052492707,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
39,4,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.424110189548061,265.3766807144751,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
40,4,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.37021898766936,270.7468997021445,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
41,4,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.31686401220881,276.0637637143533,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
42,3,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.2640399276244,281.3278036419777,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
43,3,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.211741451463654,286.53954509344135,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
44,3,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.159963353835374,291.69950844727674,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
45,3,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.108700456886645,296.8082089041634,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
46,2,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.057947634285055,301.8661565384484,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
47,2,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,5.007699810706051,306.8738563491545,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
48,2,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,4.9579519613254,311.8318083104799,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
49,0,0.009999999999999998,0.35,0.0,0.0001,1.0,0.01,4.908699111316709,316.7405074217966,0.3,0.7,0.7,1,0.0,0.002668802359586466,1.0
