Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,199,0.0739233331852768,0.35,0.6027199224196305,6.000000000000001e-05,0.6000000000000001,0.01,8.004689908174965,8.004689908174965,0.3,0.7,0.7,1,0.0,0.00029687913270856565,1.0
1,198,0.04573277817995873,0.35,0.5591817334530161,0.0001,1.0,0.01,7.928227652268448,15.932917560443414,0.3,0.7,0.7,1,0.0,0.004205187587933568,1.0
2,189,0.08759492520811332,0.35,0.5158036997445904,0.0001,1.0,0.01,7.849496966039704,23.782414526483116,0.3,0.7,0.7,1,0.0,0.004924872960147328,1.0
3,183,0.10610480826576622,0.35,0.46861770248039303,0.0001,1.0,0.01,7.771487276247245,31.553901802730362,0.3,0.7,0.7,1,0.0,0.006571318770390177,1.0
4,174,0.11928501562695745,0.35,0.42005992603738174,0.0001,1.0,0.01,7.694246797947813,39.24814860067818,0.3,0.7,0.7,1,0.0,0.006733263863309804,1.0
5,166,0.06858613034159584,0.35,0.3731743418544585,0.0001,1.0,0.01,7.617723108571567,46.865871709249745,0.3,0.7,0.7,1,0.0,0.006880970126549471,1.0
6,162,0.06116929085624957,0.35,0.32603838180192407,0.0001,1.0,0.01,7.541992597820835,54.40786430707058,0.3,0.7,0.7,1,0.0,0.007123097953751547,1.0
7,152,0.1174680509176045,0.35,0.2861464096217836,0.0001,1.0,0.01,7.467082964979861,61.87494727205044,0.3,0.7,0.7,1,0.0,0.007192848815314906,1.0
8,148,0.055731593635963125,0.35,0.2422704642143871,0.0001,1.0,0.01,7.3927984918217,69.26774576387214,0.3,0.7,0.7,1,0.0,0.007196489055149974,1.0
9,131,0.03979025194904264,0.35,0.19762632172351804,0.0001,1.0,0.01,7.319269192531854,76.58701495640399,0.3,0.7,0.7,1,0.0,0.007242487410722053,1.0
10,129,0.03935164554992796,0.35,0.1600552621389291,0.0001,1.0,0.01,7.24651894370961,83.8335339001136,0.3,0.7,0.7,1,0.0,0.007243185116022484,1.0
11,117,0.025488704377272187,0.35,0.13373044549911808,0.0001,1.0,0.01,7.174401519132867,91.00793541924646,0.3,0.7,0.7,1,0.0,0.0072434189831434796,1.0
12,110,0.031310459056458684,0.35,0.10614774846080492,0.0001,1.0,0.01,7.103143203784529,98.11107862303099,0.3,0.7,0.7,1,0.0,0.007244442847941762,1.0
13,100,0.03460519664264827,0.35,0.08640240607406746,0.0001,1.0,0.01,7.0325653937881745,105.14364401681917,0.3,0.7,0.7,1,0.0,0.007245014168193016,1.0
14,93,0.028684252786622476,0.35,0.06924824104177703,0.0001,1.0,0.01,6.962630864502151,112.10627488132131,0.3,0.7,0.7,1,0.0,0.007245389755399203,1.0
15,91,0.030058126970373637,0.35,0.05287132432519556,0.0001,1.0,0.01,6.893441425685051,118.99971630700637,0.3,0.7,0.7,1,0.0,0.007245910275542768,1.0
16,83,0.015464401792514432,0.35,0.03523146469920037,0.0001,1.0,0.01,6.824729277438959,125.82444558444533,0.3,0.7,0.7,1,0.0,0.007247095135700419,1.0
17,78,0.018449210271455935,0.35,0.021693064631786663,0.0001,1.0,0.01,6.756967946343913,132.58141353078923,0.3,0.7,0.7,1,0.0,0.007247726154791685,1.0
18,73,0.015911827216355843,0.35,0.012111784688867002,0.0001,1.0,0.01,6.689760386560761,139.27117391734998,0.3,0.7,0.7,1,0.0,0.007249080595580074,1.0
19,66,0.016486818619346387,0.35,0.006740272888588796,0.0001,1.0,0.01,6.623289363086776,145.89446328043675,0.3,0.7,0.7,1,0.0,0.007249150658156334,1.0
20,61,0.015863560452642027,0.35,0.003584476608820679,0.0001,1.0,0.01,6.557451481379282,152.45191476181603,0.3,0.7,0.7,1,0.0,0.007249920865092108,1.0
21,54,0.014999999999999998,0.35,0.0016975367036793528,0.0001,1.0,0.01,6.492261259797147,158.94417602161317,0.3,0.7,0.7,1,0.0,0.007251621327411646,1.0
