Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,209,0.11390543456747192,0.15000000000000002,0.6292603070199035,0.015286098095619986,0.7666666666666666,0.43166666666666664,9.222814184971055,9.222814184971055,0.7,0.3833333333333333,0.95,1,0.0,0.06731341032352572,1.0
1,213,0.10011937172784363,0.15000000000000002,0.6081235691284451,0.017260705651485367,1.0,0.43166666666666664,9.301173806176255,18.523987991147308,0.7,0.3833333333333333,0.95,1,0.0,0.0835556173414021,1.0
2,210,0.07100752291266055,0.15000000000000002,0.5849862810447632,0.011610163354766577,1.0,0.43166666666666664,8.770303333995006,27.294291325142314,0.7,0.3833333333333333,0.95,1,0.0,0.174847334485057,1.0
3,209,0.04582655855087847,0.15000000000000002,0.5661825739690599,0.007217537025161353,1.0,0.43166666666666664,8.340832623327115,35.63512394846943,0.7,0.3833333333333333,0.95,1,0.0,0.21152018794431415,1.0
4,203,0.057427596953721106,0.15000000000000002,0.545381112503746,0.008462248349329278,1.0,0.43166666666666664,8.363183454655342,43.99830740312477,0.7,0.3833333333333333,0.95,1,0.0,0.25063044312711663,1.0
5,198,0.07281545629576762,0.15000000000000002,0.5240373679978976,0.01005587842325397,1.0,0.43166666666666664,8.414212412366556,52.41251981549132,0.7,0.3833333333333333,0.95,1,0.0,0.2905208013179037,1.0
6,194,0.037295786795726524,0.15000000000000002,0.5039566192320054,0.004853149266802017,1.0,0.43166666666666664,7.922215645336563,60.334735460827886,0.7,0.3833333333333333,0.95,1,0.0,0.31577229645376526,1.0
7,183,0.10496821355121358,0.15000000000000002,0.48101053223398593,0.012297942929176702,1.0,0.43166666666666664,8.442914615648888,68.77765007647677,0.7,0.3833333333333333,0.95,1,0.0,0.32502096689177473,1.0
8,179,0.08174831295969878,0.15000000000000002,0.4558319998925582,0.008877805610615708,1.0,0.43166666666666664,8.095073092103174,76.87272316857995,0.7,0.3833333333333333,0.95,1,0.0,0.37261767395019296,1.0
9,170,0.04073808902418784,0.15000000000000002,0.4381918429353287,0.004316666666666667,1.0,0.43166666666666664,7.656646206902277,84.52936937548223,0.7,0.3833333333333333,0.95,1,0.0,0.3916104091175789,1.0
10,163,0.12224324436010829,0.15000000000000002,0.410403618326211,0.010884103046207185,1.0,0.43166666666666664,8.109365853357161,92.6387352288394,0.7,0.3833333333333333,0.95,1,0.0,0.39650586507343155,1.0
11,150,0.06532824386682821,0.15000000000000002,0.3927808601787912,0.0051228489593102815,1.0,0.43166666666666664,7.576409574171264,100.21514480301066,0.7,0.3833333333333333,0.95,1,0.0,0.4392039334726315,1.0
