Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,201,0.9828314592424651,0.09999999999999998,0.6633819576813992,0.15097020383016538,0.8,0.48,20.07752824840478,20.07752824840478,0.8,0.4,0.4,1,0.0,4.646264768476172e-05,1.0
1,201,0.9881288080842286,0.09999999999999998,0.6687020191417973,0.191251453761732,1.0,0.48,23.220413207710244,43.297941456115026,0.8,0.4,0.4,1,0.0,0.00010698612149434969,1.0
2,202,0.9873165550704407,0.09999999999999998,0.6721624889055985,0.19303877506285078,1.0,0.48,23.284589334892846,66.58253079100787,0.8,0.4,0.4,1,0.0,0.00014328925215851922,1.0
3,203,0.9871194718864222,0.09999999999999998,0.6752118480436529,0.19483559547698598,1.0,0.48,23.35030955895408,89.93284034996195,0.8,0.4,0.4,1,0.0,0.00022454661686351258,1.0
4,203,0.9891707361633467,0.09999999999999998,0.6755198074016451,0.19532951756873668,1.0,0.48,23.31257476713073,113.24541511709268,0.8,0.4,0.4,1,0.0,0.0002732940792907407,1.0
5,204,0.9833275918292498,0.09999999999999998,0.6775742442878309,0.19572566368881544,1.0,0.48,23.267786448418153,136.51320156551083,0.8,0.4,0.4,1,0.0,0.0003348684757582843,1.0
6,203,0.983581606263215,0.09999999999999998,0.6819070178512537,0.19606229796654698,1.0,0.48,23.218998281080598,159.7321998465914,0.8,0.4,0.4,1,0.0,0.0004704233403451685,1.0
7,194,0.9864674126113109,0.09999999999999998,0.6848895698131529,0.18874155012546612,1.0,0.48,22.558375683405085,182.2905755299965,0.8,0.4,0.4,1,0.0,0.0005687299439506957,1.0
8,200,0.9868668848784311,0.09999999999999998,0.6836751462165535,0.19431255220287438,1.0,0.48,22.929834439014076,205.22040996901057,0.8,0.4,0.4,1,0.0,0.0007361337571324582,1.0
9,198,0.981700601903508,0.09999999999999998,0.6837941234230654,0.191395667956919,1.0,0.48,22.623003679944773,227.84341364895533,0.8,0.4,0.4,1,0.0,0.0008224370118385979,1.0
10,192,0.981183950136001,0.09999999999999998,0.6863189108536852,0.1861830420492322,1.0,0.48,22.133245610415937,249.97665925937127,0.8,0.4,0.4,1,0.0,0.0009504079352004454,1.0
11,201,0.9826707270840964,0.09999999999999998,0.6826425127465338,0.19416006098232377,1.0,0.48,22.699378401418965,272.67603766079026,0.8,0.4,0.4,1,0.0,0.0010591979146943526,1.0
12,201,0.9796597574729735,0.09999999999999998,0.6813103182495085,0.19318739404200436,1.0,0.48,22.550256067527815,295.22629372831807,0.8,0.4,0.4,1,0.0,0.001111423020142069,1.0
13,199,0.9840614860239192,0.09999999999999998,0.690753783103106,0.19478749631204187,1.0,0.48,22.60766401536995,317.833957743688,0.8,0.4,0.4,1,0.0,0.0011613480900046012,1.0
14,199,0.9824575836720181,0.09999999999999998,0.6921178412079549,0.19485404345664392,1.0,0.48,22.54309048255144,340.3770482262395,0.8,0.4,0.4,1,0.0,0.0012892725689777529,1.0
15,197,0.9824887496347742,0.09999999999999998,0.6900766369420218,0.19233292152920167,1.0,0.48,22.27219984518003,362.6492480714195,0.8,0.4,0.4,1,0.0,0.0013142264120863765,1.0
16,205,0.9850398285370192,0.09999999999999998,0.6916664142501987,0.20112535879207954,1.0,0.48,22.907078579624148,385.55632665104366,0.8,0.4,0.4,1,0.0,0.001474356930909446,1.0
17,205,0.9819431531936864,0.09999999999999998,0.6934332458410652,0.20100523065099002,1.0,0.48,22.829636843238386,408.38596349428207,0.8,0.4,0.4,1,0.0,0.0018604757254447133,1.0
18,209,0.9847153109269812,0.09999999999999998,0.6891398848446083,0.2042334411252206,1.0,0.48,23.02073604269415,431.4066995369762,0.8,0.4,0.4,1,0.0,0.0020921844703439096,1.0
19,210,0.987225068751844,0.09999999999999998,0.6832352192488113,0.20397089753608846,1.0,0.48,22.933244356447954,454.33994389342416,0.8,0.4,0.4,1,0.0,0.0023552746955504684,1.0
20,213,0.9794483905415197,0.09999999999999998,0.6892091079484676,0.2070497261882642,1.0,0.48,23.113722694465228,477.4536665878894,0.8,0.4,0.4,1,0.0,0.0025621450158255024,1.0
21,212,0.9885838315730585,0.09999999999999998,0.703486686407526,0.21230867455025756,1.0,0.48,23.469265084802306,500.92293167269173,0.8,0.4,0.4,1,0.0,0.002673450107111107,1.0
22,218,0.9887700817377599,0.09999999999999998,0.7017283614268759,0.21781276707498468,1.0,0.48,23.845067258718736,524.7679989314105,0.8,0.4,0.4,1,0.0,0.0027175365531594492,1.0
23,220,0.9881354272044085,0.09999999999999998,0.7046113529370117,0.22057245627040492,1.0,0.48,24.00196013341775,548.7699590648282,0.8,0.4,0.4,1,0.0,0.0027199570003867326,1.0
24,231,0.9862147448997809,0.09999999999999998,0.7050574525551875,0.2312972508518413,1.0,0.48,24.796694254982388,573.5666533198106,0.8,0.4,0.4,1,0.0,0.0029919917714125413,1.0
25,228,0.985915874317989,0.09999999999999998,0.7063037698400688,0.2286276343501242,1.0,0.48,24.52050951688896,598.0871628366996,0.8,0.4,0.4,1,0.0,0.003222557507634881,1.0
26,235,0.9860660143332516,0.09999999999999998,0.7018436728900154,0.2341945229828284,1.0,0.48,24.90386535116915,622.9910281878688,0.8,0.4,0.4,1,0.0,0.003284347068525637,1.0
27,233,0.9864031320941283,0.09999999999999998,0.7012345783782303,0.23207917878098366,1.0,0.48,24.673262099554165,647.664290287423,0.8,0.4,0.4,1,0.0,0.003367201856147886,1.0
28,231,0.9886554155902864,0.09999999999999998,0.7032666670287576,0.23128073303075689,1.0,0.48,24.548620998298365,672.2129112857214,0.8,0.4,0.4,1,0.0,0.003459796415423981,1.0
29,225,0.9870509561653131,0.09999999999999998,0.707818572895363,0.22636357173041105,1.0,0.48,24.095088665941105,696.3079999516625,0.8,0.4,0.4,1,0.0,0.0035839150117887384,1.0
30,228,0.9841239119995584,0.09999999999999998,0.7048392449063268,0.22773889057880248,1.0,0.48,24.145551131977875,720.4535510836404,0.8,0.4,0.4,1,0.0,0.0036414956164463235,1.0
31,234,0.986897716525322,0.09999999999999998,0.7033311934997212,0.23388931011637668,1.0,0.48,24.578612724194407,745.0321638078348,0.8,0.4,0.4,1,0.0,0.004010169513000713,1.0
32,234,0.9855515542339573,0.09999999999999998,0.7009429165044742,0.2327771507110885,1.0,0.48,24.431257243333047,769.4634210511678,0.8,0.4,0.4,1,0.0,0.004216573649082814,1.0
33,232,0.9893665015038379,0.09999999999999998,0.700378931042272,0.23149453972880354,1.0,0.48,24.2708466982289,793.7342677493966,0.8,0.4,0.4,1,0.0,0.00425233611484039,1.0
34,238,0.9818494862313932,0.09999999999999998,0.6963505653318619,0.23432158636460762,1.0,0.48,24.43978228531223,818.1740500347089,0.8,0.4,0.4,1,0.0,0.0043061743486173835,1.0
35,237,0.9861023538772915,0.09999999999999998,0.694970264162784,0.2338832156654271,1.0,0.48,24.348055234234494,842.5221052689434,0.8,0.4,0.4,1,0.0,0.004314903336667347,1.0
36,225,0.9848039624646725,0.09999999999999998,0.6971114144213875,0.22243185895729728,1.0,0.48,23.375856830782126,865.8979620997255,0.8,0.4,0.4,1,0.0,0.004461020911044886,1.0
