Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,211,0.983489333659033,0.09999999999999998,0.6477102517132237,0.0020760058485602734,0.30000000000000004,0.06864567409756832,8.166044655912469,8.166044655912469,0.8,0.85,0.85,1,0.0,0.000315826366771404,1.0
1,213,0.9875401118197843,0.09999999999999998,0.6529711192526577,0.007189614925799674,1.0,0.06979367161055282,8.495530629278568,16.661575285191034,0.8,0.85,0.85,1,0.0,0.0017038717471545334,1.0
2,219,0.9882040941463381,0.09999999999999998,0.6546752940456545,0.007455940912970886,1.0,0.07016563801983,8.438027680328945,25.099602965519978,0.8,0.85,0.85,1,0.0,0.001981190320680305,1.0
3,216,0.9878511089988969,0.09999999999999998,0.659920993319429,0.0075310198219689815,1.0,0.07131080517136396,8.366009188708956,33.465612154228936,0.8,0.85,0.85,1,0.0,0.0028510147445795983,1.0
4,220,0.9841181380851362,0.09999999999999998,0.662452035452373,0.007730249572603326,1.0,0.07186342240514727,8.304699062361415,41.77031121659035,0.8,0.85,0.85,1,0.0,0.0033841984588870895,1.0
5,218,0.9852497601579707,0.09999999999999998,0.6698112584286182,0.007927355692122913,1.0,0.07347029897094735,8.243987706947006,50.01429892353735,0.8,0.85,0.85,1,0.0,0.004307485417759165,1.0
6,220,0.9808115964129493,0.09999999999999998,0.6734149702551759,0.008092644330478644,1.0,0.07425712843483301,8.18149192120159,58.195790844738944,0.8,0.85,0.85,1,0.0,0.004574356444993549,1.0
7,227,0.9876847818443903,0.09999999999999998,0.6770450486995535,0.00854420384927163,1.0,0.07504962940821774,8.142651179789013,66.33844202452795,0.8,0.85,0.85,1,0.0,0.007479138200238261,1.0
8,235,0.984230608972629,0.09999999999999998,0.6761607928156018,0.008780232902160604,1.0,0.0748565932928485,8.087313940435841,74.4257559649638,0.8,0.85,0.85,1,0.0,0.007597020280580128,1.0
9,227,0.9866979776758865,0.09999999999999998,0.6819759473301117,0.008721132184344157,1.0,0.07612590219157345,8.009104949751322,82.43486091471512,0.8,0.85,0.85,1,0.0,0.011784165826053095,1.0
10,231,0.9874786842207999,0.09999999999999998,0.6797905164598799,0.008797895934497127,1.0,0.07564892241600207,7.94249620783218,90.3773571225473,0.8,0.85,0.85,1,0.0,0.012042708447411421,1.0
11,230,0.9889803213601845,0.09999999999999998,0.6807279543429342,0.00880899030402314,1.0,0.07585353010638553,7.871357814836242,98.24871493738354,0.8,0.85,0.85,1,0.0,0.012248470331868938,1.0
12,232,0.9849422228110788,0.09999999999999998,0.6808385400926239,0.008853563355957416,1.0,0.07587766609366123,7.803614346985291,106.05232928436882,0.8,0.85,0.85,1,0.0,0.012489906986753018,1.0
13,235,0.9888907943716034,0.09999999999999998,0.6845568858905947,0.00914999220879399,1.0,0.07668911415580595,7.756728834064284,113.80905811843311,0.8,0.85,0.85,1,0.0,0.013778258000750242,1.0
14,230,0.9831531079290473,0.09999999999999998,0.6881095672155892,0.009040009035010291,1.0,0.07746419507738382,7.678032932512713,121.48709105094582,0.8,0.85,0.85,1,0.0,0.014367417974011667,1.0
15,236,0.9872365449773298,0.09999999999999998,0.6869078507813063,0.009266628982077352,1.0,0.07720204512828777,7.626960700529893,129.11405175147573,0.8,0.85,0.85,1,0.0,0.0161942493671442,1.0
16,240,0.9860399447638043,0.09999999999999998,0.6923586054059527,0.009633044836023383,1.0,0.07839086801979528,7.587760635161616,136.70181238663736,0.8,0.85,0.85,1,0.0,0.016305940987714755,1.0
17,249,0.9845267746681272,0.09999999999999998,0.6942872334719954,0.010060419105741866,1.0,0.07881134727621293,7.554118937900711,144.25593132453807,0.8,0.85,0.85,1,0.0,0.0163397990762016,1.0
18,253,0.9879730569799542,0.09999999999999998,0.7001065230758327,0.010510230943695058,1.0,0.08007948089270411,7.522947196797052,151.77887852133512,0.8,0.85,0.85,1,0.0,0.020162345069922132,1.0
19,251,0.9897345831405809,0.09999999999999998,0.6994087968328876,0.010415520020285724,1.0,0.07992748307988214,7.448882036165075,159.2277605575002,0.8,0.85,0.85,1,0.0,0.022787895020433855,1.0
20,245,0.9857878685308402,0.09999999999999998,0.7053590045475908,0.010377705071546303,1.0,0.0812232367650097,7.3800300763568165,166.607790633857,0.8,0.85,0.85,1,0.0,0.02521867363640047,1.0
21,252,0.9865481727789406,0.09999999999999998,0.7060139215878127,0.01071112741999623,1.0,0.08136578526747883,7.341531979732988,173.94932261359,0.8,0.85,0.85,1,0.0,0.025840707830475814,1.0
22,253,0.9801389673877694,0.09999999999999998,0.7097932620397446,0.010849512907857137,1.0,0.08218809762984847,7.288079438817404,181.2374020524074,0.8,0.85,0.85,1,0.0,0.02662582588543518,1.0
23,259,0.9875932757841515,0.09999999999999998,0.7105753496815048,0.0112268038506568,1.0,0.08235819990188853,7.254381333339605,188.491783385747,0.8,0.85,0.85,1,0.0,0.030453089002594608,1.0
