Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,197,0.9770846980742792,0.25,0.6197972278113755,0.07635334033859875,0.4,0.4,14.10823704031558,14.10823704031558,0.5,0.2,0.2,1,0.0,0.0125939343946597,0.985
1,194,0.9829060727436143,0.25,0.5930429526380575,0.18093387326700092,1.0,0.4,22.395060698472857,36.50329773878843,0.5,0.2,0.2,1,0.0,0.04418627152743021,0.97
2,194,0.9799928882294879,0.25,0.5721516759237764,0.17404269958146149,1.0,0.4,21.76495882476374,58.26825656355217,0.5,0.2,0.2,1,0.0,0.06229138910582092,0.955
3,191,0.986066826012391,0.25,0.548235615708449,0.16520642898610985,1.0,0.4,20.98003381946824,79.24829038302042,0.5,0.2,0.2,1,0.0,0.18458093764848094,0.94
4,186,0.9833854698684665,0.25,0.520618324557098,0.1523618243252946,1.0,0.4,19.875219014570373,99.1235093975908,0.5,0.2,0.2,1,0.0,0.20944993948467963,0.9249999999999999
5,184,0.9819651616168877,0.25,0.49669082699930245,0.14358862116843393,1.0,0.4,19.09688428943194,118.22039368702274,0.5,0.2,0.2,1,0.0,0.2681633095436903,0.9099999999999999
6,174,0.9732607896562464,0.25,0.476046438772092,0.12898754548280386,1.0,0.4,17.853081662978806,136.07347535000153,0.5,0.2,0.2,1,0.0,0.33908489133814734,0.8949999999999999
7,169,0.9803624778104095,0.25,0.4578254880907325,0.12136496504749923,1.0,0.4,17.168311065487018,153.24178641548855,0.5,0.2,0.2,1,0.0,0.43743310345467507,0.8799999999999999
8,153,0.971635456849617,0.25,0.43852953165735004,0.10430703808094802,1.0,0.4,15.729460105509062,168.97124652099762,0.5,0.2,0.2,1,0.0,0.47983227969143716,0.8649999999999999
9,149,0.9640665187983063,0.25,0.41257896575359143,0.0934256347865561,1.0,0.39409934615837316,14.785468501569067,183.75671502256668,0.5,0.2,0.2,1,0.0,0.5086100316261232,0.8499999999999999
10,140,0.9722998718165534,0.25,0.39224269875599455,0.07781072733276893,1.0,0.3643311889370098,13.463528681209667,197.22024370377636,0.5,0.2,0.2,1,0.0,0.5291532652796821,0.8349999999999999
11,134,0.9633699352251951,0.25,0.37158116322498624,0.06397781429184647,1.0,0.3334401023348823,12.284871828451463,209.50511553222782,0.5,0.2,0.2,1,0.0,0.5354716134083983,0.8199999999999998
12,126,0.978421068342756,0.25,0.35956053206531213,0.055888832743745634,1.0,0.31520760901688455,11.56644537512938,221.0715609073572,0.5,0.2,0.2,1,0.0,0.5361755674859741,0.8049999999999998
13,126,0.9502896878633841,0.25,0.33783079213759026,0.04560641666845508,1.0,0.28186436048837205,10.673253751245097,231.74481465860228,0.5,0.2,0.2,1,0.0,0.5438412867971335,0.7899999999999998
14,122,0.9660112782716458,0.25,0.3133096568384054,0.03601912540953708,1.0,0.24386943022192772,9.836374797371656,241.58118945597394,0.5,0.2,0.2,1,0.0,0.5506515733103292,0.7749999999999998
15,116,0.9684344761531434,0.25,0.2902330691628588,0.027139945702450822,1.0,0.20810085165791992,9.056840037328822,250.63802949330275,0.5,0.2,0.2,1,0.0,0.5637832443584984,0.7599999999999998
16,108,0.9345030806235374,0.25,0.26810010534358203,0.018855051873094643,1.0,0.17420726508290557,8.325536405131995,258.96356589843475,0.5,0.2,0.2,1,0.0,0.5778235373588066,0.7449999999999998
17,103,0.9084898635034385,0.25,0.2471223461880852,0.013220619599580707,1.0,0.1429297021749638,7.806951019496627,266.7705169179314,0.5,0.2,0.2,1,0.0,0.5904930933241759,0.7299999999999998
