Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,202,0.02224095710085277,0.25,0.621192341264102,0.0017861211309526427,0.4,0.4,8.142648660622124,8.142648660622124,0.5,0.2,0.2,1,0.0,0.07802598547596518,1.0
1,207,0.06344067064807832,0.07499999999999998,0.6366806458861265,0.03386216972966066,0.6,1.35,10.629214386218747,18.77186304684087,0.9,0.0,0.0,2,0.0,0.11202942649913483,1.0
2,203,0.0298542981912969,0.11249999999999998,0.6526749451012123,0.040049295182059436,1.0,2.025,11.045264952315739,29.81712799915661,0.9,0.0,0.0,3,0.0,0.10281298478177875,1.0
3,200,0.03748476544689256,0.11249999999999998,0.6665859334103533,0.0505983051622722,1.0,2.025,11.811192378393176,41.628320377549784,0.9,0.0,0.0,3,0.0,0.23828668838296188,1.0
4,203,0.04868858925580301,0.16874999999999996,0.6779098928215367,0.10176102941176472,1.0,3.0375,15.826959530263768,57.45527990781355,0.9,0.0,0.0,4,0.0,0.2297333314600334,1.0
5,201,0.07600175189177072,0.25312499999999993,0.6935687946140199,0.24137192581284145,1.0,4.55625,26.919328210130114,84.37460811794367,0.9,0.0,0.0,5,0.0,0.21818860648012484,1.0
6,205,0.05530468241163125,0.3796874999999999,0.703845293008839,0.27268533574669207,1.0,6.8343750000000005,29.348582474519237,113.7231905924629,0.9,0.0,0.0,6,0.0,0.05491073042057703,1.0
7,203,0.07893135973537693,0.3796874999999999,0.7194100336496709,0.393904481625078,1.0,6.8343750000000005,38.97116201586416,152.69435260832705,0.9,0.0,0.0,6,0.0,0.16009859789967054,1.0
8,200,0.15933368569226308,0.5695312499999998,0.729906229269827,1.1221834039749097,1.0,9.649152476691627,97.15915800134178,249.85351060966883,0.9,0.0,0.0,7,0.0,0.1668986853200754,1.0
9,201,0.059427269327938494,0.5695312499999998,0.7425979152251173,0.4395193304136564,1.0,9.909971786940766,42.47252126613518,292.326031875804,0.9,0.0,0.0,7,0.0,0.23539127392100184,1.0
10,205,0.06302091944906162,0.5695312499999998,0.7506950258853918,0.4885734388358655,1.0,10.075293685686592,46.324084540083334,338.65011641588734,0.9,0.0,0.0,7,0.0,0.4323488474985584,1.0
11,204,0.04032489429773651,0.5695312499999998,0.764182979011022,0.32222618790956714,1.0,10.2515625,32.94423582120206,371.5943522370894,0.9,0.0,0.0,7,0.0,0.538405213086605,1.0
12,206,0.16441192471617747,0.5695312499999998,0.7703275040043654,1.337322052833508,1.0,10.2515625,114.0806189369138,485.6749711740032,0.9,0.0,0.0,7,0.0,0.5542060931904164,1.0
13,206,0.11438192615878646,0.5695312499999998,0.775258622717183,0.9363350904334764,1.0,10.2515625,81.93106905294741,567.6060402269507,0.9,0.0,0.0,7,0.0,0.568909007358015,1.0
14,211,0.07826285064869892,0.5695312499999998,0.7845866723828823,0.6641086127614567,1.0,10.2515625,60.08303552731957,627.6890757542702,0.9,0.0,0.0,7,0.0,0.7378590455120216,1.0
15,212,0.07671051330198524,0.5695312499999998,0.7880977767590115,0.6569478871188034,1.0,10.2515625,59.44097134842837,687.1300471026985,0.9,0.0,0.0,7,0.0,0.7716840833726217,1.0
16,215,0.026064277275298506,0.5695312499999998,0.7924446468302127,0.22762143192258127,1.0,10.2515625,25.026248286293907,712.1562953889925,0.9,0.0,0.0,7,0.0,0.8376994459140238,1.0
17,218,0.058703565755481156,0.5695312499999998,0.7934089207986645,0.5204489333193653,1.0,10.2515625,48.3846862048841,760.5409815938766,0.9,0.0,0.0,7,0.0,0.8577057899601954,1.0
