Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,204,0.11722765230203136,0.09999999999999998,0.6675113369581246,0.016346276383728226,0.4,0.6400000000000001,9.30761758351261,9.30761758351261,0.8,0.2,0.2,1,0.0,0.08000000000000004,1.0
1,217,0.09773431691379357,0.09999999999999998,0.6720253114480051,0.03648651735962519,1.0,0.6400000000000001,10.839210096192216,20.146827679704828,0.8,0.2,0.2,1,0.0,0.16000000000000014,1.0
2,216,0.06297178586280311,0.09999999999999998,0.6746382056085944,0.023491495131098203,1.0,0.6400000000000001,9.720776064632243,29.86760374433707,0.8,0.2,0.2,1,0.0,0.24000000000000016,1.0
3,213,0.10102735335821411,0.09999999999999998,0.6804743228393244,0.03748610235181266,1.0,0.6400000000000001,10.762345517096385,40.62994926143345,0.8,0.2,0.2,1,0.0,0.32000000000000023,1.0
4,212,0.07115429533461708,0.09999999999999998,0.6833161192187843,0.026387522340365146,1.0,0.6400000000000001,9.797194505111174,50.427143766544624,0.8,0.2,0.2,1,0.0,0.40000000000000036,1.0
5,204,0.039401760974102994,0.09999999999999998,0.6893441296864525,0.014184755240623513,1.0,0.6400000000000001,8.74444431764167,59.1715880841863,0.8,0.2,0.2,1,0.0,0.4800000000000004,1.0
6,204,0.056890430370667815,0.09999999999999998,0.6948204569771196,0.02064343425245587,1.0,0.6400000000000001,9.185455651839952,68.35704373602624,0.8,0.2,0.2,1,0.0,0.5600000000000005,1.0
7,205,0.17540195854764862,0.09999999999999998,0.6955832489158001,0.06402909736836462,1.0,0.6400000000000001,12.581386338021407,80.93843007404764,0.8,0.2,0.2,1,0.0,0.6400000000000006,1.0
8,204,0.16463312989415368,0.09999999999999998,0.6987936714419899,0.060080886305441866,1.0,0.6400000000000001,12.191309676051674,93.12973975009932,0.8,0.2,0.2,1,0.0,0.7200000000000006,1.0
9,206,0.2443266013729695,0.09999999999999998,0.7018486978003682,0.09043185470564177,1.0,0.6400000000000001,14.545906102417053,107.67564585251637,0.8,0.2,0.2,1,0.0,0.8000000000000007,1.0
10,211,0.08359872608840267,0.09999999999999998,0.7032249564543888,0.03175530987078816,1.0,0.6400000000000001,9.779014352881733,117.4546602053981,0.8,0.2,0.2,1,0.0,0.8800000000000008,1.0
11,218,0.04109594979019991,0.09999999999999998,0.7030738021587608,0.01612487648400912,1.0,0.6400000000000001,8.45650288048552,125.91116308588362,0.8,0.2,0.2,1,0.0,0.9600000000000009,1.0
12,211,0.11531434633700507,0.09999999999999998,0.7075855830374677,0.04407423041518295,1.0,0.6400000000000001,10.621204530856797,136.5323676167404,0.8,0.2,0.2,1,0.0,1.040000000000001,1.0
