Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,199,0.04964755497213651,0.2,0.6249931477271377,0.00474228245770702,0.4,0.48,8.379261401635736,8.379261401635736,0.6,0.2,0.2,1,0.0,5.190811030386086e-07,1.0
1,201,0.06317991331561008,0.2,0.6125267360438034,0.014934867078595114,1.0,0.48,9.115080775870489,17.494342177506226,0.6,0.2,0.2,1,0.0,9.621926755947477e-07,1.0
2,204,0.039054667295854724,0.2,0.5957176932475285,0.009112653096298365,1.0,0.48,8.57044841074352,26.064790588249746,0.6,0.2,0.2,1,0.0,1.7251973948823297e-06,1.0
3,199,0.06982257185357178,0.2,0.5807262487414226,0.015492503511879616,1.0,0.48,9.002867082141314,35.06765767039106,0.6,0.2,0.2,1,0.0,1.889437922863398e-06,1.0
4,195,0.06986128869261145,0.2,0.5664292460119267,0.014815561018593796,1.0,0.48,8.87146439411479,43.939122064505845,0.6,0.2,0.2,1,0.0,2.20765445416919e-06,1.0
5,193,0.04075447737198037,0.2,0.5579723244042373,0.008426486401038507,1.0,0.48,8.283811738313814,52.22293380281966,0.6,0.2,0.2,1,0.0,2.637029970975812e-06,1.0
6,187,0.021009124772788535,0.2,0.5439235476287002,0.0048,1.0,0.48,7.917865877621562,60.14079968044122,0.6,0.2,0.2,1,0.0,2.8772856795377526e-06,1.0
7,179,0.0492005618986246,0.2,0.5335382333976771,0.009021730900001619,1.0,0.48,8.180769771561318,68.32156945200254,0.6,0.2,0.2,1,0.0,3.935383488906539e-06,1.0
8,177,0.15774396333707397,0.2,0.5156344237221046,0.027641979879703044,1.0,0.48,9.596233147140083,77.91780259914262,0.6,0.2,0.2,1,0.0,4.378319072455364e-06,1.0
9,174,0.28495897947997373,0.2,0.5089109426395703,0.048447861614923836,1.0,0.48,11.187232898370755,89.10503549751337,0.6,0.2,0.2,1,0.0,5.38387344712446e-06,1.0
10,170,0.05660442713994011,0.2,0.49549314539195094,0.009154575283075842,1.0,0.48,7.970962409985205,97.07599790749858,0.6,0.2,0.2,1,0.0,5.493028019825003e-06,1.0
