Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,200,0.01818441794514797,0.41625,0.6004971600717396,1.9999999999999995e-05,0.19999999999999996,0.01,8.001317790815198,8.001317790815198,0.16750000000000004,0.9,0.9,1,0.0,5.089317316254117e-07,1.0
1,199,0.022169894460647648,0.2,0.5890092181608574,4.98930464331261e-05,0.01,0.48,7.924151866105266,15.925469656920464,0.6,0.2,0.2,1,0.0,1.0396378478565942e-06,1.0
2,198,0.027383826869256205,0.2,0.5759650341001473,0.005995931715370845,1.0,0.48,8.321058406371508,24.246528063291972,0.6,0.2,0.2,1,0.0,1.1919419793636743e-06,1.0
3,193,0.049527933910053945,0.2,0.559618489233028,0.010270717971971492,1.0,0.48,8.5850972729965,32.83162533628847,0.6,0.2,0.2,1,0.0,1.749277657906219e-06,1.0
4,182,0.07801440111269776,0.2,0.5435205718710849,0.0148171058055659,1.0,0.48,8.871596270161621,41.703221606450086,0.6,0.2,0.2,1,0.0,2.6702471327656625e-06,1.0
5,182,0.03174074899065732,0.2,0.5307636429680943,0.005886958219769702,1.0,0.48,8.08061779011909,49.78383939656918,0.6,0.2,0.2,1,0.0,3.4582705551833115e-06,1.0
6,178,0.07004776288991714,0.2,0.5154083632717444,0.012338630596426021,1.0,0.48,8.521114709965474,58.30495410653465,0.6,0.2,0.2,1,0.0,4.177750980162035e-06,1.0
7,169,0.032992194864163084,0.2,0.509493630271703,0.005454285925062886,1.0,0.48,7.895329062572888,66.20028316910754,0.6,0.2,0.2,1,0.0,4.674191576633929e-06,1.0
8,164,0.04747404507158954,0.2,0.4966704965918819,0.007424542150488591,1.0,0.48,7.978774142146332,74.17905731125387,0.6,0.2,0.2,1,0.0,5.527003771512912e-06,1.0
9,157,0.044229555942045765,0.2,0.4804351607562908,0.0064054293304584755,1.0,0.48,7.823758603484369,82.00281591473824,0.6,0.2,0.2,1,0.0,7.466897270917874e-06,1.0
10,155,0.04396434389942138,0.2,0.46383303156228006,0.006068693397666939,1.0,0.48,7.72407052814501,89.72688644288324,0.6,0.2,0.2,1,0.0,8.156817120932479e-06,1.0
11,152,0.1410282948630415,0.2,0.45427931295386587,0.01869709057614822,1.0,0.48,8.662385697103762,98.389272139987,0.6,0.2,0.2,1,0.0,9.3986079767764e-06,1.0
12,152,0.03546879034560967,0.2,0.44104220499866736,0.0048,1.0,0.48,7.479217678915004,105.868489818902,0.6,0.2,0.2,1,0.0,9.413320030957685e-06,1.0
13,145,0.07638751679789631,0.2,0.429022896582874,0.009123723051482747,1.0,0.48,7.7545833040280865,113.6230731229301,0.6,0.2,0.2,1,0.0,9.827321335189205e-06,1.0
14,140,0.04572863289617959,0.2,0.4165313225830675,0.005119943254315345,1.0,0.48,7.364346883035683,120.98742000596577,0.6,0.2,0.2,1,0.0,9.961396568895896e-06,1.0
15,134,0.08646545958410162,0.2,0.40386012639533087,0.008984205105573885,1.0,0.48,7.604330995265709,128.59175100123147,0.6,0.2,0.2,1,0.0,1.038056558260768e-05,1.0
16,126,0.0374262221726849,0.2,0.3965414103425779,0.0048,1.0,0.48,7.201016557089322,135.7927675583208,0.6,0.2,0.2,1,0.0,1.0718352857003334e-05,1.0
17,123,0.07964185805742964,0.2,0.38726305376135123,0.007283729177282761,1.0,0.48,7.331945581242507,143.1247131395633,0.6,0.2,0.2,1,0.0,1.1732571123019437e-05,1.0
18,116,0.07172501029904224,0.2,0.37137619910462594,0.005932584111070888,1.0,0.48,7.1566926392629995,150.2814057788263,0.6,0.2,0.2,1,0.0,1.6639616677815896e-05,1.0
19,109,0.04722895373713613,0.2,0.3635232036386592,0.0048,1.0,0.48,6.999567319659241,157.28097309848553,0.6,0.2,0.2,1,0.0,1.8879107008426747e-05,1.0
20,100,0.02171736180869708,0.2,0.3635303536349126,0.0048,1.0,0.48,6.933633485023698,164.21460658350924,0.6,0.2,0.2,1,0.0,1.9804820437674394e-05,1.0
21,97,0.061167884404874875,0.2,0.3602831361218642,0.0048,1.0,0.48,6.868590907608483,171.08319749111772,0.6,0.2,0.2,1,0.0,1.984400831829084e-05,1.0
22,91,0.13428593078854242,0.2,0.35461282703387015,0.008320081407071557,1.0,0.48,7.085710631914831,178.16890812303254,0.6,0.2,0.2,1,0.0,2.2107749627157942e-05,1.0
23,86,0.026562716573959113,0.2,0.3379336879789097,0.0048,1.0,0.48,6.74009759478872,184.90900571782126,0.6,0.2,0.2,1,0.0,2.4864072253736053e-05,1.0
24,83,0.03341898435676336,0.2,0.346934770336783,0.0048,1.0,0.48,6.676885499600248,191.5858912174215,0.6,0.2,0.2,1,0.0,2.7077384155756707e-05,1.0
25,83,0.07781475821654549,0.2,0.34374568493991897,0.0048,1.0,0.48,6.6143407370848495,198.20023195450636,0.6,0.2,0.2,1,0.0,2.760723159378213e-05,1.0
26,79,0.03678328256404245,0.2,0.3260015594623571,0.004640772889786506,1.0,0.46407728897865064,6.539551140483552,204.73978309498992,0.6,0.2,0.2,1,0.0,3.0716958506809664e-05,1.0
27,78,0.04352862630541957,0.2,0.339299104516064,0.0048,1.0,0.48,6.490930585526634,211.23071368051654,0.6,0.2,0.2,1,0.0,3.1640811469281325e-05,1.0
28,77,0.062258127550301016,0.2,0.3250278147985251,0.004619497975464323,1.0,0.4619497975464323,6.415753333544491,217.64646701406105,0.6,0.2,0.2,1,0.0,3.511664789433418e-05,1.0
29,70,0.036678841651603844,0.2,0.3080293137190971,0.004243522844192009,1.0,0.4243522844192009,6.325470723906798,223.97193773796783,0.6,0.2,0.2,1,0.0,3.734753230922728e-05,1.0
30,66,0.04107359662357345,0.2,0.30626024078658215,0.004203920110590401,1.0,0.4203920110590401,6.262752334467334,230.23469007243517,0.6,0.2,0.2,1,0.0,4.293705755420737e-05,1.0
