Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,206,0.9836231272616521,0.0,0.6773986814109486,0.00017157353992368232,0.10000000000000009,0.050000000000000044,5.008573585032151,5.008573585032151,1.0,0.95,0.95,1,0.0,2.552147930507349e-06,1.0
1,217,0.9876524227820439,0.0,0.6968073365603411,0.0018667518694256147,1.0,0.050000000000000044,5.043581655580881,10.052155240613033,1.0,0.95,0.95,1,0.0,5.781516760277481e-06,1.0
2,229,0.9825748922372862,0.0,0.7136203198744981,0.002007143232973456,1.0,0.050000000000000044,5.001345438142517,15.05350067875555,1.0,0.95,0.95,1,0.0,5.949964911164262e-06,1.0
3,232,0.9903576425403521,0.0,0.7306902108271678,0.002098569440404113,1.0,0.050000000000000044,4.957151134347609,20.01065181310316,1.0,0.95,0.95,1,0.0,6.804181967149805e-06,1.0
4,228,0.9821104514690864,0.0,0.7504568669731686,0.002100539867428624,1.0,0.050000000000000044,4.9089691907449495,24.919621003848107,1.0,0.95,0.95,1,0.0,7.728389609268675e-06,1.0
5,220,0.9904298089255148,0.0,0.7707277787246601,0.0020992173581935955,1.0,0.050000000000000044,4.861103082338959,29.780724086187064,1.0,0.95,0.95,1,0.0,9.339652069913468e-06,1.0
6,230,0.9889554477277617,0.0,0.7807031550757119,0.002219731835027337,1.0,0.050000000000000044,4.819804386041147,34.60052847222821,1.0,0.95,0.95,1,0.0,1.0278373775355162e-05,1.0
7,238,0.9862442212040432,0.0,0.7913661060983432,0.0023219287407638084,1.0,0.050000000000000044,4.778060691864572,39.37858916409279,1.0,0.95,0.95,1,0.0,1.0681950867607957e-05,1.0
8,240,0.9867149041084176,0.0,0.8032350573203945,0.002377692007681241,1.0,0.050000000000000044,4.734461534111078,44.113050698203864,1.0,0.95,0.95,1,0.0,1.0962141693774533e-05,1.0
9,249,0.9879106397603296,0.0,0.8112676829947776,0.0024945441744417362,1.0,0.050000000000000044,4.694378383253321,48.80742908145719,1.0,0.95,0.95,1,0.0,1.120513555865034e-05,1.0
