Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,204,0.9907698295913094,0.04999999999999999,0.6721084469990524,0.006113005802371201,0.01,0.9,8.488971442586372,8.488971442586372,0.9,0.0,0.0,1,0.0,0.0008105210786303576,1.0
1,204,0.9809494619138981,0.07499999999999998,0.683736688416816,0.9235692350889277,1.0,1.35,81.80547633127044,90.29444777385682,0.9,0.0,0.0,2,0.0,0.06209038721606941,1.0
2,204,0.9890538711603487,0.11249999999999998,0.6967038217024304,1.4232898073939044,1.0,2.025,121.7042913917491,211.9987391656059,0.9,0.0,0.0,3,0.0,0.1107624382953994,1.0
3,208,0.9868445117566736,0.16874999999999996,0.7064504879835798,2.202318289799472,1.0,3.0375,183.94850217850305,395.947241344109,0.9,0.0,0.0,4,0.0,0.1887261130848358,1.0
4,208,0.9869210204218882,0.25312499999999993,0.7176845591157581,3.356269966021525,1.0,4.55625,276.1873287244313,672.1345700685404,0.9,0.0,0.0,5,0.0,0.003878499388565736,1.0
5,211,0.9880808069129005,0.3796874999999999,0.7277748598310892,5.184904684163855,1.0,6.8343750000000005,422.4015257570921,1094.5360958256324,0.9,0.0,0.0,6,0.0,0.15737392790536966,1.0
6,219,0.9879992702560987,0.5695312499999998,0.7335007530649896,7.715814128064855,1.0,9.723227560418726,624.7984398818041,1719.3345357074365,0.9,0.0,0.0,7,0.0,0.25935771745263175,1.0
7,219,0.9892094716847621,0.5695312499999998,0.741592460952381,7.943957786422615,1.0,9.889383901070918,642.9749438722371,2362.3094795796737,0.9,0.0,0.0,7,0.0,0.2689410582099841,1.0
8,222,0.990284135600205,0.5695312499999998,0.7486512288546394,8.256977015174867,1.0,10.03364505066775,667.942230628105,3030.2517102077786,0.9,0.0,0.0,7,0.0,0.4629343092850648,1.0
9,229,0.9895705628495025,0.5695312499999998,0.7538318607395743,8.66017307485094,1.0,10.139109846676348,700.1243922935487,3730.3761025013273,0.9,0.0,0.0,7,0.0,0.5142930219963513,1.0
10,227,0.9840079904343461,0.5695312499999998,0.7615339194128257,8.71914303750106,1.0,10.2515625,704.7692306594557,4435.145333160783,0.9,0.0,0.0,7,0.0,0.5149890834225425,1.0
11,228,0.9868038801706814,0.5695312499999998,0.7667128858820877,8.842163190483015,1.0,10.2515625,714.538805284107,5149.68413844489,0.9,0.0,0.0,7,0.0,0.5753276421249237,1.0
12,228,0.9859826109246044,0.5695312499999998,0.7728094963896871,8.905055302638736,1.0,10.2515625,719.4988578809903,5869.182996325881,0.9,0.0,0.0,7,0.0,0.6155744864955245,1.0
13,231,0.990867063382782,0.5695312499999998,0.7766114498280571,9.11152832950558,1.0,10.2515625,735.9460810284924,6605.129077354373,0.9,0.0,0.0,7,0.0,0.7553196968766511,1.0
14,239,0.9888316107955876,0.5695312499999998,0.7782598079935169,9.42768173724526,1.0,10.2515625,761.1684225786414,7366.2974999330145,0.9,0.0,0.0,7,0.0,1.175539574435371,1.0
15,242,0.9901426800387508,0.5695312499999998,0.7804815135330235,9.585964935940671,1.0,10.2515625,773.7618607982928,8140.059360731308,0.9,0.0,0.0,7,0.0,1.2572395910613716,1.0
16,242,0.9863373057144161,0.5695312499999998,0.7826100445412416,9.575165986395042,1.0,10.2515625,772.829430655408,8912.888791386715,0.9,0.0,0.0,7,0.0,1.4112327682882713,1.0
17,260,0.9897479918912551,0.5695312499999998,0.7788790207681173,10.273727718526155,1.0,10.2515625,828.646467135533,9741.535258522248,0.9,0.0,0.0,7,0.0,1.4977433211789648,1.0
18,259,0.9913369599526927,0.5695312499999998,0.784881951325775,10.329646820387351,1.0,10.2515625,833.0528336023152,10574.588092124563,0.9,0.0,0.0,7,0.0,1.6756922589077818,1.0
19,258,0.9836080526291939,0.5695312499999998,0.7855466311188732,10.218186383286907,1.0,10.2515625,824.0695175106819,11398.657609635244,0.9,0.0,0.0,7,0.0,1.6861066406442313,1.0
20,256,0.985536877121144,0.5695312499999998,0.7911558028067704,10.231396862532094,1.0,10.2515625,825.0605285471913,12223.718138182436,0.9,0.0,0.0,7,0.0,1.7848139078202947,1.0
21,260,0.9888204432765906,0.5695312499999998,0.7914390703704832,10.42961647733647,1.0,10.2515625,840.852907032065,13064.571045214501,0.9,0.0,0.0,7,0.0,1.8229319903836223,1.0
22,263,0.984626480796374,0.5695312499999998,0.7928923968233137,10.524502644331802,1.0,10.2515625,848.3792648107964,13912.950310025297,0.9,0.0,0.0,7,0.0,1.8664606393191798,1.0
23,268,0.9866482778124017,0.5695312499999998,0.7976893634976691,10.811626284971913,1.0,10.2515625,871.2852460097404,14784.235556035037,0.9,0.0,0.0,7,0.0,1.8885858659422436,1.0
24,276,0.9895860919657761,0.5695312499999998,0.7958604242431121,11.141909899691726,1.0,10.2515625,897.6446568903508,15681.880212925387,0.9,0.0,0.0,7,0.0,1.8908245177397587,1.0
25,278,0.9878242134482256,0.5695312499999998,0.7993284652755372,11.251484091898984,1.0,10.2515625,906.3479633946077,16588.228176319994,0.9,0.0,0.0,7,0.0,1.9506321688721886,1.0
26,280,0.9894846241808899,0.5695312499999998,0.8057696040728453,11.442950782312067,1.0,10.2515625,921.6032863312358,17509.83146265123,0.9,0.0,0.0,7,0.0,2.3278355415170076,1.0
27,278,0.9899311263488154,0.5695312499999998,0.8115875181222635,11.448410758930482,1.0,10.2515625,921.9787075073228,18431.81017015855,0.9,0.0,0.0,7,0.0,2.3581775021376576,1.0
28,285,0.989323297397898,0.5695312499999998,0.8108327346515145,11.71856512696193,1.0,10.2515625,943.5302627637476,19375.340432922298,0.9,0.0,0.0,7,0.0,2.3661103067207696,1.0
29,285,0.9860927193100557,0.5695312499999998,0.810335808996255,11.673140460069762,1.0,10.2515625,939.8361308422897,20315.176563764588,0.9,0.0,0.0,7,0.0,2.4573452481579827,1.0
30,285,0.9908061461833013,0.5695312499999998,0.8142470505757483,11.785548900330689,1.0,10.2515625,948.7692346048718,21263.94579836946,0.9,0.0,0.0,7,0.0,2.4906953032250967,1.0
31,294,0.9911241440428955,0.5695312499999998,0.8110239255141751,12.113485410148186,1.0,10.2515625,974.9451517250075,22238.89095009447,0.9,0.0,0.0,7,0.0,2.650483555241932,1.0
32,296,0.986726454384409,0.5695312499999998,0.8097278258719055,12.12237221785495,1.0,10.2515625,975.5977094052807,23214.488659499748,0.9,0.0,0.0,7,0.0,2.693639673302755,1.0
33,297,0.9876667376199574,0.5695312499999998,0.8131198066935033,12.225918193873627,1.0,10.2515625,983.8235750243736,24198.31223452412,0.9,0.0,0.0,7,0.0,2.9045620885212036,1.0
34,302,0.9875707354011,0.5695312499999998,0.809991658790307,12.382711930691174,1.0,10.2515625,996.3098305003743,25194.622065024494,0.9,0.0,0.0,7,0.0,2.918281941042401,1.0
35,305,0.9903806152386357,0.5695312499999998,0.8071668924536367,12.497564271852358,1.0,10.2515625,1005.441349942688,26200.063414967182,0.9,0.0,0.0,7,0.0,3.2010160643475207,1.0
36,311,0.9908734712834295,0.5695312499999998,0.8028287833746609,12.681236233716472,1.0,10.2515625,1020.0789942274915,27220.142409194676,0.9,0.0,0.0,7,0.0,3.324369417004072,1.0
37,311,0.9873203179023501,0.5695312499999998,0.8037061548614464,12.649571836324673,1.0,10.2515625,1017.4903075003332,28237.63271669501,0.9,0.0,0.0,7,0.0,3.485844687546917,1.0
38,316,0.9893744183392896,0.5695312499999998,0.8028264569010513,12.865583971300927,1.0,10.2515625,1034.7162740402332,29272.348990735245,0.9,0.0,0.0,7,0.0,3.5059310946780404,1.0
39,317,0.9884976593912927,0.5695312499999998,0.7995537021953766,12.842294181443506,1.0,10.2515625,1032.7986564692553,30305.1476472045,0.9,0.0,0.0,7,0.0,3.526358078164361,1.0
40,316,0.9912952973221538,0.5695312499999998,0.8034583765269083,12.900709015180952,1.0,10.2515625,1037.417944429568,31342.56559163407,0.9,0.0,0.0,7,0.0,3.530400201167022,1.0
41,321,0.9913463767765405,0.5695312499999998,0.8057741768543026,13.143283306970329,1.0,10.2515625,1056.770504495869,32399.336096129937,0.9,0.0,0.0,7,0.0,3.626056227350169,1.0
42,321,0.9914979566072682,0.5695312499999998,0.8050160872330026,13.132925580915343,1.0,10.2515625,1055.8890602067572,33455.225156336695,0.9,0.0,0.0,7,0.0,3.7730037681754234,1.0
43,327,0.99162336150979,0.5695312499999998,0.8037207451941131,13.358563176631375,1.0,10.2515625,1073.8877429522938,34529.112899288986,0.9,0.0,0.0,7,0.0,3.9572420998195055,1.0
44,330,0.9931715726894955,0.5695312499999998,0.8047394530781401,13.519280591087414,1.0,10.2515625,1086.6933392845756,35615.80623857356,0.9,0.0,0.0,7,0.0,4.008779366722518,1.0
45,324,0.9855742444289729,0.5695312499999998,0.8079400593791062,13.224326585958568,1.0,10.2515625,1063.045778013536,36678.852016587094,0.9,0.0,0.0,7,0.0,4.171847742205147,1.0
46,319,0.9907891625168819,0.5695312499999998,0.8127691374762032,13.167374959491728,1.0,10.2515625,1058.4389013348773,37737.29091792197,0.9,0.0,0.0,7,0.0,4.325348529219006,1.0
47,314,0.9933505502674834,0.5695312499999998,0.8169116724321327,13.060727078813585,1.0,10.2515625,1049.8568326348952,38787.14775055687,0.9,0.0,0.0,7,0.0,4.470066443077464,1.0
48,321,0.9895619465199617,0.5695312499999998,0.8176700666881123,13.3133143354134,1.0,10.2515625,1070.0140336187287,39857.161784175594,0.9,0.0,0.0,7,0.0,4.523015143883695,1.0
49,324,0.9915271567909713,0.5695312499999998,0.8179325111896755,13.468745995680141,1.0,10.2515625,1082.399295836719,40939.56108001231,0.9,0.0,0.0,7,0.0,4.529188077581995,1.0
50,321,0.9840005304132085,0.5695312499999998,0.8187445590995079,13.25588903617538,1.0,10.2515625,1065.3219900729682,42004.88307008528,0.9,0.0,0.0,7,0.0,4.629469815714529,1.0
51,321,0.98775410816571,0.5695312499999998,0.8183748096126746,13.300445808833658,1.0,10.2515625,1068.8382492696444,43073.721319354925,0.9,0.0,0.0,7,0.0,4.874812990312468,1.0
52,328,0.9908037701030215,0.5695312499999998,0.8158416833421496,13.590250222015891,1.0,10.2515625,1091.9747743306696,44165.6960936856,0.9,0.0,0.0,7,0.0,4.930193582565893,1.0
53,333,0.9929623831053438,0.5695312499999998,0.8123128063608865,13.767668419568109,1.0,10.2515625,1106.120888787648,45271.81698247325,0.9,0.0,0.0,7,0.0,5.081600101315055,1.0
54,340,0.9924741428756203,0.5695312499999998,0.8081301945016458,13.977822453795397,1.0,10.2515625,1122.8863358480567,46394.703318321306,0.9,0.0,0.0,7,0.0,5.164557782100851,1.0
55,336,0.9886966354809568,0.5695312499999998,0.8100769624992588,13.79395114093303,1.0,10.2515625,1108.1302596253247,47502.83357794663,0.9,0.0,0.0,7,0.0,5.453835007035341,1.0
56,336,0.9923543977860758,0.5695312499999998,0.8118954316168493,13.876062327295038,1.0,10.2515625,1114.6532227408186,48617.486800687446,0.9,0.0,0.0,7,0.0,5.53693558365757,1.0
57,345,0.9933575563117286,0.5695312499999998,0.8098482047064616,14.226182859181419,1.0,10.2515625,1142.617360992433,49760.104161679876,0.9,0.0,0.0,7,0.0,5.58272909478914,1.0
58,352,0.9886781008415781,0.5695312499999998,0.8119137821753397,14.48330111058082,1.0,10.2515625,1163.141774636002,50923.24593631588,0.9,0.0,0.0,7,0.0,5.6936368582794525,1.0
59,355,0.987974467023416,0.5695312499999998,0.8094614147444643,14.55225491688107,1.0,10.2515625,1168.6135028974645,52091.859439213345,0.9,0.0,0.0,7,0.0,5.703974571719591,1.0
