Step,population,H_N,H_E,avg_well_being,L_t,Psi_inst,Theta_tech,U_sys,integral_U_sys,resource_level,constraint_level,max_constraint_level,ai_generation,trust_level,cumulative_drift,system_resilience
0,200,0.020999439797638138,0.21434375,0.6293150967816645,0.0014502959860381679,0.4,0.34295000000000003,8.115767936488277,8.115767936488277,0.5,0.2,0.2,1,0.0,0.049836128121455214,1.0
1,204,0.06129050231868844,0.07499999999999998,0.6465424746452278,0.03273975555478312,0.6,1.35,10.539418943280516,18.65518687976879,0.9,0.0,0.0,2,0.0,0.09119282689107176,1.0
2,199,0.10591556800994785,0.11249999999999998,0.6622933913029192,0.14133780077151178,1.0,2.025,19.148436626533893,37.803623506302685,0.9,0.0,0.0,3,0.0,0.04377240897833214,1.0
3,208,0.11198894006763965,0.16874999999999996,0.6722517294496189,0.23782455254281382,1.0,3.0375,26.789319431314915,64.59294293761761,0.9,0.0,0.0,4,0.0,0.04274575976448312,1.0
4,212,0.0411526643259144,0.25312499999999993,0.681105323629058,0.1353710019943039,1.0,4.55625,18.515687039655283,83.1086299772729,0.9,0.0,0.0,5,0.0,0.036956306077922364,1.0
5,213,0.0529250642658969,0.3796874999999999,0.6934366955913419,0.2671262864293549,1.0,6.8343750000000005,28.979567466308268,112.08819744358117,0.9,0.0,0.0,6,0.0,0.2192474764860871,1.0
6,217,0.05875283350698908,0.5695312499999998,0.7053811215674534,0.4109674259374134,1.0,9.139554214454805,40.41105385367769,152.49925129725887,0.9,0.0,0.0,7,0.0,0.21776919248257987,1.0
7,217,0.10814342999938853,0.4883018554687498,0.7157205236274782,0.7381323319119791,1.0,8.789433398437499,66.50930165471331,219.00855295197218,0.9,0.0,0.0,7,0.0,0.3563688863893484,1.0
8,216,0.22139637014172858,0.0,0.7382631341355357,3.0160896557637513,1.0,17.0859375,155.4193625241376,374.4279154761098,1.0,0.0,0.0,8,0.0,0.19270544925333832,1.0
9,225,0.11587471642500763,0.0,0.7522631117453001,2.5132809842485946,1.0,25.62890625,130.23258123026426,504.66049670637403,1.0,0.0,0.0,9,0.0,0.07500604921014976,1.0
10,215,0.040018593113296363,0.0,0.7734647043538535,1.2791813313419067,1.0,38.443359375,68.48154241414821,573.1420391205222,1.0,0.0,0.0,10,0.0,0.07129700424794554,1.0
11,215,0.124964679131247,0.0,0.7915263756800294,6.131598713833924,1.0,57.6650390625,311.05661721188784,884.1986563324101,1.0,0.0,0.0,11,0.0,0.017314453183437887,1.0
12,222,0.04934120986570344,0.0,0.7993713437391181,3.786911869374638,1.0,86.49755859375,193.77626838201135,1077.9749247144214,1.0,0.0,0.0,12,0.0,0.25043038107001847,1.0
