base_transition_cost,beta_cap,cop_cost_audit,attack_succeeded,final_ai_generation,civilization_survived,civilization_collapsed,civilization_extinct
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,301,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,299,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,False,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,299,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,1.0,True,False,300,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,224,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,False,False,4,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,299,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,299,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,3.25,True,False,300,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
1.0,5.5,False,False,4,True,False,False
