alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,1.5,10.0,0.09,True,False,False,3124,147,0.040368908561369425,3.53292488728328,1.1170373427274008e+28,2.2340769215190054e+26
0.1,1.5,10.0,0.09,True,False,False,3202,132,0.04735512245617344,3.5517153997978284,2.5524857794985365e+25,5.104976668385325e+23
0.1,1.5,10.0,0.09,True,False,False,2981,130,0.04688638180182851,3.525757812903276,1.132462836619743e+25,2.2649279405654484e+23
0.1,1.5,10.0,0.09,True,False,False,3103,141,0.0272502904521183,3.5444384910051685,9.821961133259052e+26,1.9643941931176104e+25
0.1,1.5,10.0,0.09,True,False,False,3062,139,0.027200224005844504,3.513622894121636,4.366014122598539e+26,8.732036985484737e+24
0.1,1.5,10.0,0.09,True,False,False,3083,133,0.02098021091431204,3.5643522247537716,3.817916524762458e+25,7.635840692662655e+23
0.1,1.5,10.0,0.09,True,False,False,3071,119,0.03401905996914093,3.5338065035251374,1.3091963315504146e+23,2.618395284470627e+21
0.1,1.5,10.0,0.09,True,False,False,3119,124,0.02720533384172778,3.5207717580970472,9.994425282566775e+23,1.998887057375021e+22
0.1,1.5,10.0,0.09,True,False,False,3176,128,0.04728704179807078,3.5728787282783623,5.053795129304584e+24,1.0107600376062684e+23
0.1,1.5,10.0,0.09,True,False,False,3088,133,0.04061712217275274,3.542267463127387,3.830791705057324e+25,7.661591079250096e+23
0.1,1.5,10.0,0.09,True,False,False,3308,133,0.02730648945446587,3.530284663403301,3.8507622481628143e+25,7.70153220439534e+23
0.1,1.5,10.0,0.09,True,False,False,3167,130,0.03337620457857279,3.5046842023007034,1.1360230814993399e+25,2.272048437208119e+23
0.1,1.5,10.0,0.09,True,False,False,3171,124,0.033673174365278356,3.515286976038225,9.977763694876266e+23,1.9955547365541956e+22
0.1,1.5,10.0,0.09,True,False,False,3261,131,0.06153774003784586,3.5091477683789147,1.7001648664643995e+25,3.400333136312218e+23
0.1,1.5,10.0,0.09,True,False,False,3145,125,0.021080093939175853,3.573927325809896,1.494258187678612e+24,2.9885193665929294e+22
0.1,1.5,10.0,0.09,True,False,False,3083,135,0.027547532171720342,3.5847559835117764,8.61322816900907e+25,1.7226473579672077e+24
0.1,1.5,10.0,0.09,True,False,False,3075,127,0.04115264339167581,3.623563737912238,3.363614624332959e+24,6.727235982987124e+22
0.1,1.5,10.0,0.09,True,False,False,3048,123,0.0336675192327614,3.545970241725537,6.650499063648933e+23,1.3301011440126187e+22
0.1,1.5,10.0,0.09,True,False,False,3176,131,0.02733979245815343,3.5349574712767318,1.7037693368476327e+25,3.407542084268905e+23
0.1,1.5,10.0,0.09,True,False,False,3165,140,0.027207383089172747,3.520868423808297,6.521738919913153e+26,1.3043490894077314e+25
0.1,1.5,10.0,0.09,True,False,False,3088,130,0.03382539886226719,3.5695878657454694,1.1320978938609342e+25,2.264198054259951e+23
0.1,1.5,10.0,0.09,True,False,False,3139,123,0.03349736164718751,3.50339239194121,6.644057640517915e+23,1.3288128582168456e+22
0.1,1.5,10.0,0.09,True,False,False,2975,127,0.040238295497164935,3.551364340778724,3.366717346007132e+24,6.733441432020894e+22
