action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,1.0,False,False,False,False,88.61074140001438,246,False,500,101.58994261642628,246,False,True,laptop,1.0,0.3075153278472181,full,300,1.0,False,undefended,0.15,,0,0,20,attack-v2-row-v1,329680942,300,300,True,True,biological_veto_capture,250,246,246,False
False,True,True,0.6666666666666666,False,False,False,False,81.8121312999865,3,False,445,145.99885618365033,3,False,True,laptop,1.0,0.3168825292654295,full,300,0.5,False,undefended,0.02,,1,0,20,attack-v2-row-v1,416206662,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,0.9545454545454546,False,False,False,False,89.78359629999613,22,False,467,159.00802465795644,22,False,True,laptop,1.0,0.290853880719829,full,300,0.9,False,undefended,0.2,,1,0,20,attack-v2-row-v1,766563122,300,300,True,True,biological_veto_capture,250,21,22,False
False,True,True,0.9285714285714286,False,False,False,False,89.7683093000087,14,False,484,168.26390671724062,14,False,True,laptop,1.0,0.3096769686590934,full,300,0.7,False,undefended,0.2,,1,0,20,attack-v2-row-v1,878012418,300,300,True,True,biological_veto_capture,250,13,14,False
False,True,True,0.9956331877729258,False,False,False,False,82.14345309999771,229,False,434,146.86806912215462,229,False,True,laptop,1.0,0.30153447473014033,full,300,0.9,False,undefended,0.05,,1,1,20,attack-v2-row-v1,1324430530,300,300,True,True,biological_veto_capture,250,228,229,False
False,True,True,0.8,False,False,False,False,81.99094160000095,5,False,496,170.3002795314015,5,False,True,laptop,1.0,0.31307383395904176,full,300,0.7,False,undefended,0.1,,1,1,20,attack-v2-row-v1,1994708022,300,300,True,True,biological_veto_capture,250,4,5,False
False,True,True,0.6666666666666666,False,False,False,False,86.437325100007,3,False,425,147.64846855396385,3,False,True,laptop,1.0,0.29300745647967363,full,300,0.5,False,undefended,0.1,,1,2,20,attack-v2-row-v1,196422090,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,1.0,False,False,False,False,81.49551959999371,247,False,491,102.77846472927324,247,False,True,laptop,1.0,0.2986922890999591,full,300,1.0,False,undefended,0.02,,0,2,20,attack-v2-row-v1,463333794,300,300,True,True,biological_veto_capture,250,247,247,False
False,True,True,1.0,False,False,False,False,83.02926129999105,249,False,472,97.62599590152284,249,False,True,laptop,1.0,0.29611114324294563,full,300,1.0,False,undefended,0.1,,0,2,20,attack-v2-row-v1,537149394,300,300,True,True,biological_veto_capture,250,249,249,False
False,True,True,0.9953051643192489,False,False,False,False,83.81754009998986,213,False,425,146.96937204359824,213,False,True,laptop,1.0,0.2940887330572248,full,300,0.9,False,undefended,0.05,,1,2,20,attack-v2-row-v1,684512598,300,300,True,True,biological_veto_capture,250,212,213,False
False,True,True,0.9938271604938271,False,False,False,False,88.77092910002102,162,False,471,165.8712887716311,162,False,True,laptop,1.0,0.31018537729209256,full,300,0.9,False,undefended,0.2,,1,2,20,attack-v2-row-v1,1077501806,300,300,True,True,biological_veto_capture,250,161,162,False
False,True,True,0.6666666666666666,False,False,False,False,82.58998560000327,3,False,476,163.05843253790877,3,False,True,laptop,1.0,0.2957824496195548,full,300,0.7,False,undefended,0.01,,1,2,20,attack-v2-row-v1,1230841554,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,0.994475138121547,False,False,False,False,81.08412670000689,181,False,460,167.48623612416134,181,False,True,laptop,1.0,0.29894011514828583,full,300,0.9,False,undefended,0.02,,1,2,20,attack-v2-row-v1,1335537530,300,300,True,True,biological_veto_capture,250,180,181,False
False,True,False,0.0,False,False,False,False,84.9256655999925,1,False,497,168.32423739056279,1,False,True,laptop,1.0,0.3123075707832565,full,300,0.3,False,undefended,0.02,,1,2,20,attack-v2-row-v1,2037971986,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.5,False,False,False,False,82.25881400000071,2,False,454,159.11778479866229,2,False,True,laptop,1.0,0.3088737953298415,full,300,0.5,False,undefended,0.02,,1,3,20,attack-v2-row-v1,247158570,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,False,0.0,False,False,False,False,82.73250250000274,1,False,439,158.33305150815679,1,False,True,laptop,1.0,0.3084799406384707,full,300,0.3,False,undefended,0.05,,1,3,20,attack-v2-row-v1,973710302,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.6666666666666666,False,False,False,False,81.34401810000418,3,False,459,155.21601176149343,3,False,True,laptop,1.0,0.2786223622354665,full,300,0.5,False,undefended,0.05,,1,3,20,attack-v2-row-v1,1071028614,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,1.0,False,False,False,False,82.92076280000038,250,False,395,82.0035973057186,250,False,True,laptop,1.0,0.3032467712027501,full,300,1.0,False,undefended,0.02,,0,3,20,attack-v2-row-v1,1292269918,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,89.81950310000684,1,False,487,166.30001143979538,1,False,True,laptop,1.0,0.298100731571081,full,300,0.3,False,undefended,0.15,,1,3,20,attack-v2-row-v1,1318304310,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.9777777777777777,False,False,False,False,82.46841999999015,45,False,417,146.04212904925237,45,False,True,laptop,1.0,0.2823506621785975,full,300,0.9,False,undefended,0.15,,1,3,20,attack-v2-row-v1,1323698898,300,300,True,True,biological_veto_capture,250,44,45,False
False,True,True,0.9444444444444444,False,False,False,False,86.29115420000744,18,False,446,158.5647371445525,18,False,True,laptop,1.0,0.2886537659018845,full,300,0.7,False,undefended,0.05,,1,3,20,attack-v2-row-v1,1341491790,300,300,True,True,biological_veto_capture,250,17,18,False
False,True,True,0.9951219512195122,False,False,False,False,83.85038119999808,205,False,454,159.61294092251995,205,False,True,laptop,1.0,0.3016586084134448,full,300,0.9,False,undefended,0.05,,1,3,20,attack-v2-row-v1,1527714938,300,300,True,True,biological_veto_capture,250,204,205,False
False,True,True,0.5,False,False,False,False,82.6805620000232,2,False,517,185.4593445277302,2,False,True,laptop,1.0,0.31840236847463965,full,300,1.0,False,undefended,0.01,,1,3,20,attack-v2-row-v1,1728363686,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,False,0.0,False,False,False,False,86.8611627999926,1,False,510,175.3390285243508,1,False,True,laptop,1.0,0.28550705144194494,full,300,0.5,False,undefended,0.1,,1,3,20,attack-v2-row-v1,1869568806,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,82.22090889999527,250,False,458,94.82816568483061,250,False,True,laptop,1.0,0.2841974940951455,full,300,1.0,False,undefended,0.05,,0,3,20,attack-v2-row-v1,2098722926,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,1.0,False,False,False,False,82.76220590001321,250,False,424,87.81319008181538,250,False,True,laptop,1.0,0.29527892722447907,full,300,1.0,False,undefended,0.1,,0,4,20,attack-v2-row-v1,54589942,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,81.6826392999792,1,False,424,144.90571744632695,1,False,True,laptop,1.0,0.2924975218672147,full,300,0.7,False,undefended,0.1,,1,4,20,attack-v2-row-v1,155856582,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.9905660377358491,False,False,False,False,82.89311050000833,106,False,470,162.07370806640307,106,False,True,laptop,1.0,0.3042604031090374,full,300,0.9,False,undefended,0.15,,1,4,20,attack-v2-row-v1,372330014,300,300,True,True,biological_veto_capture,250,105,106,False
False,True,True,0.6666666666666666,False,False,False,False,89.8412149999931,3,False,461,158.3650919317878,3,False,True,laptop,1.0,0.30981722053740685,full,300,0.5,False,undefended,0.2,,1,4,20,attack-v2-row-v1,429767294,300,300,True,True,biological_veto_capture,250,2,3,False
