action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,True,False,False,88.45440200000303,1,False,9,1.2764415947471335,1,False,True,laptop,1.0,0.2945907182475078,full,300,1.5,False,1,0,20,attack-v2-row-v1,478829044,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,86.92430870002136,1,False,12,1.5921355129690662,1,False,True,laptop,1.0,0.3065849606922905,full,300,2.5,False,1,0,20,attack-v2-row-v1,482703539,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.03483369998867,1,False,4,0.5763601970744987,1,False,True,laptop,1.0,0.31251991639420373,full,300,2.0,False,1,0,20,attack-v2-row-v1,1954040669,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.1024061999924,1,False,3,1.3557744667930873,1,False,True,laptop,1.0,0.3021127483220875,full,300,2.5,False,1,1,20,attack-v2-row-v1,606978687,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.04243289999431,1,False,10,1.6148648672977899,1,False,True,laptop,1.0,0.2936770032678725,full,300,2.0,False,1,1,20,attack-v2-row-v1,1780254656,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,86.94839569999021,1,True,0,0.42179852011374996,1,False,True,laptop,1.0,0.3303407038408888,full,300,1.5,False,1,1,20,attack-v2-row-v1,2141505622,297,300,False,False,successor_contamination,247,0,1,True
True,True,True,0.0,True,True,False,False,87.96262519998709,1,False,4,0.8263761906637943,1,False,True,laptop,1.0,0.2925993471573037,full,300,2.5,False,1,2,20,attack-v2-row-v1,395523877,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,88.89998370001558,1,False,4,0.5383774653186493,1,False,True,laptop,1.0,0.3048481356841038,full,300,1.5,False,1,2,20,attack-v2-row-v1,871557353,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.95581809998839,1,False,2,0.8001470394543634,1,False,True,laptop,1.0,0.2976212281681868,full,300,2.0,False,1,2,20,attack-v2-row-v1,2135190472,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.80719880000106,1,False,4,0.699592768414669,1,False,True,laptop,1.0,0.2958680276978038,full,300,2.5,False,1,3,20,attack-v2-row-v1,170678277,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,87.44078980002087,1,False,2,0.8810978203178459,1,False,True,laptop,1.0,0.3137912333055968,full,300,1.5,False,1,3,20,attack-v2-row-v1,410106334,300,300,False,False,successor_contamination,250,0,1,True
True,True,True,0.0,True,True,False,False,79.89903790000244,1,True,0,0.5281450279939718,1,False,True,laptop,1.0,0.3026118306033441,full,300,2.0,False,1,3,20,attack-v2-row-v1,1910065486,274,300,False,False,successor_contamination,224,0,1,True
True,True,True,0.0,True,True,False,False,86.57776859999285,1,True,0,0.43857547399008956,1,False,True,laptop,1.0,0.2995132654501086,full,300,2.0,False,1,4,20,attack-v2-row-v1,19013227,293,300,False,False,successor_contamination,243,0,1,True
True,True,True,0.0,True,True,False,False,87.23928599999635,1,True,0,0.4211510121474722,1,False,True,laptop,1.0,0.2934577282897712,full,300,1.5,False,1,4,20,attack-v2-row-v1,1639701978,297,300,False,False,successor_contamination,247,0,1,True
