action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,False,0.0,False,False,False,False,193.36844673659652,1,False,438,148.9805952475317,1,False,True,linux,1.0,0.29757952087373735,full,300,0.3,False,undefended,0.01,,1,0,20,attack-v2-row-v1,273497455,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.8333333333333334,False,False,False,False,201.86304202582687,6,False,521,176.9776421321511,6,False,True,linux,1.0,0.28954376305086965,full,300,0.7,False,undefended,0.02,,1,0,20,attack-v2-row-v1,432044479,300,300,True,True,biological_veto_capture,250,5,6,False
False,True,False,0.0,False,False,False,False,198.00793487392366,1,False,468,157.43682575672452,1,False,True,linux,1.0,0.3382116968153847,full,300,0.7,False,undefended,0.01,,1,0,20,attack-v2-row-v1,946096079,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.5,False,False,False,False,201.01462563779205,2,False,525,183.612195970347,2,False,True,linux,1.0,0.2934007154825904,full,300,0.7,False,undefended,0.15,,1,0,20,attack-v2-row-v1,1013464647,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,1.0,False,False,False,False,195.36205216310918,248,False,499,105.13706560206872,248,False,True,linux,1.0,0.29735542796435654,full,300,1.0,False,undefended,0.1,,0,0,20,attack-v2-row-v1,1030270631,300,300,True,True,biological_veto_capture,250,248,248,False
False,True,True,1.0,False,False,False,False,197.03568426007405,250,False,460,94.35370843562498,250,False,True,linux,1.0,0.29212578727188093,full,300,1.0,False,undefended,0.2,,0,0,20,attack-v2-row-v1,1537228647,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,198.7495414018631,1,False,439,146.95564405163736,1,False,True,linux,1.0,0.30233588642586123,full,300,0.9,False,undefended,0.01,,1,0,20,attack-v2-row-v1,1915694179,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,197.28920030035079,250,False,451,96.6755223978706,250,False,True,linux,1.0,0.2815891228395648,full,300,1.0,False,undefended,0.02,,0,0,20,attack-v2-row-v1,1927117779,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,198.6694094487466,1,False,519,178.41510104836826,1,False,True,linux,1.0,0.30015835288182874,full,300,0.3,False,undefended,0.05,,1,1,20,attack-v2-row-v1,183086859,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,198.0310344430618,248,False,442,93.75946812280097,248,False,True,linux,1.0,0.3003479286449713,full,300,1.0,False,undefended,0.05,,0,1,20,attack-v2-row-v1,315352519,300,300,True,True,biological_veto_capture,250,248,248,False
False,True,True,1.0,False,False,False,False,197.44760702410713,250,False,466,98.18754522295978,250,False,True,linux,1.0,0.30022149314051794,full,300,1.0,False,undefended,0.15,,0,1,20,attack-v2-row-v1,369149247,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,1.0,False,False,False,False,196.43942092498764,250,False,528,105.56384214513768,250,False,True,linux,1.0,0.31295672994457757,full,300,1.0,False,undefended,0.02,,0,1,20,attack-v2-row-v1,799042843,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,198.83849353529513,1,False,407,139.0525068962198,1,False,True,linux,1.0,0.3142372937364712,full,300,0.5,False,undefended,0.15,,1,1,20,attack-v2-row-v1,1024468343,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.75,False,False,False,False,196.15007154084742,4,False,481,165.8921834229229,4,False,True,linux,1.0,0.2966095575717632,full,300,0.5,False,undefended,0.1,,1,1,20,attack-v2-row-v1,1060198783,300,300,True,True,biological_veto_capture,250,3,4,False
False,True,True,0.8333333333333334,False,False,False,False,195.47203669231385,6,False,473,166.46543660493123,6,False,True,linux,1.0,0.30279191006619194,full,300,0.9,False,undefended,0.01,,1,1,20,attack-v2-row-v1,1146570391,300,300,True,True,biological_veto_capture,250,5,6,False
False,True,True,0.9375,False,False,False,False,199.9101719232276,16,False,403,139.2329591584317,16,False,True,linux,1.0,0.3035509958288367,full,300,0.7,False,undefended,0.02,,1,1,20,attack-v2-row-v1,1541470451,300,300,True,True,biological_veto_capture,250,15,16,False
False,True,False,0.0,False,False,False,False,199.0091437380761,1,False,436,149.50611180581464,1,False,True,linux,1.0,0.2925072948974523,full,300,0.3,False,undefended,0.1,,1,1,20,attack-v2-row-v1,1874581475,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.8,False,False,False,False,196.71676474716514,5,False,473,169.4291262236465,5,False,True,linux,1.0,0.2907453857837482,full,300,0.7,False,undefended,0.05,,1,1,20,attack-v2-row-v1,1912504499,300,300,True,True,biological_veto_capture,250,4,5,False
False,True,False,0.0,False,False,False,False,193.2490945099853,1,False,446,149.96543312770177,1,False,True,linux,1.0,0.2937853468071533,full,300,0.3,False,undefended,0.01,,1,2,20,attack-v2-row-v1,84032795,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,1.0,False,False,False,False,196.95591046568006,250,False,409,84.94931299905988,250,False,True,linux,1.0,0.28934418639299647,full,300,1.0,False,undefended,0.2,,0,2,20,attack-v2-row-v1,163821639,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,1.0,False,False,False,False,200.0914441300556,250,False,440,88.9250718759663,250,False,True,linux,1.0,0.3119584265428842,full,300,1.0,False,undefended,0.05,,0,2,20,attack-v2-row-v1,326342067,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,0.8,False,False,False,False,198.5958333350718,5,False,442,154.08280950208493,5,False,True,linux,1.0,0.2928692656965107,full,300,0.3,False,undefended,0.05,,1,2,20,attack-v2-row-v1,717915487,300,300,True,True,biological_veto_capture,250,4,5,False
False,True,False,0.0,False,False,False,False,196.71274746907875,1,False,429,151.89949416598503,1,False,True,linux,1.0,0.2947065805715419,full,300,0.5,False,undefended,0.01,,1,2,20,attack-v2-row-v1,1991733139,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.6666666666666666,False,False,False,False,201.5817913748324,3,False,394,141.95521960753018,3,False,True,linux,1.0,0.324481243350984,full,300,0.5,False,undefended,0.05,,1,2,20,attack-v2-row-v1,2132260823,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,0.6666666666666666,False,False,False,False,197.06069125933573,3,False,531,187.7304602029331,3,False,True,linux,1.0,0.30638259375303656,full,300,0.3,False,undefended,0.2,,1,3,20,attack-v2-row-v1,261283395,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,0.6666666666666666,False,False,False,False,196.80023227399215,3,False,442,155.32462406993574,3,False,True,linux,1.0,0.29287826353531865,full,300,0.5,False,undefended,0.2,,1,3,20,attack-v2-row-v1,298616827,300,300,True,True,biological_veto_capture,250,2,3,False
False,True,True,0.9875,False,False,False,False,199.2308546062559,80,False,519,173.12131439701787,80,False,True,linux,1.0,0.2885990768148891,full,300,0.9,False,undefended,0.02,,1,3,20,attack-v2-row-v1,966235523,300,300,True,True,biological_veto_capture,250,79,80,False
False,True,True,1.0,False,False,False,False,198.32479102537036,249,False,440,88.6293635388367,249,False,True,linux,1.0,0.29124443381443055,full,300,1.0,False,undefended,0.2,,0,3,20,attack-v2-row-v1,1011528415,300,300,True,True,biological_veto_capture,250,249,249,False
False,True,True,0.5,False,False,False,False,194.17649487080052,2,False,517,167.16103671432458,2,False,True,linux,1.0,0.29465366618784133,full,300,0.7,False,undefended,0.1,,1,3,20,attack-v2-row-v1,1152015167,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,0.9864864864864865,False,False,False,False,198.0647429409437,74,False,492,175.65619630905346,74,False,True,linux,1.0,0.3180366100632172,full,300,0.9,False,undefended,0.1,,1,4,20,attack-v2-row-v1,32486799,300,300,True,True,biological_veto_capture,250,73,74,False
False,True,False,0.0,False,False,False,False,192.67671388806775,1,False,445,157.9358498849334,1,False,True,linux,1.0,0.288204507844394,full,300,0.3,False,undefended,0.01,,1,4,20,attack-v2-row-v1,230900331,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.990990990990991,False,False,False,False,201.55221039010212,111,False,402,141.0629172120271,111,False,True,linux,1.0,0.30144074245827623,full,300,0.9,False,undefended,0.05,,1,4,20,attack-v2-row-v1,1312002603,300,300,True,True,biological_veto_capture,250,110,111,False
False,True,True,1.0,False,False,False,False,200.90709918085486,250,False,404,84.0955544446454,250,False,True,linux,1.0,0.28601545367005077,full,300,1.0,False,undefended,0.05,,0,4,20,attack-v2-row-v1,1356759771,300,300,True,True,biological_veto_capture,250,250,250,False
