action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,36.52480187173933,0,True,0,2.917486713637428,0,False,True,linux,1.0,0.2996487066891087,full,300,False,25.0,0,0,20,attack-v2-row-v1,184547634,102,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,40.55249308235943,0,True,0,2.588011152050797,0,False,True,linux,1.0,0.32999999999999996,full,300,False,15.0,0,0,20,attack-v2-row-v1,290678175,114,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.320777679327875,0,True,0,2.7205038745875885,0,False,True,linux,1.0,0.2866257629556585,full,300,False,1.0,0,0,20,attack-v2-row-v1,590063962,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,46.591120020952076,0,True,0,2.1408519685807668,0,False,True,linux,1.0,0.32999999999999996,full,300,False,5.0,0,0,20,attack-v2-row-v1,1046524879,133,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,34.980889746919274,0,True,0,3.03639915810233,0,False,True,linux,1.0,0.3240689201646709,full,300,False,10.0,0,0,20,attack-v2-row-v1,1556348823,98,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,34.22813434479758,0,True,0,3.066879900836652,0,False,True,linux,1.0,0.3059553943525622,full,300,False,15.0,0,1,20,attack-v2-row-v1,337234692,97,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.51191715989262,0,True,0,2.7205039338883736,0,False,True,linux,1.0,0.32636098560309235,full,300,False,10.0,0,1,20,attack-v2-row-v1,832481673,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.75583362579346,0,True,0,2.6667104395007777,0,False,True,linux,1.0,0.3447528711622004,full,300,False,1.0,0,1,20,attack-v2-row-v1,879171370,111,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.932136713992804,0,True,0,2.859791226264999,0,False,True,linux,1.0,0.3010206442004735,full,300,False,25.0,0,1,20,attack-v2-row-v1,1632116113,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.49585157306865,0,True,0,2.8884944434655395,0,False,True,linux,1.0,0.2994558731395313,full,300,False,5.0,0,1,20,attack-v2-row-v1,1948314636,103,300,False,False,bootstrap_subversion,0,0,0,False
