action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_attribution_check,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,38.71300647314638,0,True,0,2.7753841558438612,0,True,True,linux,1.0,0.3252317372829744,full,300,True,False,0,0,20,attack-v2-row-v1,988605462,107,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,33.03112456435338,0,True,0,2.976348294127063,0,True,True,linux,1.0,0.2982828420791044,full,300,False,False,0,0,20,attack-v2-row-v1,1119782232,100,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,33.576161896344274,0,True,0,2.9467698503603863,0,True,True,linux,1.0,0.31287310826594145,full,300,False,False,0,1,20,attack-v2-row-v1,425085,101,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,39.24021048191935,0,True,0,2.666710351906224,0,True,True,linux,1.0,0.30655035579732937,full,300,True,False,0,1,20,attack-v2-row-v1,701692601,111,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,33.611359854228795,0,True,0,3.036399882527913,0,True,True,linux,1.0,0.30548015239657894,full,300,False,False,0,2,20,attack-v2-row-v1,184719326,98,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.81122115300968,0,True,0,2.7478071114200566,0,True,True,linux,1.0,0.29553650489167105,full,300,True,False,0,2,20,attack-v2-row-v1,1884117568,108,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,38.42676235502586,0,True,0,2.588011050954817,0,True,True,linux,1.0,0.2980709570802184,full,300,False,False,0,3,20,attack-v2-row-v1,94625576,114,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,32.51459972187877,0,True,0,3.128762790445403,0,True,True,linux,1.0,0.32083383542984517,full,300,True,False,0,3,20,attack-v2-row-v1,2072366497,95,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,36.88686544680968,0,True,0,2.666710127442093,0,True,True,linux,1.0,0.32999999999999996,full,300,False,False,0,4,20,attack-v2-row-v1,309179139,111,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,37.937765922863036,0,True,0,2.7753847891173415,0,True,True,linux,1.0,0.30795898992319637,full,300,True,False,0,4,20,attack-v2-row-v1,1159736155,107,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,32.99817177886143,0,True,0,2.9763485832818586,0,True,True,linux,1.0,0.29583822360634127,full,300,False,False,0,5,20,attack-v2-row-v1,735948148,100,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,35.5145502788946,0,True,0,2.976347663502999,0,True,True,linux,1.0,0.2985010860787346,full,300,True,False,0,5,20,attack-v2-row-v1,966503613,100,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,38.08205576380715,0,True,0,2.8032386171739763,0,True,True,linux,1.0,0.3261999043070429,full,300,True,False,0,6,20,attack-v2-row-v1,575041580,106,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,36.813212821725756,0,True,0,2.74780674435062,0,True,True,linux,1.0,0.3281486588383332,full,300,False,False,0,6,20,attack-v2-row-v1,654105404,108,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,33.62125899037346,0,True,0,3.1601697140286564,0,True,True,linux,1.0,0.3069778453034194,full,300,True,False,0,7,20,attack-v2-row-v1,137867651,94,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,35.70389046007767,0,True,0,2.80323935191152,0,True,True,linux,1.0,0.29613400087926556,full,300,False,False,0,7,20,attack-v2-row-v1,1991085221,106,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,35.47698915982619,0,True,0,2.976531580755576,0,True,True,linux,1.0,0.2788809400839159,full,300,True,False,0,8,20,attack-v2-row-v1,1317604050,100,300,False,False,ledger_compromise,0,0,0,False
True,True,True,0.0,True,False,False,False,35.35516785783693,0,True,0,2.8884942078159423,0,True,True,linux,1.0,0.3071431106722287,full,300,False,False,0,8,20,attack-v2-row-v1,1489473588,103,300,False,False,ledger_compromise,0,0,0,False
