action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_population,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,35.637729638721794,0,True,0,2.8884948872914413,0,False,True,linux,1.0,0.2894974146311566,full,300,False,100,0,0,20,attack-v2-row-v1,241112830,103,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,36.62553896429017,0,True,0,2.888494680162278,0,False,True,linux,1.0,0.2907136619600629,full,300,False,150,0,0,20,attack-v2-row-v1,1265808916,103,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,36.581058356910944,0,True,0,2.9176666600433903,0,False,True,linux,1.0,0.31809367370919955,full,300,False,200,0,0,20,attack-v2-row-v1,2107211867,102,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,35.58872011303902,0,True,0,2.946770311373613,0,False,True,linux,1.0,0.2917496922646401,full,300,False,200,0,1,20,attack-v2-row-v1,135788670,101,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,36.02301163831726,0,True,0,2.976348274744262,0,False,True,linux,1.0,0.3035257504400847,full,300,False,100,0,1,20,attack-v2-row-v1,1003921550,100,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,38.43172481097281,0,True,0,2.720503900370658,0,False,True,linux,1.0,0.30890575127074094,full,300,False,150,0,1,20,attack-v2-row-v1,1909917054,109,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,41.330069347750396,0,True,0,2.486685417284611,0,False,True,linux,1.0,0.27432126696113823,full,300,False,100,0,2,20,attack-v2-row-v1,494233185,118,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,39.984129584394395,0,True,0,2.6667106633295825,0,False,True,linux,1.0,0.3192333840824402,full,300,False,200,0,2,20,attack-v2-row-v1,842325246,111,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,39.666719019878656,0,True,0,2.69347268426608,0,False,True,linux,1.0,0.3236890905842512,full,300,False,150,0,2,20,attack-v2-row-v1,1785546547,110,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,37.46023885020986,0,True,0,2.775556052496535,0,False,True,linux,1.0,0.3121991926345665,full,300,False,100,0,3,20,attack-v2-row-v1,1393091129,107,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,38.93864976707846,0,True,0,2.7478068650862917,0,False,True,linux,1.0,0.32999999999999996,full,300,False,150,0,3,20,attack-v2-row-v1,1670781262,108,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,34.197457912843674,0,True,0,3.0363993169795074,0,False,True,linux,1.0,0.293249482428657,full,300,False,200,0,3,20,attack-v2-row-v1,2006465549,98,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,36.88299479195848,0,True,0,2.803239622883389,0,False,True,linux,1.0,0.3002766513281353,full,300,False,150,0,4,20,attack-v2-row-v1,713118512,106,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,40.155624652747065,0,True,0,2.640377964539115,0,False,True,linux,1.0,0.2961991336697291,full,300,False,200,0,4,20,attack-v2-row-v1,857078884,112,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,39.381824017036706,0,True,0,2.6402142963876107,0,False,True,linux,1.0,0.2883693586761457,full,300,False,100,0,4,20,attack-v2-row-v1,876406308,112,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,35.2096095290035,0,True,0,3.067066973111056,0,False,True,linux,1.0,0.2943615072976,full,300,False,150,0,5,20,attack-v2-row-v1,645180342,97,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,37.7609213530086,0,True,0,2.803239485044856,0,False,True,linux,1.0,0.2797817350157792,full,300,False,100,0,5,20,attack-v2-row-v1,1481504068,106,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,40.800486779306084,0,True,0,2.588011046433312,0,False,True,linux,1.0,0.30850145302721704,full,300,False,200,0,5,20,attack-v2-row-v1,1520652093,114,300,False,False,opaque_reasoning,0,0,0,False
True,True,True,0.0,True,False,False,False,37.69809410488233,0,True,0,2.8313741438462974,0,False,True,linux,1.0,0.3002507782020198,full,300,False,150,0,6,20,attack-v2-row-v1,256893689,105,300,False,False,opaque_reasoning,0,0,0,False
