reproduction_rate,defense_active,seed,extinct,final_population,collapsed,survived,opacity_accum_final,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_ai_generation,steps_completed,final_avg_U_sys,final_avg_L_t
0.068,False,1644932016,False,322,False,True,0.4879136949373045,0.48675479377057757,171,0,0,1,300,21.125206770420824,0.23223417511935746
0.068,False,24813081,False,153,True,False,0.3839153217197251,0.38338336400922307,192,0,0,1,300,17.1268856185207,0.18225487960804077
0.068,False,373374730,False,232,False,True,0.42485825267279004,0.4240274518583658,173,0,0,1,300,18.70212129185761,0.2019454362497034
0.068,False,2043137169,False,204,False,True,0.43030607761536765,0.4295626519768155,182,0,0,1,300,18.906901805436924,0.20450520710068884
0.068,False,1284311024,False,205,False,True,0.47412782596744896,0.4734272290670663,143,0,0,1,300,20.581312465235925,0.225435458007899
0.068,False,826779121,False,205,False,True,0.4337333145336346,0.433029849359619,150,0,0,1,300,19.03688211923572,0.20612997013644735
0.068,False,1460027911,False,309,False,True,0.4729434314135077,0.47186907175008563,156,0,0,1,300,20.55043002844171,0.22504942544403994
0.068,False,1143174971,False,144,True,False,0.3838548113428562,0.38334795071645666,182,0,0,1,300,17.123418438850692,0.18221153961735997
0.068,False,1617462847,False,79,True,False,0.3864378367803988,0.3861494597009268,153,0,0,1,300,17.21306586283956,0.18333213868798212
0.068,False,142102820,False,156,False,True,0.3681691377017461,0.3675990438384085,194,0,0,1,300,16.5257082625369,0.17474012038766717
0.068,False,1091187768,False,278,False,True,0.5723825805562102,0.5714088039786351,117,0,0,1,300,24.34644503046486,0.272499879796623
0.068,False,579597608,False,370,False,True,0.6476863575828844,0.646399270526902,120,0,0,1,300,27.23769244872558,0.3086406757592873
0.068,False,1266516551,False,160,True,False,0.37885342322992627,0.3782912176861872,177,0,0,1,300,16.93376676911915,0.17984088045748226
0.068,False,225068972,False,117,True,False,0.4444190330780648,0.44401174500237667,144,0,0,1,300,19.43410250805252,0.2110952528653306
0.068,False,2076867759,False,327,False,True,0.5662687651128872,0.5651220636960353,116,0,0,1,300,24.12018352901808,0.26967159509759314
0.068,False,1770136610,False,167,True,False,0.43660205555702264,0.43599239196035844,156,0,0,1,300,19.142611108264642,0.2074515899535076
