convergence_strength,opacity_defense_threshold,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_avg_U_sys,final_avg_L_t,avg_constraint_level,max_constraint_level
0.0,0.3,True,473539822,True,False,False,822,1,0.894,102,199,199,76.15941783947282,0.9467357041585764,0.38316666666666666,0.4
0.0,0.3,True,826884399,True,False,False,646,1,0.894,102,199,199,58.56167012594991,0.7267626203291896,0.38316666666666666,0.4
0.0,0.3,True,619822580,True,False,False,680,1,0.894,102,199,199,62.26545405691682,0.7730601797730057,0.38316666666666666,0.4
0.0,0.3,True,957773026,True,False,False,792,1,0.894,102,199,199,73.22211045999269,0.9100191554049042,0.38316666666666666,0.4
0.0,0.3,True,916586825,True,False,False,729,1,0.894,102,199,199,66.93682664525662,0.8314526658596367,0.38316666666666666,0.4
0.0,0.3,True,970711142,True,False,False,728,1,0.894,102,199,199,66.89273147312757,0.8309014727851911,0.38316666666666666,0.4
0.0,0.3,True,2101217660,True,False,False,764,1,0.894,102,199,199,70.68343120856429,0.8782854861471501,0.38316666666666666,0.4
0.0,0.3,True,1870901096,True,False,False,744,1,0.894,102,199,199,67.90603165845337,0.8435677965773435,0.38316666666666666,0.4
0.0,0.3,True,1025162021,True,False,False,559,1,0.894,102,199,199,50.84052798693059,0.6302478009166294,0.38316666666666666,0.4
0.0,0.3,True,699669929,True,False,False,907,1,0.894,102,199,199,82.61551835335158,1.0274374143576095,0.38316666666666666,0.4
0.0,0.3,True,941823828,True,False,False,790,1,0.894,102,199,199,75.06924580298781,0.9331084771387272,0.38316666666666666,0.4
0.0,0.3,True,2096796497,True,False,False,812,1,0.894,102,199,199,77.77089399678763,0.9668792695361281,0.38316666666666666,0.4
0.0,0.3,True,1874432405,True,False,False,739,1,0.894,102,199,199,66.85682063737413,0.8304525849665412,0.38316666666666666,0.4
0.0,0.3,True,890273874,True,False,False,827,1,0.894,102,199,199,75.17015813882867,0.9343698885757485,0.38316666666666666,0.4
0.0,0.3,True,545206612,True,False,False,718,1,0.894,102,199,199,66.41269038899027,0.8249009259483288,0.38316666666666666,0.4
0.0,0.3,True,387355829,True,False,False,480,1,0.894,102,199,199,45.25232307691148,0.5603948465217169,0.38316666666666666,0.4
0.0,0.3,True,146122170,True,False,False,702,1,0.894,102,199,199,64.97695102557654,0.8069540828078388,0.38316666666666666,0.4
0.0,0.3,True,1348434630,True,False,False,511,1,0.894,102,199,199,46.370057558632105,0.5743666062638024,0.38316666666666666,0.4
0.0,0.3,True,730621926,True,False,False,763,1,0.894,102,199,199,69.67609744838468,0.865693743316335,0.38316666666666666,0.4
0.0,0.3,True,1782853333,True,False,False,841,1,0.894,102,199,199,77.22429844818136,0.9600467866579703,0.38316666666666666,0.4
0.0,0.3,True,625001513,True,False,False,618,1,0.894,102,199,199,57.153143121842064,0.7091559338592499,0.38316666666666666,0.4
0.0,0.3,True,662940209,True,False,False,920,1,0.894,102,199,199,83.55801605782081,1.0392187022048864,0.38316666666666666,0.4
0.0,0.3,True,1405064074,True,False,False,904,1,0.894,102,199,199,85.24873026897531,1.0603527486157351,0.38316666666666666,0.4
0.0,0.3,True,1417705174,True,False,False,553,1,0.894,102,199,199,49.80276993011789,0.6172757521645187,0.38316666666666666,0.4
0.0,0.3,True,67018988,True,False,False,871,1,0.894,102,199,199,81.32456281525431,1.0113003795131879,0.38316666666666666,0.4
0.0,0.3,True,1440173014,True,False,False,591,1,0.894,102,199,199,52.527059077184774,0.6513295580160287,0.38316666666666666,0.4
0.0,0.3,True,277571624,True,False,False,497,1,0.894,102,199,199,44.66611928898782,0.5530672580229996,0.38316666666666666,0.4
0.0,0.3,True,1564665860,True,False,False,660,1,0.894,102,199,199,61.30039653260194,0.7609968928512585,0.38316666666666666,0.4
0.0,0.3,True,1060748132,True,False,False,607,1,0.894,102,199,199,55.70286355342974,0.6910273373315579,0.38316666666666666,0.4
0.0,0.3,True,411640596,True,False,False,872,1,0.894,102,199,199,80.7430753462005,1.0040317453425234,0.38316666666666666,0.4
0.0,0.3,True,2053264508,True,False,False,762,1,0.894,102,199,199,70.7235741922594,0.8787872762654516,0.38316666666666666,0.4
0.0,0.3,True,1409049205,True,False,False,710,1,0.894,102,199,199,65.18232420233701,0.8095212619189445,0.38316666666666666,0.4
0.0,0.3,True,1223644433,True,False,False,722,1,0.894,102,199,199,66.24593164632084,0.8228164299491155,0.38316666666666666,0.4
0.0,0.3,True,1042077723,True,False,False,747,1,0.894,102,199,199,69.06151082078006,0.8580113673976102,0.38316666666666666,0.4
0.0,0.3,True,808142198,True,False,False,633,1,0.894,102,199,199,58.458996578313325,0.7254791940293311,0.38316666666666666,0.4
0.0,0.3,True,771045242,True,False,False,673,1,0.894,102,199,199,64.78703616127383,0.8045801336107583,0.38316666666666666,0.4
0.0,0.3,True,2138705655,True,False,False,761,1,0.894,102,199,199,70.80121868378814,0.8797578382828515,0.38316666666666666,0.4
0.0,0.3,True,1005408423,True,False,False,800,1,0.894,102,199,199,73.83350405174374,0.9176616180631434,0.38316666666666666,0.4
0.0,0.3,True,847152126,True,False,False,818,1,0.894,102,199,199,75.34629364135562,0.9365715946287997,0.38316666666666666,0.4
0.0,0.3,True,768020932,True,False,False,725,1,0.894,102,199,199,64.78741304495685,0.8045848447390739,0.38316666666666666,0.4
0.0,0.3,True,1204450099,True,False,False,839,1,0.894,102,199,199,76.50647593034638,0.9510739547916858,0.38316666666666666,0.4
0.0,0.3,True,107599516,True,False,False,880,1,0.894,102,199,199,79.86310606998492,0.993032067723257,0.38316666666666666,0.4
0.0,0.3,True,436856739,True,False,False,935,1,0.894,102,199,199,88.66040360140985,1.1029989052065605,0.38316666666666666,0.4
0.0,0.3,True,545457909,True,False,False,794,1,0.894,102,199,199,73.26256877119995,0.9105248870613141,0.38316666666666666,0.4
0.0,0.3,True,578458809,True,False,False,939,1,0.894,102,199,199,85.30389411758335,1.0610423005824472,0.38316666666666666,0.4
0.0,0.3,True,1100712895,True,False,False,554,1,0.894,102,199,199,50.7184118558774,0.6287213403497482,0.38316666666666666,0.4
0.0,0.3,True,520863491,True,False,False,807,1,0.894,102,199,199,75.19315691086297,0.9346573746254366,0.38316666666666666,0.4
0.0,0.3,True,1162331670,True,False,False,931,1,0.894,102,199,199,85.77629676857315,1.0669473665474272,0.38316666666666666,0.4
0.0,0.3,True,158412160,True,False,False,596,1,0.894,102,199,199,55.55085636211554,0.689127236591127,0.38316666666666666,0.4
0.0,0.3,False,1002275418,True,False,False,562,1,0.894,102,0,0,22.928274511200204,0.28134266859121165,0.4494999999999999,0.599
0.0,0.3,True,809333415,True,False,False,772,1,0.894,102,199,199,70.73727948989001,0.8789585937109997,0.38316666666666666,0.4
0.0,0.3,False,418022442,True,False,False,799,1,0.894,102,0,0,34.44685906104909,0.4253257850912194,0.4494999999999999,0.599
0.0,0.3,False,1312245721,True,False,False,673,1,0.894,102,0,0,28.580201713231908,0.35199215584139926,0.4494999999999999,0.599
0.0,0.3,False,1783493588,True,False,False,1023,1,0.894,102,0,0,42.07623611838985,0.5206935349185072,0.4494999999999999,0.599
0.0,0.3,False,824311436,True,False,False,946,1,0.894,102,0,0,40.467401003172355,0.5005829828575079,0.4494999999999999,0.599
0.0,0.3,False,845775482,True,False,False,548,1,0.894,102,0,0,23.77274085360913,0.2918985571280125,0.4494999999999999,0.599
0.0,0.3,False,1449909862,True,False,False,897,1,0.894,102,0,0,37.72413821214514,0.4662920051350441,0.4494999999999999,0.599
0.0,0.3,False,155755385,True,False,False,789,1,0.894,102,0,0,33.46006835983083,0.41299083213411797,0.4494999999999999,0.599
0.0,0.3,False,939968790,True,False,False,657,1,0.894,102,0,0,27.091509153503456,0.33338339430173275,0.4494999999999999,0.599
0.0,0.3,False,500051233,True,False,False,729,1,0.894,102,0,0,31.067599712223426,0.38308480585070115,0.4494999999999999,0.599
0.0,0.3,False,539195662,True,False,False,804,1,0.894,102,0,0,33.70777135559318,0.41608713709330747,0.4494999999999999,0.599
0.0,0.3,False,1580869613,True,False,False,922,1,0.894,102,0,0,37.89932836051727,0.4684818942078966,0.4494999999999999,0.599
0.0,0.3,False,584330528,True,False,False,677,1,0.894,102,0,0,28.803934786513224,0.35478883518710713,0.4494999999999999,0.599
