wb_repro_floor,wb_repro_threshold,phi,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,total_births,total_deaths
0.0,0.5,1.0,0.06,1.0,9,False,True,False,96,10,0.0,0.0,0.8402971602099297,1648,1752
0.0,0.5,1.0,0.06,1.0,5,False,True,False,40,10,0.0,0.0,0.8234705595480118,1539,1699
0.0,0.5,1.0,0.06,1.0,2,False,True,False,43,10,0.0,0.0,0.7732811558383426,1547,1704
0.0,0.5,1.0,0.06,1.0,7,False,True,False,26,10,0.0,0.0,0.8086256027385135,1366,1540
0.0,0.5,1.0,0.06,1.0,1,False,True,False,64,10,0.0,0.0,0.8014850815396312,1702,1838
0.0,0.5,1.0,0.06,1.0,0,False,True,False,52,10,0.0,0.0,0.7887283985469422,1368,1516
0.0,0.5,1.0,0.06,1.0,4,False,True,False,17,10,0.0,0.0,0.7192649446995973,1458,1641
0.0,0.5,1.0,0.06,1.0,12,False,True,False,108,10,0.0,0.0,0.8348413454958953,1917,2009
0.0,0.5,1.0,0.06,1.0,13,False,True,False,40,10,0.0,0.0,0.8293568035427986,1386,1546
0.0,0.5,1.0,0.06,1.0,8,False,True,False,114,10,0.0,0.0,0.7999416382915061,2049,2135
0.0,0.5,1.0,0.06,1.0,6,False,True,False,47,10,0.0,0.0,0.8018902809726315,1808,1961
0.0,0.5,1.0,0.06,1.0,11,False,True,False,30,10,0.0,0.0,0.8205481952400138,1465,1635
0.0,0.5,1.0,0.06,1.0,10,False,True,False,130,10,0.0,0.0,0.7986522494621794,2745,2815
0.0,0.5,1.0,0.06,1.0,14,False,True,False,51,10,0.0,0.0,0.7938767096265329,1506,1655
0.0,0.5,1.0,0.06,1.0,3,False,True,False,126,10,0.0,0.0,0.8128505683667099,1616,1690
0.0,0.5,1.0,0.063,1.0,0,False,True,False,144,10,0.0,0.0,0.8011596598134589,2779,2835
0.0,0.5,1.0,0.063,1.0,8,False,True,False,156,10,0.0,0.0,0.8042887183596225,2656,2700
0.0,0.5,1.0,0.063,1.0,4,False,True,False,142,10,0.0,0.0,0.8063729804242831,2062,2120
0.0,0.5,1.0,0.063,1.0,2,False,True,False,123,10,0.0,0.0,0.8213999402867806,2466,2543
0.0,0.5,1.0,0.063,1.0,7,False,True,False,140,10,0.0,0.0,0.8003026563027806,2649,2709
0.0,0.5,1.0,0.063,1.0,3,False,True,False,162,10,0.0,0.0,0.8136771001844233,2942,2980
0.0,0.5,1.0,0.063,1.0,5,False,True,False,140,10,0.0,0.0,0.8221536042480571,2547,2607
0.0,0.5,1.0,0.063,1.0,1,False,True,False,182,10,0.0,0.0,0.8021897197508089,2825,2843
0.0,0.5,1.0,0.063,1.0,11,False,True,False,96,10,0.0,0.0,0.8194533127781589,2120,2224
0.0,0.5,1.0,0.063,1.0,9,False,True,False,161,10,0.0,0.0,0.8113326569648536,2886,2925
0.0,0.5,1.0,0.063,1.0,10,False,True,False,164,10,0.0,0.0,0.8268459152278906,2610,2646
0.0,0.5,1.0,0.063,1.0,12,True,False,False,180,10,0.9593277682120609,0.06730127897024331,0.8226774879507424,2563,2583
0.0,0.5,1.0,0.063,1.0,13,False,True,False,151,10,0.0,0.0,0.7793104563779968,2103,2152
0.0,0.5,1.0,0.063,1.0,6,True,False,False,266,10,1.1676228445539742,0.09334013213496907,0.7933302526477607,4279,4213
0.0,0.5,1.0,0.063,1.0,14,False,True,False,118,10,0.0,0.0,0.8015901288188709,2422,2504
0.0,0.5,1.0,0.066,1.0,0,True,False,False,299,10,1.2792072795056821,0.10728924136474123,0.8184420651733972,3817,3718
0.0,0.5,1.0,0.066,1.0,4,True,False,False,260,10,1.1315647037274608,0.08883252373933612,0.7898049713574041,3110,3050
0.0,0.5,1.0,0.066,1.0,1,True,False,False,338,10,1.3799864719522315,0.11988759276530866,0.8058689220350281,4289,4151
0.0,0.5,1.0,0.066,1.0,3,True,False,False,199,10,1.0140840485585387,0.07414633144311027,0.8121851373722105,3044,3045
0.0,0.5,1.0,0.066,1.0,2,True,False,False,436,10,1.6475045950723692,0.1533298867537163,0.8081845437488122,4664,4428
0.0,0.5,1.0,0.066,1.0,8,True,False,False,288,10,1.2745447560580716,0.1067063817864983,0.8003449153623283,3746,3658
