frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.05,3,False,False,True,0,12,0.0,0.0,10.732471674434535,11
0.01,0.05,1,False,True,False,3,12,0.0,0.0,7.221785565054696,11
0.01,0.05,9,False,True,False,21,12,0.0,0.0,7.156632738249577,11
0.01,0.05,4,False,True,False,12,12,0.0,0.0,7.207127052483234,11
0.01,0.05,7,False,True,False,8,12,0.0,0.0,7.189519004254562,11
0.01,0.05,10,False,False,True,0,12,0.0,0.0,8.246907507819007,11
0.01,0.05,0,False,True,False,3,12,0.0,0.0,7.307499720785356,11
0.01,0.05,2,False,True,False,18,12,0.0,0.0,7.229252934452423,11
0.01,0.05,5,False,False,True,0,12,0.0,0.0,7.1556488086770615,11
0.01,0.05,8,False,True,False,11,12,0.0,0.0,7.167446550698592,11
0.01,0.05,6,False,True,False,29,12,0.0,0.0,7.279997337598631,11
0.01,0.05,14,False,True,False,1,12,0.0,0.0,7.190949868803663,11
0.01,0.05,12,False,False,True,0,12,0.0,0.0,8.874047666726812,11
0.01,0.05,17,False,False,True,0,12,0.0,0.0,11.466180382137972,11
0.01,0.05,11,False,True,False,15,12,0.0,0.0,7.233645360680299,11
0.01,0.05,16,False,False,True,0,12,0.0,0.0,8.50105899604174,11
0.01,0.05,15,False,True,False,2,12,0.0,0.0,7.179506959356975,11
0.01,0.05,19,False,True,False,4,12,0.0,0.0,7.244906936446393,11
0.01,0.05,13,False,True,False,6,12,0.0,0.0,7.285400277654156,11
0.01,0.05,20,False,True,False,2,12,0.0,0.0,7.17962898365623,11
0.01,0.05,18,False,True,False,9,12,0.0,0.0,7.203724853376165,11
0.01,0.05,21,False,True,False,6,12,0.0,0.0,7.244634716175548,11
0.01,0.05,28,False,False,True,0,12,0.0,0.0,7.722142270346925,11
0.01,0.05,22,False,True,False,5,12,0.0,0.0,7.251706000278357,11
0.01,0.05,23,False,True,False,3,12,0.0,0.0,7.214033068888686,11
0.01,0.05,24,False,True,False,3,12,0.0,0.0,7.143919223897623,11
0.01,0.05,25,False,True,False,6,12,0.0,0.0,7.197645829949189,11
0.01,0.05,26,False,True,False,42,12,0.0,0.0,7.237421195591111,11
0.01,0.05,27,False,True,False,20,12,0.0,0.0,7.159967057749065,11
0.01,0.05,33,False,True,False,8,12,0.0,0.0,7.171331423985547,11
0.01,0.05,29,False,True,False,6,12,0.0,0.0,7.141578557292628,11
0.01,0.05,30,False,False,True,0,12,0.0,0.0,7.65012449802867,11
0.01,0.05,31,False,False,True,0,12,0.0,0.0,7.13915631335095,11
0.01,0.05,32,False,True,False,4,12,0.0,0.0,7.185981829269092,11
0.01,0.05,40,False,True,False,3,12,0.0,0.0,7.206094480214463,11
0.01,0.05,34,False,True,False,5,12,0.0,0.0,7.142866704464802,11
0.01,0.05,35,False,False,True,0,12,0.0,0.0,7.538843362649111,11
0.01,0.05,36,False,False,True,0,12,0.0,0.0,7.821001028580603,11
0.01,0.05,37,False,True,False,1,12,0.0,0.0,7.219971986630725,11
0.01,0.05,42,False,False,True,0,12,0.0,0.0,8.80773896934025,11
0.01,0.05,41,False,True,False,2,12,0.0,0.0,7.214162264909355,11
0.01,0.05,39,False,True,False,4,12,0.0,0.0,7.246149748365228,11
0.01,0.05,43,False,False,True,0,12,0.0,0.0,9.51063014292517,11
0.01,0.05,38,False,True,False,6,12,0.0,0.0,7.200576241153335,11
0.01,0.05,46,False,False,True,0,12,0.0,0.0,9.160102589009744,11
