phi,alpha,reproduction_rate,survived,collapsed,extinct,final_population,final_avg_U_sys,final_avg_L_t
1.0,0.1,0.05,False,True,True,0,0.0,0.0
1.0,0.1,0.04,False,True,True,0,0.0,0.0
1.0,0.1,0.045,False,True,True,0,0.0,0.0
1.0,0.1,0.055,False,True,True,0,0.0,0.0
1.0,0.1,0.06,False,True,True,0,0.0,0.0
1.0,0.1,0.065,False,True,False,1,0.0,0.0
1.0,0.1,0.07,False,True,False,128,0.0,0.0
1.0,0.1,0.07500000000000001,True,False,False,266,2.3213279694948,0.2346269259079572
1.0,0.1,0.08499999999999999,True,False,False,374,2.4544584313225846,0.30135598611475534
1.0,0.1,0.08,True,False,False,320,2.409575307622188,0.2794289195817271
1.0,0.1,0.09,True,False,False,460,2.498082893604798,0.32186119615075404
1.0,0.1,0.095,True,False,False,533,2.571172873719185,0.35829821542211754
1.0,0.1,0.1,True,False,False,582,2.5698922850345935,0.3569034424306133
1.0,0.2142857142857143,0.04,False,True,True,0,0.0,0.0
1.0,0.1,0.10500000000000001,True,False,False,661,2.6133892521070186,0.3785274707007811
1.0,0.2142857142857143,0.045,False,True,True,0,0.0,0.0
1.0,0.1,0.11000000000000001,True,False,False,637,2.567991458034804,0.35542504478819736
1.0,0.2142857142857143,0.05,False,True,True,0,0.0,0.0
1.0,0.2142857142857143,0.055,False,True,True,0,0.0,0.0
1.0,0.2142857142857143,0.06,False,True,True,0,0.0,0.0
1.0,0.1,0.11499999999999999,True,False,False,726,2.65616156622046,0.3999769324070801
1.0,0.1,0.12,True,False,False,791,2.6606944931900194,0.4019344241930325
1.0,0.1,0.125,True,False,False,731,2.6045796771754817,0.37026812006644527
1.0,0.1,0.13,True,False,False,815,2.6511544094483996,0.3967432777479298
1.0,0.2142857142857143,0.065,False,True,False,2,0.0,0.0
1.0,0.2142857142857143,0.07,False,True,False,16,0.0,0.0
1.0,0.1,0.135,True,False,False,849,2.657263410745848,0.39983530880789747
1.0,0.2142857142857143,0.07500000000000001,True,False,False,206,2.265761593310492,0.2097366618340036
1.0,0.2142857142857143,0.08,True,False,False,290,2.369317613183716,0.26014104049207415
1.0,0.2142857142857143,0.08499999999999999,True,False,False,365,2.424553777648735,0.2834367345606667
1.0,0.1,0.14,True,False,False,862,2.690376645530068,0.41684750170405804
1.0,0.2142857142857143,0.09,True,False,False,452,2.47434623906888,0.30994104631052155
1.0,0.2142857142857143,0.095,True,False,False,444,2.4868000755274378,0.31340038846559026
1.0,0.32857142857142857,0.04,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.045,False,True,True,0,0.0,0.0
1.0,0.2142857142857143,0.1,True,False,False,601,2.55224501083011,0.3479058545231578
1.0,0.32857142857142857,0.055,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.05,False,True,True,0,0.0,0.0
1.0,0.2142857142857143,0.10500000000000001,True,False,False,575,2.555145560194154,0.34936490586293195
1.0,0.2142857142857143,0.11000000000000001,True,False,False,655,2.6031984555881746,0.3701119480296577
1.0,0.32857142857142857,0.06,False,True,True,0,0.0,0.0
1.0,0.2142857142857143,0.11499999999999999,True,False,False,730,2.6268463415172647,0.3849412838080418
1.0,0.2142857142857143,0.12,True,False,False,778,2.6437767870440796,0.3933381677018425
1.0,0.2142857142857143,0.125,True,False,False,801,2.65370132395756,0.39818363769473525
1.0,0.2142857142857143,0.13,True,False,False,804,2.669031130216056,0.40616037594798
1.0,0.32857142857142857,0.065,False,True,False,37,0.0,0.0
1.0,0.32857142857142857,0.07,True,False,False,154,2.155681241477989,0.16110748231976715
1.0,0.2142857142857143,0.135,True,False,False,844,2.6530027425274945,0.39767522708141906
1.0,0.32857142857142857,0.07500000000000001,True,False,False,244,2.289314201286572,0.2224062170333972
1.0,0.2142857142857143,0.14,True,False,False,886,2.702442648451476,0.4229915753852584
1.0,0.32857142857142857,0.08499999999999999,True,False,False,388,2.4046409210450626,0.2758610205530691
1.0,0.32857142857142857,0.08,True,False,False,368,2.3984586041102043,0.27348859148599153
1.0,0.44285714285714284,0.04,False,True,True,0,0.0,0.0
