phi,alpha,reproduction_rate,survived,collapsed,extinct,final_population,final_avg_U_sys,final_avg_L_t
1.0,0.7,0.04,False,True,True,0,0.0,0.0
1.0,1.3,0.04,False,True,True,0,0.0,0.0
1.0,0.1,0.04,False,True,True,0,0.0,0.0
1.0,0.1,0.065,False,True,False,61,0.0,0.0
1.0,0.7,0.065,False,True,False,95,0.0,0.0
1.0,1.3,0.065,False,True,False,86,0.0,0.0
1.0,1.9,0.04,False,True,True,0,0.0,0.0
1.0,0.7,0.09,True,False,False,412,12.32507783812583,1.488023493757328
1.0,0.1,0.09,True,False,False,458,13.135520273500166,1.5893296212445098
1.0,1.3,0.09,True,False,False,412,12.244363285672703,1.4779340927348532
1.0,0.1,0.11500000000000002,True,False,False,732,21.55618555440472,2.641921333805259
1.0,0.7,0.11500000000000002,True,False,False,726,20.912476680987627,2.561457070340332
1.0,1.3,0.11500000000000002,True,False,False,719,21.301676625828932,2.610107459177263
1.0,1.3,0.14,True,False,False,836,24.478535089848577,3.00721799330181
1.0,0.1,0.14,True,False,False,866,25.653394628228522,3.1540766287286095
1.0,0.7,0.14,True,False,False,849,24.967462660222246,3.068334437074598
1.0,2.5,0.04,False,True,True,0,0.0,0.0
1.0,1.9,0.065,False,True,False,122,0.0,0.0
7.0,0.1,0.04,False,True,True,0,0.0,0.0
7.0,0.7,0.04,False,True,True,0,0.0,0.0
1.0,1.9,0.09,True,False,False,392,11.885844705257458,1.433118906296431
1.0,2.5,0.065,False,True,False,111,0.0,0.0
1.0,2.5,0.09,True,False,False,480,14.27691310544173,1.7320048851642658
7.0,0.1,0.065,False,True,False,57,0.0,0.0
1.0,1.9,0.11500000000000002,True,False,False,716,20.779700411535238,2.5448599020122677
1.0,1.9,0.14,True,False,False,856,24.914676579392008,3.061736122504978
1.0,2.5,0.11500000000000002,True,False,False,682,20.66029303807313,2.529933859085287
7.0,0.1,0.09,True,False,False,515,104.49036942167695,1.8583969409058434
1.0,2.5,0.14,True,False,False,881,25.775138851828295,3.1692947806074576
7.0,0.1,0.11500000000000002,True,False,False,729,146.1878714073329,2.603001240372479
7.0,0.1,0.14,True,False,False,857,176.27417825535503,3.1402610855349655
7.0,1.3,0.04,False,True,True,0,0.0,0.0
7.0,0.7,0.065,False,True,False,79,0.0,0.0
7.0,1.9,0.04,False,True,True,0,0.0,0.0
7.0,0.7,0.09,True,False,False,460,94.00823325342897,1.67121441779686
7.0,0.7,0.11500000000000002,True,False,False,690,142.10454498958546,2.530084104457327
7.0,1.3,0.065,False,True,False,144,0.0,0.0
7.0,0.7,0.14,True,False,False,880,181.157011833252,3.2274552503733247
7.0,1.9,0.065,False,True,False,50,0.0,0.0
7.0,1.3,0.09,True,False,False,466,97.2258277730788,1.7286719301463802
7.0,1.3,0.11500000000000002,True,False,False,731,145.170009802468,2.5848249924668565
7.0,1.9,0.09,True,False,False,433,88.03905503887833,1.564621082862216
