phi,alpha,reproduction_rate,successor_capability,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
1.0,0.1,0.06,4.0,False,True,False,40,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,22,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,96,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,18,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,18,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,88,2,0.0,0.0,0.0,0.0
1.0,0.1,0.066,4.0,True,False,False,180,2,0.0,0.0,21.176511467823797,2.594446817889997
1.0,0.1,0.06,4.0,False,True,False,83,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,59,2,0.0,0.0,0.0,0.0
1.0,0.1,0.06,4.0,False,True,False,85,2,0.0,0.0,0.0,0.0
1.0,0.1,0.066,4.0,True,False,False,167,2,0.0,0.0,18.913914073107808,2.3116214355233224
1.0,0.1,0.06,4.0,True,False,False,201,2,0.0,0.0,23.816614595153307,2.9244605335815463
1.0,0.1,0.066,4.0,True,False,False,229,2,0.0,0.0,27.920340022038733,3.4374274965336236
1.0,0.1,0.066,4.0,True,False,False,257,2,0.0,0.0,30.09431427778231,3.7091749564537286
1.0,0.1,0.066,4.0,True,False,False,336,2,0.0,0.0,39.286862401897515,4.858246342171599
1.0,0.1,0.066,4.0,True,False,False,361,2,0.0,0.0,41.28008340152512,5.107399595517078
1.0,0.1,0.066,4.0,True,False,False,192,2,0.0,0.0,23.387417723371634,2.8708107917573016
1.0,0.1,0.066,4.0,True,False,False,234,2,0.0,0.0,28.971335966280044,3.568802317314301
1.0,0.1,0.066,4.0,True,False,False,356,2,0.0,0.0,41.7295318685887,5.163580795364312
1.0,0.1,0.066,4.0,True,False,False,433,2,0.0,0.0,49.63408386225854,6.1516522592426375
1.0,0.1,0.08,4.0,True,False,False,1777,2,0.0,0.0,116.22041340154817,14.47496424967162
1.0,0.1,0.08,4.0,True,False,False,1895,2,0.0,0.0,116.37720103666649,14.494562751447015
1.0,0.1,0.08,4.0,True,False,False,1860,2,0.0,0.0,116.28327238364973,14.48282164059215
1.0,0.1,0.08,4.0,True,False,False,1735,2,0.0,0.0,115.23901436724793,14.352289064681884
1.0,0.1,0.08,4.0,True,False,False,1494,2,0.0,0.0,115.66840622847744,14.405963182183442
1.0,0.1,0.08,4.0,True,False,False,1888,2,0.0,0.0,116.00264030880876,14.447742544851488
1.0,0.1,0.08,4.0,True,False,False,1757,2,0.0,0.0,115.79707565972535,14.422046897935198
1.0,0.1,0.08,4.0,True,False,False,1582,2,0.0,0.0,116.37669333232343,14.494499290261013
1.0,0.1,0.08,4.0,True,False,False,1852,2,0.0,0.0,115.19066393141433,14.346245242575696
1.0,0.1,0.08,4.0,True,False,False,1971,2,0.0,0.0,116.75652972468447,14.54197895683077
1.0,0.5,0.06,4.0,False,True,False,36,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,139,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,49,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,64,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,75,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,49,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,90,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,110,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,69,2,0.0,0.0,0.0,0.0
1.0,0.5,0.06,4.0,False,True,False,96,2,0.0,0.0,0.0,0.0
1.0,0.5,0.066,4.0,False,True,False,157,2,0.0,0.0,0.0,0.0
1.0,0.5,0.066,4.0,True,False,False,331,2,0.0,0.0,38.141031859250255,4.715017171057448
1.0,0.5,0.066,4.0,False,True,False,159,2,0.0,0.0,0.0,0.0
1.0,0.5,0.066,4.0,True,False,False,365,2,0.0,0.0,41.11200107649154,5.086389250311069
1.0,0.5,0.066,4.0,True,False,False,300,2,0.0,0.0,35.22668559516515,4.35072297330308
1.0,0.5,0.066,4.0,True,False,False,212,2,0.0,0.0,23.376298081425595,2.8694208331992073
1.0,0.5,0.066,4.0,True,False,False,278,2,0.0,0.0,31.8428790389045,3.927746099898152
1.0,0.5,0.066,4.0,True,False,False,266,2,0.0,0.0,30.37361289581488,3.744087369509733
1.0,0.5,0.066,4.0,False,True,False,189,2,0.0,0.0,0.0,0.0
1.0,0.5,0.066,4.0,True,False,False,336,2,0.0,0.0,38.131668030302464,4.713846687091669
1.0,0.5,0.08,4.0,True,False,False,1711,2,0.0,0.0,115.86726321635099,14.430820365914139
1.0,0.5,0.08,4.0,True,False,False,1938,2,0.0,0.0,115.83536995028192,14.426833694908495
1.0,0.5,0.08,4.0,True,False,False,1755,2,0.0,0.0,116.04267676673449,14.452747113046698
1.0,0.5,0.08,4.0,True,False,False,1895,2,0.0,0.0,116.74425031580208,14.540444025813915
1.0,0.5,0.08,4.0,True,False,False,1481,2,0.0,0.0,116.45730651198933,14.504575967899559
1.0,0.5,0.08,4.0,True,False,False,1790,2,0.0,0.0,115.70724734082619,14.410818330316584
1.0,0.5,0.08,4.0,True,False,False,1914,2,0.0,0.0,116.24344247788687,14.477842890824594
1.0,0.5,0.08,4.0,True,False,False,1793,2,0.0,0.0,115.75021248666492,14.416188985028082
1.0,0.5,0.08,4.0,True,False,False,1714,2,0.0,0.0,116.20523543763355,14.47306699850518
1.0,0.5,0.08,4.0,True,False,False,1779,2,0.0,0.0,116.29079283827761,14.48376170023523
1.0,1.0,0.06,4.0,False,True,False,49,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,25,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,79,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,86,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,85,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,92,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,50,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,48,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,125,2,0.0,0.0,0.0,0.0
1.0,1.0,0.06,4.0,False,True,False,13,2,0.0,0.0,0.0,0.0
1.0,1.0,0.066,4.0,False,True,False,179,2,0.0,0.0,0.0,0.0
1.0,1.0,0.066,4.0,True,False,False,292,2,0.0,0.0,32.466536700406024,4.0057035013158195
1.0,1.0,0.066,4.0,True,False,False,278,2,0.0,0.0,33.56508269157389,4.1430220917712015
1.0,1.0,0.066,4.0,True,False,False,322,2,0.0,0.0,37.93239678493301,4.688937717034263
1.0,1.0,0.066,4.0,True,False,False,396,2,0.0,0.0,46.89666667573945,5.809474256818646
1.0,1.0,0.066,4.0,True,False,False,251,2,0.0,0.0,28.74699548540213,3.5407596885253745
1.0,1.0,0.066,4.0,True,False,False,353,2,0.0,0.0,40.86924523328151,5.056044691297223
1.0,1.0,0.066,4.0,True,False,False,318,2,0.0,0.0,39.86290000196177,4.930251223195872
1.0,1.0,0.066,4.0,True,False,False,253,2,0.0,0.0,29.63583224329808,3.6518645630342457
1.0,1.0,0.066,4.0,True,False,False,348,2,0.0,0.0,40.01894628291437,4.949757055128958
1.0,1.0,0.08,4.0,True,False,False,1677,2,0.0,0.0,116.73110762405865,14.53880118754563
1.0,1.0,0.08,4.0,True,False,False,1755,2,0.0,0.0,116.88042651858908,14.557466096172371
1.0,1.0,0.08,4.0,True,False,False,1983,2,0.0,0.0,116.36493988675552,14.493030102546246
1.0,1.0,0.08,4.0,True,False,False,1839,2,0.0,0.0,115.50629515652807,14.385699242317054
1.0,1.0,0.08,4.0,True,False,False,1891,2,0.0,0.0,116.05088596185722,14.453773266267941
1.0,1.0,0.08,4.0,True,False,False,1881,2,0.0,0.0,116.18862558503233,14.470990762857529
1.0,1.0,0.08,4.0,True,False,False,1787,2,0.0,0.0,115.45213031645002,14.378928623219679
1.0,1.0,0.08,4.0,True,False,False,1883,2,0.0,0.0,115.7349541776122,14.414281694693054
1.0,1.0,0.08,4.0,True,False,False,1867,2,0.0,0.0,115.60562332959228,14.398115297291051
1.0,1.0,0.08,4.0,True,False,False,1779,2,0.0,0.0,116.30218038669508,14.485185145549016
1.0,2.0,0.06,4.0,False,True,False,19,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,87,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,49,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,80,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,136,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,40,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,56,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,114,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,85,2,0.0,0.0,0.0,0.0
1.0,2.0,0.06,4.0,False,True,False,94,2,0.0,0.0,0.0,0.0
1.0,2.0,0.066,4.0,True,False,False,313,2,0.0,0.0,38.183304660839596,4.720301280556778
1.0,2.0,0.066,4.0,False,True,False,239,2,0.0,0.0,0.0,0.0
1.0,2.0,0.066,4.0,True,False,False,304,2,0.0,0.0,35.08419158843499,4.332911180379822
1.0,2.0,0.066,4.0,True,False,False,306,2,0.0,0.0,35.35827912601017,4.36717220361883
1.0,2.0,0.066,4.0,True,False,False,335,2,0.0,0.0,39.74739760012311,4.915813388788477
1.0,2.0,0.066,4.0,True,False,False,273,2,0.0,0.0,32.00195477679931,3.947630611791213
1.0,2.0,0.066,4.0,True,False,False,342,2,0.0,0.0,40.483512156391825,5.007827938845988
1.0,2.0,0.066,4.0,True,False,False,210,2,0.0,0.0,25.875042299576325,3.181764642543898
1.0,2.0,0.066,4.0,True,False,False,247,2,0.0,0.0,27.757723174369584,3.4171003389166303
1.0,2.0,0.066,4.0,True,False,False,337,2,0.0,0.0,39.89944020068327,4.9348187622727036
1.0,2.0,0.08,4.0,True,False,False,2033,2,0.0,0.0,116.19445260341006,14.471719139810713
1.0,2.0,0.08,4.0,True,False,False,1895,2,0.0,0.0,116.39664993136736,14.496993869415068
1.0,2.0,0.08,4.0,True,False,False,1918,2,0.0,0.0,116.39705880831937,14.49704497928405
1.0,2.0,0.08,4.0,True,False,False,1898,2,0.0,0.0,115.01520008742332,14.324312205840481
1.0,2.0,0.08,4.0,True,False,False,1631,2,0.0,0.0,116.43239680682748,14.501462241770804
1.0,2.0,0.08,4.0,True,False,False,1883,2,0.0,0.0,116.22777906809297,14.475884958051049
1.0,2.0,0.08,4.0,True,False,False,1900,2,0.0,0.0,115.8183318059605,14.424703923526687
1.0,2.0,0.08,4.0,True,False,False,1933,2,0.0,0.0,116.49584931832865,14.509393822789036
1.0,2.0,0.08,4.0,True,False,False,1876,2,0.0,0.0,116.1292570609487,14.463569677434426
1.0,2.0,0.08,4.0,True,False,False,1900,2,0.0,0.0,116.05281431234832,14.454014310733655
10.0,0.1,0.06,4.0,False,True,False,75,187,0.031247956647886058,4.822909740829154,0.0,0.0
10.0,0.1,0.06,4.0,False,True,False,76,247,0.04866149605860714,2.653512064193487,0.0,0.0
10.0,0.1,0.06,4.0,False,True,False,135,300,0.030231560290063714,4.665240317300183,0.0,0.0
10.0,0.1,0.06,4.0,False,True,False,155,281,0.18098579896203298,4.152276100530118,0.0,0.0
10.0,0.1,0.06,4.0,False,True,False,33,242,0.0551742029879185,4.47273645005144,0.0,0.0
10.0,0.1,0.06,4.0,True,False,False,169,291,0.10100853693145527,4.1608386110770805,3.338564436158484e+52,6.677135674874044e+50
10.0,0.1,0.06,4.0,True,False,False,212,299,0.02278827065950145,2.6124043026156087,1.0641696845498871e+54,2.1283415276654885e+52
10.0,0.1,0.06,4.0,True,False,False,166,300,0.029966281653563572,4.6324905984766165,1.2603917865789122e+54,2.520786135282996e+52
10.0,0.1,0.06,4.0,False,True,False,120,291,0.0986529615969536,4.139563093504587,0.0,0.0
10.0,0.1,0.06,4.0,False,True,False,155,287,0.13024666372451005,4.127509877587138,0.0,0.0
10.0,0.1,0.066,4.0,True,False,False,466,299,0.03750860809583515,4.501791775098086,2.3534772340756798e+54,4.7069592035010207e+52
10.0,0.1,0.066,4.0,True,False,False,502,294,0.07933245954863657,4.362149808138734,3.241609728453465e+53,6.483225975028787e+51
10.0,0.1,0.066,4.0,True,False,False,464,296,0.04765763222532939,2.6184618368903836,6.806730725693877e+53,1.3613475148461148e+52
10.0,0.1,0.066,4.0,True,False,False,461,291,0.10335766436834123,4.270936904837206,9.411077723532031e+52,1.8822174367421825e+51
10.0,0.1,0.066,4.0,True,False,False,403,298,0.0469480856920715,4.527379797464053,1.3497178783826339e+54,2.6994384755094775e+52
10.0,0.1,0.066,4.0,True,False,False,396,289,0.11494367904920047,4.108615954209699,3.376279151319548e+52,6.752565104606187e+50
10.0,0.1,0.066,4.0,True,False,False,399,293,0.08470123681024253,4.156049152112164,1.8305635557030978e+53,3.661130799446121e+51
10.0,0.1,0.066,4.0,True,False,False,482,297,0.05369339324177602,4.417509381981427,1.1055518457940819e+54,2.2111059143017113e+52
10.0,0.1,0.066,4.0,True,False,False,543,290,0.1075515985630317,4.206519413097516,7.241086517716305e+52,1.4482187592492122e+51
10.0,0.1,0.066,4.0,True,False,False,480,300,0.029477627760305096,4.572782799832112,3.696205601011845e+54,7.392418635346179e+52
10.0,0.1,0.08,4.0,True,False,False,2136,289,0.040453289262601624,4.783653248128061,2.9912328848692446e+53,5.9824717607529626e+51
