reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.1,4.0,10.0,False,True,False,65,16,2.8994523487224066,56.881333193145906,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,98,17,4.7127149971143005,81.03209162101436,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,51,17,4.770749476757972,83.43225224415659,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,122,17,4.733836153432736,83.33303155447163,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,92,17,4.785633049815054,84.27891042663398,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,172,17,4.763993472445545,84.36852138673709,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,105,17,4.803892221396436,83.23857783410732,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,81,17,4.756677394289846,81.80992277608165,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,129,17,4.744428234542368,82.39057831602042,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,175,17,4.77986045435594,86.24012587973277,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,134,17,4.792129974235456,83.8346338729709,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,111,17,4.775572756374419,84.21128197234329,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,156,17,4.815820490596323,86.5217755951105,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,172,17,4.77230381053679,83.13492716007465,0.0,0.0
0.062,0.1,4.0,10.0,True,False,False,251,17,4.835388506230273,85.76723014656444,7.873787378209267,0.0931674091734381
0.062,0.1,4.0,10.0,False,True,False,58,16,2.955000468322247,55.69070320519237,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,42,16,2.964990701014439,56.23631700213556,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,101,16,2.947646684904097,55.92097078933578,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,63,16,2.941514849547514,55.05073444912134,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,139,17,4.688957290373932,82.31896982055483,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,98,17,4.801468877954099,83.4335388572955,0.0,0.0
0.062,0.1,4.0,10.0,True,False,False,177,17,4.767286083307214,83.90596410172661,5.520314262464027,0.06374677078963721
0.062,0.1,4.0,10.0,False,True,False,151,17,4.79227715121201,84.05976736917007,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,107,17,4.734496971596848,82.90212496429145,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,171,17,4.727621265333175,83.97286057560153,0.0,0.0
0.062,0.1,4.0,10.0,True,False,False,300,17,4.766803452881935,84.5262073032409,9.461410522879836,0.11301419916844879
0.062,0.1,4.0,10.0,False,True,False,188,17,4.764614995700642,82.74905085612482,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,76,17,4.790091616094036,85.38190427445834,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,172,17,4.734703149948022,83.07838156734607,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,149,17,4.823249659463077,84.6680879379863,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,83,16,2.9621873142731077,56.14689138657376,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,83,16,2.9050998111619526,54.53401914996289,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,74,17,4.820796592618611,84.59959547443985,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,146,17,4.849717270720708,85.91236021700112,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,81,17,4.775850258566195,84.76304715586457,0.0,0.0
0.062,0.1,4.0,10.0,True,False,False,209,17,4.773926682490566,83.98860860236144,6.072769482399097,0.07065298314179633
0.062,0.1,4.0,10.0,False,True,False,62,16,2.938570155072234,55.03186947950968,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,169,17,4.799398591119351,83.89876490761381,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,186,17,4.734237838921975,81.92674800417927,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,151,17,4.803129692628201,84.39377549373825,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,143,17,4.789674811995014,84.24200957239708,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,152,17,4.765503356185843,84.87736221087013,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,174,17,4.785766077728136,84.08297867449782,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,157,17,4.7005627960502325,82.01590246551991,0.0,0.0
0.062,0.1,4.0,10.0,False,True,False,107,17,4.7514688812205135,82.82528261567951,0.0,0.0
