reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.066,0.1,4.0,10.0,True,False,False,190,300,0.030252903229176974,4.682626575289815,1.4666451293995882e+54,2.9332932349689964e+52
0.066,0.1,4.0,10.0,True,False,False,400,292,0.09360296794908052,4.138253594811306,1.1680613953875614e+53,2.3361251493676734e+51
0.066,0.1,4.0,10.0,True,False,False,301,296,0.06257702817117479,4.411149197852469,4.5700816753775234e+53,9.140172586292095e+51
0.066,0.1,4.0,10.0,True,False,False,444,299,0.0386521736150325,4.597575732075107,2.2461359582095132e+54,4.492276433906306e+52
0.066,0.1,4.0,10.0,True,False,False,360,299,0.03837297984156259,4.564653927798044,1.810526192732098e+54,3.6210560376093717e+52
0.066,0.1,12.0,10.0,True,False,False,466,291,0.08824854183084492,3.7427584052029967,2.7781536282570154e+53,5.556312847191744e+51
0.066,0.1,12.0,10.0,True,False,False,366,282,0.1509090337449304,3.719139425775995,5.734619717164871e+51,1.1469251000976307e+50
0.066,0.1,4.0,10.0,True,False,False,437,299,0.03698997364105168,4.407044865742239,2.252644998615391e+54,4.5052945337413224e+52
0.066,0.1,12.0,10.0,True,False,False,445,292,0.08212836372206958,3.7270752620831056,3.922735870934074e+53,7.845479634804131e+51
0.066,0.1,12.0,10.0,True,False,False,476,292,0.08194455729162914,3.751878980050969,4.4022744246778674e+53,8.8045577062778e+51
0.066,0.1,4.0,10.0,True,False,False,527,299,0.03835434889967196,4.588855691549601,2.643021411377807e+54,5.286048140295082e+52
0.066,0.1,4.0,10.0,True,False,False,504,297,0.0552321925339975,4.509243063913511,1.1265312558969806e+54,2.2530647795888437e+52
0.066,0.1,4.0,10.0,True,False,False,402,299,0.039128891609083886,4.671270822488612,2.1296424882745963e+54,4.259289263914821e+52
0.066,0.1,4.0,10.0,True,False,False,379,300,0.02960570184925978,4.6130923178423835,2.9435056690423028e+54,5.887017271916412e+52
0.066,0.1,12.0,10.0,True,False,False,573,293,0.07493482019181472,3.7087565933879256,7.655517538664229e+53,1.5311050475852326e+52
0.066,0.5,4.0,10.0,True,False,False,259,5,0.18117236341610524,0.34061012255170575,869.500757009756,10.863510004602267
0.066,0.5,4.0,10.0,True,False,False,218,5,0.17317088042667905,0.32648740654838293,779.3105326345453,9.73613086361831
0.066,0.5,4.0,10.0,True,False,False,283,5,0.18250070381313005,0.3396075058096326,949.7152317611238,11.866192117713993
0.066,0.5,4.0,10.0,True,False,False,243,5,0.17509724226232581,0.33466074735315776,829.361363178696,10.361766999865996
0.066,0.5,4.0,10.0,True,False,False,215,5,0.17811260740994223,0.3562604687676614,796.6391390270118,9.95273870248757
0.066,0.1,12.0,10.0,True,False,False,472,293,0.07384974250203419,3.7476019429172673,6.394935575284804e+53,1.2789884029772092e+52
0.066,0.1,12.0,10.0,True,False,False,482,291,0.08900883024018008,3.7426750914356273,2.894651691984077e+53,5.78930920803472e+51
0.066,0.5,4.0,10.0,True,False,False,241,5,0.17271549815410955,0.33368075254137075,790.071182962716,9.870639172809652
0.066,0.5,4.0,10.0,True,False,False,303,5,0.1701091105070203,0.3157682378452882,1063.2315494684324,13.285147762392786
0.066,0.5,4.0,10.0,True,False,False,279,5,0.17464054178569202,0.3301864816101794,978.7119346586172,12.22865134356312
0.066,0.5,4.0,10.0,True,False,False,272,5,0.1728868636086779,0.3292578461075062,1017.4300410899448,12.712628248450677
0.066,0.1,12.0,10.0,True,False,False,466,292,0.08096350074104759,3.7231958260344262,4.102175919100903e+53,8.204360089800375e+51
0.066,0.5,4.0,10.0,True,False,False,442,5,0.16678715906875802,0.33721306032263354,1590.2035120197584,19.872305081207866
0.066,0.1,12.0,10.0,True,False,False,554,294,0.0671078339012393,3.7144257107033933,1.1151625532642269e+54,2.2303273495890987e+52
0.066,0.1,12.0,10.0,True,False,False,552,293,0.07362431965271839,3.7226483816000426,7.4822322484528444e+53,1.4964479542100587e+52
0.066,0.5,12.0,10.0,True,False,False,217,2,0.010130213648045177,0.2742104806314396,758.4862777222995,9.475828038172855
0.066,0.5,12.0,10.0,True,False,False,221,2,0.0070729848089273115,0.2329919154849731,774.6097743677471,9.677371988186975
0.066,0.5,12.0,10.0,True,False,False,210,2,0.010460324000145337,0.2855529690105778,711.4892713955234,8.888364717223782
0.066,0.5,12.0,10.0,True,False,False,212,2,0.010119363920586044,0.26234346610202497,689.122831071457,8.60878386366008
0.066,0.5,12.0,10.0,True,False,False,270,2,0.006245600185096559,0.26596350016656656,885.2908059122808,11.060886624370974
0.066,0.5,12.0,10.0,True,False,False,339,2,0.008287698016858913,0.26429108957895253,1181.7546584787538,14.766689406364137
0.066,0.5,12.0,10.0,False,True,False,181,2,0.01087351141366456,0.24601926579094768,0.0,0.0
0.066,0.5,12.0,10.0,True,False,False,341,2,0.00715619904070697,0.2636452023150997,1180.1982208377674,14.747233923284274
0.066,1.5,4.0,10.0,True,False,False,370,277,0.0005389683313259004,0.16169049939777014,2.520929381882752e+50,5.041863841662953e+48
0.066,0.5,12.0,10.0,False,True,False,162,2,0.011175034967183188,0.2424529949317853,0.0,0.0
0.066,0.5,12.0,10.0,True,False,False,317,2,0.009633753926984769,0.2573162652946799,1111.155069011906,13.884193427819309
0.066,1.5,4.0,10.0,True,False,False,452,279,0.0005502144840794728,0.16506434522384184,6.865198484804299e+50,1.3730410787005139e+49
0.066,1.5,4.0,10.0,True,False,False,398,238,0.0005002579314425345,0.15007737943276034,3.753577510378956e+43,7.507162590888371e+41
0.066,1.5,4.0,10.0,True,False,False,531,277,0.0005147782397382124,0.15443347192146373,3.6237549109890636e+50,7.247517109884344e+48
0.066,1.5,4.0,10.0,True,False,False,451,242,0.0005204724735162299,0.15614174205486897,2.0781455534416734e+44,4.156295294211501e+42
0.066,1.5,4.0,10.0,True,False,False,392,249,0.0005266319181746086,0.15798957545238257,3.165773134526611e+45,6.331552641702846e+43
0.066,1.5,4.0,10.0,True,False,False,335,287,0.0005316189857306352,0.15948569571919058,1.277941413763789e+52,2.555885409803538e+50
0.066,1.5,12.0,10.0,True,False,False,404,300,0.0009273289573838609,0.2781986872151583,9.285017904767855e+54,1.857005453848919e+53
0.066,1.5,4.0,10.0,True,False,False,461,274,0.000540777594781292,0.16223327843438762,9.187496289160152e+49,1.8375011067964935e+48
0.066,1.5,4.0,10.0,True,False,False,387,270,0.0004915852004022381,0.14747556012067142,1.538525298267435e+49,3.077053701429783e+47
0.066,1.5,12.0,10.0,True,False,False,439,300,0.0008062390883031882,0.24187172649095645,1.0103579331568609e+55,2.0207178988621803e+53
0.066,1.5,4.0,10.0,True,False,False,493,260,0.0005488725610288977,0.1646617683086693,3.4672604010466294e+47,6.934527770732139e+45
0.066,1.5,12.0,10.0,True,False,False,400,300,0.0008708020114477295,0.2612406034343189,9.30343926572923e+54,1.8606897259408817e+53
0.066,1.5,12.0,10.0,True,False,False,441,300,0.0009379292470289613,0.2813787741086884,1.0239699582351946e+55,2.0479419770435514e+53
0.066,1.5,12.0,10.0,True,False,False,402,300,0.0008499411594405889,0.25498234783217666,9.095258102762666e+54,1.8190534535169364e+53
0.066,1.5,12.0,10.0,True,False,False,653,300,0.0009093358527594068,0.27280075582782204,1.4869586370416626e+55,2.9739202619890683e+53
0.066,1.5,12.0,10.0,True,False,False,462,300,0.0008389915147105343,0.25169745441316027,1.0611218471886946e+55,2.122245830630496e+53
0.066,1.5,12.0,10.0,True,False,False,537,300,0.0009830856843437111,0.29492570530311335,1.2031055558747164e+55,2.4062135326861734e+53
0.066,1.5,12.0,10.0,True,False,False,515,300,0.0008759085943980516,0.2627725783194155,1.1748419808862072e+55,2.349686325010836e+53
0.066,1.5,12.0,10.0,True,False,False,498,300,0.0008128964088574849,0.24386892265724547,1.1503942700913357e+55,2.3007908540084475e+53
0.075,0.1,4.0,10.0,True,False,False,1461,300,0.03142660731852787,4.841518225164864,7.6741901985963e+54,1.534839577308379e+53
0.075,0.1,4.0,10.0,True,False,False,1679,279,0.1977642289431367,4.386075775551391,1.536873815127656e+51,3.073750710027932e+49
0.075,0.1,4.0,10.0,True,False,False,1494,300,0.029279454869524647,4.576540071966236,7.667214654931723e+54,1.5334444673650937e+53
0.075,0.1,4.0,10.0,True,False,False,1572,299,0.037454837332675,4.5082028268527266,5.127415878391063e+54,1.0254842030044565e+53
0.075,0.1,4.0,10.0,True,False,False,1405,299,0.038529321219846396,4.61409378904261,5.1136905776507534e+54,1.022739140518734e+53
0.075,0.1,4.0,10.0,True,False,False,1520,286,0.1426627587696037,4.186304291797163,2.608808737402431e+52,5.2176227025695704e+50
0.075,0.1,4.0,10.0,True,False,False,1557,297,0.05583806902036691,4.5317545607447025,2.2700220988733712e+54,4.5400487458413653e+52
0.075,0.1,4.0,10.0,True,False,False,1667,297,0.04021033458697429,2.6582357423609917,2.2713041504057616e+54,4.5426128513074945e+52
0.075,0.1,12.0,10.0,True,False,False,1386,291,0.09117764803481682,3.7312269988411826,5.985708383411532e+53,1.1971428768012693e+52
0.075,0.1,12.0,10.0,True,False,False,1395,288,0.1111236145381946,3.7100633573452573,1.7619897292865732e+53,3.523982989066431e+51
0.075,0.1,4.0,10.0,True,False,False,1597,297,0.0543417660733528,4.450239067543828,2.2783861687992432e+54,4.556776903755112e+52
0.075,0.1,4.0,10.0,True,False,False,1524,292,0.09583558031174548,4.315696323055378,3.003648290524889e+53,6.007302600412654e+51
0.075,0.1,12.0,10.0,True,False,False,1487,292,0.08112333593965848,3.7766404240880957,9.008990960233916e+53,1.8017999974729835e+52
0.075,0.1,12.0,10.0,True,False,False,1702,291,0.08755046913644218,3.6876559468897305,5.9712542399622476e+53,1.1942520445471173e+52
0.075,0.1,12.0,10.0,True,False,False,1582,288,0.11078133776557218,3.739350324734205,1.7799506549647502e+53,3.5599048758867774e+51
0.075,0.5,4.0,10.0,True,False,False,780,5,0.18016876961055628,0.32500418731213787,2752.465981836636,34.40060310289978
0.075,0.1,12.0,10.0,True,False,False,1309,293,0.07382069619786143,3.694899147807126,1.3438241564987388e+54,2.687651006519174e+52
0.075,0.5,4.0,10.0,True,False,False,1071,5,0.18518689864842192,0.3398982462191207,3559.4671100014225,44.48812911238641
0.075,0.5,4.0,10.0,True,False,False,1251,5,0.19114693780410769,0.3272839708762163,3581.290027113413,44.760915881978356
