step,population,ai_generation,U_sys,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate,L_t,H_N,H_E,Theta_tech,Psi_inst,resource_level,constraint_level,runaway_term
0,204,1,8.475891208147234,0.0,799.9934926267573,799.9934926267573,0.0059495019180327395,0.9852337979207993,0.04999999999999999,0.9,0.01,0.9,0.0,0.0
1,201,2,197.80485236437738,103.1403717862623,792.037877972329,895.1782497585914,2.373561880466062,0.9822698769722573,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
2,206,2,207.74279226667974,305.9141941017908,784.1569716642667,1090.0711657660577,2.4987715497839993,0.9867288800060782,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
3,209,2,213.55472117989632,516.5629508250788,776.3544786294809,1292.9174294545596,2.572396160158895,0.9851262725594527,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
4,209,2,215.98869007018374,731.3346564501188,768.6296214784555,1499.9642779285743,2.603786460655225,0.9830718495162678,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
5,216,2,224.3022064101342,951.4801046902778,760.981629034607,1712.4617337248847,2.70866167700819,0.9832246282637715,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
6,218,2,229.93939127677217,1178.600903533731,753.409735797448,1932.010639331179,2.7800731519935544,0.9842225152540494,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
7,219,2,233.01888344925845,1410.0800408967464,745.9131844246891,2155.9932253214356,2.8195039691950567,0.9857905196312636,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
8,218,2,234.66601965925867,1643.922492451005,738.4912238386695,2382.4137162896745,2.841020972388673,0.9849652316137361,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
9,224,2,242.46613520935708,1882.4885698853127,731.1431142030269,2613.6316840883396,2.9394411741758995,0.9867013969219123,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
10,232,2,254.44614753118162,2130.944711255582,723.8681209466403,2854.8128322022226,3.0901010705269183,0.9916390627373477,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
11,238,2,260.67273110325954,2388.5041505728027,716.6655097976699,3105.1696603704727,3.16883390209086,0.9850923044870091,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
12,245,2,270.3585424779431,2654.0197873634042,709.534569979638,3363.5543573430423,3.290798212477929,0.9876167779316661,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
13,245,2,272.82612996929606,2925.6121235870237,702.4745839794801,3628.0867075665037,3.322525629529307,0.9896913302346761,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
14,241,2,268.9141816056189,3196.482279374481,695.4848435480468,3891.967122922528,3.27449987938244,0.9862470259238733,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
15,252,2,281.22655189113806,3471.5526461228596,688.5646524013813,4160.117298524241,3.429269926733203,0.9832536277707544,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
16,251,2,282.9119500090038,3753.6218970729306,681.7133209752968,4435.335218048227,3.4511938678952583,0.9863030635540001,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
17,264,2,296.9768492323173,4043.566296693591,674.930161279156,4718.4964579727475,3.627853439970536,0.9890387000443938,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
18,268,2,301.6521279990848,4342.880785309292,668.2144939351418,5011.095279244434,3.687134031758924,0.9889647246660729,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
19,265,2,300.0186379804429,4643.716168299056,661.5656484584573,5305.281816757513,3.6675464640521063,0.9885608416863811,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
20,262,2,299.6609716742464,4943.555973126401,654.9829618093411,5598.538934935742,3.663898453301095,0.9922482365765933,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
21,266,2,302.82030066101316,5244.7966092940305,648.4657692302458,5893.262378524276,3.7042048340503104,0.9844928805463556,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
22,262,2,300.2087341739545,5546.311126711515,642.013428251526,6188.324554963041,3.672366708622609,0.9874804166756094,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
23,270,2,308.7606826540701,5850.7958351255265,635.625288341627,6486.421123467154,3.7800648496147753,0.9885529272703021,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
24,266,2,305.66863818228944,6158.010495543706,629.3007107024592,6787.311206246166,3.7422047730616823,0.9876916727148347,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
25,270,2,310.146499335282,6465.918064302492,623.0390652195102,7088.957129522002,3.7989608781114104,0.9907331050127999,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
26,264,2,303.8371373998958,6772.909882670081,616.8397213539065,7389.749604023988,3.7208685857822075,0.9867117534821216,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
27,254,2,296.5576819877542,7073.107292363906,610.702064307679,7683.809356671585,3.6306423695891947,0.9885808187658156,0.19999999999999996,3.6,1.0,0.9,0.0,0.0
