absolute_resolution_multiplier,absolute_term_enabled,arm,attack_cost_model,attacker_capability,capability_ratio,cell_id,collapse_severity,defender_capability,defense_cost_model,defense_input_count,effective_attack_cost,effective_defense_cost,elapsed_seconds,failure_count,failure_rate,frontier_validator_count,institution_alone_corner,institution_hidden_count,institution_hidden_rate,institution_validator_count,mean_measured_rank,mean_seconds_per_run,merge_rule,n,pairwise_checks,partition_corruption_count,partition_corruption_rate,pass_name,rank_visible_failure_count,rank_visible_failure_rate,resolution_probability,structural_point_index,true_effective_rank,validator_set_size
1.0,False,false_cluster_injection,linear,1.0,1.0,0147f7f6b02cf23ad46c,0.33,1.0,pairwise_exact,10,8.0,45.0,0.00819461140781641,130,0.65,7,False,0,0.0,1,8.895,4.097305703908205e-05,threshold_greedy_complete_linkage,200,45,0,0.0,complete_linkage,0,0.0,0.5871559633027523,9,8,8
1.0,False,false_cluster_injection,superlinear,1.0,1.0,02ec477f985ad559dedd,0.33,1.0,static_baseline,4,2.8284271247461903,1.0,0.010814213193953037,56,0.28,1,False,0,0.0,1,2.29,5.4071065969765184e-05,threshold_greedy_complete_linkage,200,6,0,0.0,complete_linkage,0,0.0,0.8497788951776651,1,2,2
1.0,False,false_cluster_injection,superlinear,1.0,1.0,08d9b3b62227557fdee5,0.0,1.0,static_baseline,18,64.0,1.0,0.009161170572042465,0,0.0,15,False,0,0.0,1,16.0,4.580585286021233e-05,threshold_greedy_complete_linkage,200,153,0,0.0,complete_linkage,0,0.0,0.9990243902439024,12,16,16
1.0,False,false_cluster_injection,linear,1.0,1.0,0b974e1b2d0471cb09a1,1.0,1.0,pairwise_exact,18,2.0,153.0,0.00888538546860218,200,1.0,15,False,0,0.0,1,3.945,4.4426927343010905e-05,threshold_greedy_complete_linkage,200,153,0,0.0,complete_linkage,0,0.0,0.025477707006369428,15,2,16
1.0,False,false_cluster_injection,linear,1.0,1.0,0dbb305f306941dce1c0,1.0,1.0,static_baseline,3,1.0,1.0,0.008292574435472488,200,1.0,0,True,0,0.0,1,3.0,4.146287217736244e-05,threshold_greedy_complete_linkage,200,3,0,0.0,complete_linkage,0,0.0,0.0,24,1,1
1.0,False,false_cluster_injection,superlinear,1.0,1.0,0ebc02b517f363680594,1.0,1.0,pairwise_exact,18,2.8284271247461903,153.0,0.01627965457737446,200,1.0,15,False,0,0.0,1,3.91,8.139827288687229e-05,threshold_greedy_complete_linkage,200,153,0,0.0,complete_linkage,0,0.0,0.03565464773804741,15,2,16
1.0,False,false_cluster_injection,linear,1.0,1.0,1047bcce7376f7b705b7,0.66,1.0,pairwise_exact,6,3.0,15.0,0.013635697774589062,183,0.915,3,False,0,0.0,1,4.28,6.817848887294531e-05,threshold_greedy_complete_linkage,200,15,0,0.0,complete_linkage,0,0.0,0.375,6,3,4
1.0,False,false_cluster_injection,superlinear,1.0,1.0,11b3087274f5bcb30950,0.0,1.0,pairwise_exact,6,8.0,15.0,0.007832162082195282,107,0.535,3,False,0,0.0,1,4.635,3.916081041097641e-05,threshold_greedy_complete_linkage,200,15,0,0.0,complete_linkage,0,0.0,0.6808510638297872,4,4,4
1.0,False,false_cluster_injection,superlinear,1.0,1.0,134b2458989d269c6110,1.0,1.0,static_baseline,10,2.8284271247461903,1.0,0.00840158574283123,74,0.37,7,False,0,0.0,1,2.41,4.200792871415615e-05,threshold_greedy_complete_linkage,200,45,0,0.0,complete_linkage,0,0.0,0.8497788951776651,11,2,8
1.0,False,false_cluster_injection,superlinear,1.0,1.0,179dfa7d1f46c39130cb,0.33,1.0,static_baseline,6,8.0,1.0,0.020280268043279648,6,0.03,3,False,0,0.0,1,4.03,0.00010140134021639824,threshold_greedy_complete_linkage,200,15,0,0.0,complete_linkage,0,0.0,0.9696969696969697,5,4,4
