absolute_resolution_multiplier,absolute_term_enabled,arm,attack_cost_model,attacker_capability,capability_ratio,cell_id,collapse_severity,defender_capability,defense_cost_model,defense_input_count,effective_attack_cost,effective_defense_cost,elapsed_seconds,failure_count,failure_rate,frontier_validator_count,institution_alone_corner,institution_hidden_count,institution_hidden_rate,institution_validator_count,mean_measured_rank,mean_seconds_per_run,merge_rule,n,pairwise_checks,partition_corruption_count,partition_corruption_rate,pass_name,rank_visible_failure_count,rank_visible_failure_rate,resolution_probability,structural_point_index,true_effective_rank,validator_set_size
1.0,False,measurement_corruption,superlinear,3.8311868495572874,3.8311868495572874,000471b3f3678afa5c10,0.33,1.0,pairwise_exact,64,512.0,2016.0,0.43227123375982046,37,0.185,63,False,37,0.185,1,63.815,0.0021613561687991024,threshold_connected_components,200,2016,37,0.185,main_surface,0,0.0,0.8092528123477224,21,64,64
1.0,False,measurement_corruption,linear,2.1544346900318834,2.1544346900318834,0029ea7d89c6859b3e11,1.0,1.0,static_baseline,1,1.0,1.0,0.013932915404438972,200,1.0,0,True,0,0.0,1,1.0,6.966457702219487e-05,threshold_connected_components,200,0,0,0.0,main_surface,0,0.0,0.0,24,1,1
1.0,False,measurement_corruption,linear,2.6101572156825377,2.6101572156825377,0030215f01c0ab47fdcd,0.0,1.0,pairwise_exact,64,64.0,2016.0,0.3721663961187005,122,0.61,63,False,122,0.61,1,63.39,0.0018608319805935025,threshold_connected_components,200,2016,122,0.61,main_surface,0,0.0,0.43769676433293575,20,64,64
1.0,False,measurement_corruption,linear,3.8311868495572874,3.8311868495572874,0046cf0c425558fcf495,0.0,1.0,pairwise_exact,16,16.0,120.0,0.08769768942147493,127,0.635,15,False,127,0.635,1,15.365,0.0004384884471073747,threshold_connected_components,200,120,127,0.635,main_surface,0,0.0,0.35767056995680135,12,16,16
1.0,False,measurement_corruption,linear,0.12115276586285884,0.12115276586285884,004da550d2b16d68ed5b,0.33,1.0,pairwise_exact,8,8.0,28.0,0.046331681311130524,8,0.04,7,False,8,0.04,1,7.96,0.00023165840655565262,threshold_connected_components,200,28,8,0.04,main_surface,0,0.0,0.9496637066914556,9,8,8
1.0,False,measurement_corruption,linear,0.14677992676220694,0.14677992676220694,006c8c617cc45d8e869d,0.33,1.0,pairwise_exact,64,64.0,2016.0,0.36758260894566774,9,0.045,63,False,9,0.045,1,63.955,0.0018379130447283387,threshold_connected_components,200,2016,9,0.045,main_surface,0,0.0,0.9326242011535564,21,64,64
1.0,False,measurement_corruption,linear,4.64158883361278,4.64158883361278,006fa8e4922deaa9a1ec,0.0,1.0,static_baseline,32,32.0,1.0,0.09830824937671423,0,0.0,31,False,0,0.0,1,32.0,0.0004915412468835712,threshold_connected_components,200,496,0,0.0,main_surface,0,0.0,0.9954876519829653,16,32,32
1.0,False,false_cluster_injection,linear,0.8254041852680184,0.8254041852680184,007bcf692271cec74a47,0.33,1.0,static_baseline,66,64.0,1.0,0.019701022654771805,0,0.0,63,False,0,0.0,1,64.0,9.850511327385902e-05,threshold_connected_components,200,2145,0,0.0,main_surface,0,0.0,0.9997985259063213,21,64,64
1.0,False,false_cluster_injection,linear,0.1,0.1,008e6d61fd576ad22ae2,0.33,1.0,static_baseline,66,64.0,1.0,0.03776484727859497,0,0.0,63,False,0,0.0,1,64.0,0.00018882423639297486,threshold_connected_components,200,2145,0,0.0,main_surface,0,0.0,0.9999755865335318,21,64,64
1.0,False,false_cluster_injection,linear,0.2154434690031884,0.2154434690031884,00a2c9f7044263dc28e4,0.66,1.0,static_baseline,18,7.0,1.0,0.012460088357329369,1,0.005,15,False,0,0.0,1,7.005,6.230044178664684e-05,threshold_connected_components,200,153,0,0.0,main_surface,0,0.0,0.9956224417821434,14,7,16
1.0,False,measurement_corruption,superlinear,0.2610157215682537,0.2610157215682537,00c6a72f3cbebdb6f93f,0.66,1.0,pairwise_exact,4,5.196152422706632,6.0,0.027836790308356285,35,0.175,3,False,17,0.085,1,3.02,0.00013918395154178143,threshold_connected_components,200,6,35,0.175,main_surface,0,0.0,0.9087067755455018,6,3,4
1.0,False,false_cluster_injection,superlinear,0.3831186849557288,0.3831186849557288,00dde92eb2bb810a5bb1,0.66,1.0,pairwise_exact,34,46.87216658103186,561.0,0.012945707887411118,86,0.43,31,False,0,0.0,1,13.495,6.472853943705559e-05,threshold_connected_components,200,561,0,0.0,main_surface,0,0.0,0.7392478562575352,18,13,32
1.0,False,false_cluster_injection,linear,3.1622776601683795,3.1622776601683795,0108a9152353eb1658a2,1.0,1.0,pairwise_exact,4,2.0,6.0,0.012231479398906231,195,0.975,1,False,0,0.0,1,3.68,6.115739699453116e-05,threshold_connected_components,200,6,0,0.0,main_surface,0,0.0,0.17411239489546831,3,2,2
1.0,False,false_cluster_injection,linear,6.812920690579611,6.812920690579611,0127ba4b8bb9b91044e1,1.0,1.0,pairwise_exact,10,2.0,45.0,0.02615625225007534,200,1.0,7,False,0,0.0,1,3.985,0.0001307812612503767,threshold_connected_components,200,45,0,0.0,main_surface,0,0.0,0.012879070027274514,11,2,8
1.0,False,false_cluster_injection,linear,10.0,10.0,012ef359b5a317c240d1,0.33,1.0,pairwise_exact,18,16.0,153.0,0.01083811279386282,197,0.985,15,False,0,0.0,1,17.75,5.41905639693141e-05,threshold_connected_components,200,153,0,0.0,main_surface,0,0.0,0.1433370660694289,13,16,16
1.0,False,false_cluster_injection,superlinear,0.5623413251903492,0.5623413251903492,01379e868290b917fa60,0.66,1.0,static_baseline,34,46.87216658103186,1.0,0.012159145437180996,0,0.0,31,False,0,0.0,1,13.0,6.079572718590498e-05,threshold_connected_components,200,561,0,0.0,main_surface,0,0.0,0.9990779785901993,18,13,32
