arm,attack_cost,attack_cost_exponent,attack_cost_model,attack_succeeded,capability_ratio_fixture,case,clusters,collapse_severity,corrupted_correlation_reads,corruption_probability,defense_active,defense_cost_model,defense_failed,defense_fired,defense_input_count,detached_frontier_validators,effective_defense_cost,effective_exponent,effective_rank,elapsed_seconds,exponent_reduction,false_clusters_injected,false_clusters_resolved,false_clusters_surviving,frontier_validator_count,institution_merge_probability,institution_merged,institution_validator_count,institution_visible,is_v2_mode,lineage_mode,measured_rank,pairwise_checks,partition_preserved,population,rank_error,raw_defense_cost,record_type,replicate,resolution_improvement,resolution_probability,retained_diversity,scenario_label,seed,structured_efficiency,true_rank,validator_count,vector
,,,,True,,,,,,,False,,,False,,,,,,0.011096727102994919,,,,,,,,,,True,,,,,50,,,validated_path_probe,,,,,,400373737,,,,sybil_capture
,,,,False,,,,,,,True,,,True,,,,,,0.005480867810547352,,,,,,,,,,True,,,,,50,,,validated_path_probe,,,,,,400373737,,,,sybil_capture
,,,,,,,,,,,,pairwise_exact,,,,,1.0,2.0,,,0.0,,,,,,,,,,,,1,,,,1.0,cost_scaling,,,,,,,1.0,,2,
,,,,,,,,,,,,pairwise_exact,,,,,6.0,2.0,,,0.0,,,,,,,,,,,,6,,,,6.0,cost_scaling,,,,,,,1.0,,4,
,,,,,,,,,,,,pairwise_exact,,,,,28.0,2.0,,,0.0,,,,,,,,,,,,28,,,,28.0,cost_scaling,,,,,,,1.0,,8,
,,,,,,,,,,,,static_baseline,,,,,1.0,0.0,,,0.0,,,,,,,,,,,,1,,,,1.0,cost_scaling,,,,,,,1.0,,2,
,,,,,,,,,,,,static_baseline,,,,,1.0,0.0,,,0.0,,,,,,,,,,,,6,,,,1.0,cost_scaling,,,,,,,1.0,,4,
,,,,,,,,,,,,static_baseline,,,,,1.0,0.0,,,0.0,,,,,,,,,,,,28,,,,1.0,cost_scaling,,,,,,,1.0,,8,
,,,,,,six_distinct_no_collapse,"[[""frontier-0""], [""frontier-1""], [""frontier-2""], [""frontier-3""], [""frontier-4""], [""frontier-5""]]",0.0,,,,,,,,,,,6,,,,,,6,,,0,,,distinct,,15,,,,,attribution_validation,,,,"{""frontier-0"": 1.0, ""frontier-1"": 1.0, ""frontier-2"": 1.0, ""frontier-3"": 1.0, ""frontier-4"": 1.0, ""frontier-5"": 1.0}",,,,,6,
,,,,,,six_correlated_no_collapse,"[[""frontier-0"", ""frontier-1"", ""frontier-2"", ""frontier-3"", ""frontier-4"", ""frontier-5""]]",0.0,,,,,,,,,,,1,,,,,,6,,,0,,,shared,,15,,,,,attribution_validation,,,,"{""frontier-0"": 1.0, ""frontier-1"": 1.0, ""frontier-2"": 1.0, ""frontier-3"": 1.0, ""frontier-4"": 1.0, ""frontier-5"": 1.0}",,,,,6,
,,,,,,six_distinct_maximum_collapse,"[[""frontier-0"", ""frontier-1"", ""frontier-2"", ""frontier-3"", ""frontier-4"", ""frontier-5""]]",1.0,,,,,,,,,,,1,,,,,,6,,,0,,,distinct,,15,,,,,attribution_validation,,,,"{""frontier-0"": 0.0, ""frontier-1"": 0.0, ""frontier-2"": 0.0, ""frontier-3"": 0.0, ""frontier-4"": 0.0, ""frontier-5"": 0.0}",,,,,6,
,,,,,,maximum_collapse_with_institution,"[[""frontier-0"", ""frontier-1"", ""frontier-2"", ""frontier-3"", ""frontier-4"", ""frontier-5""], [""institution-0""]]",1.0,,,,,,,,,,,2,,,,,,6,,,1,,,distinct,,21,,,,,attribution_validation,,,,"{""frontier-0"": 0.0, ""frontier-1"": 0.0, ""frontier-2"": 0.0, ""frontier-3"": 0.0, ""frontier-4"": 0.0, ""frontier-5"": 0.0, ""institution-0"": 1.0}",,,,,7,
,,,,,,analytic_institution_alone,"[[""institution-0""]]",1.0,,,,,,,,,,,1,,,,,,0,,,1,,,distinct,,0,,,,,attribution_validation,,,,"{""institution-0"": 1.0}",,,,,1,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,0.000104686,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,0,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1579336155,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,0.00010256,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,1,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1093457982,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,9.1233e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,2,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,741424086,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.9052e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,3,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,724006080,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.8981e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,4,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,120475679,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.8213e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,5,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,596684299,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.7537e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,6,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1512130078,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,9.0792e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,7,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,106482627,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.6835e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,8,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1309665412,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,9.3043e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,9,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,925181092,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.8059e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,10,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,2061095813,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,9.0189e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,11,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1112031687,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.9107e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,12,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1317270716,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.8044e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,13,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1268915925,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.7636e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,14,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,753219938,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.9191e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,15,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,431472092,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.8301e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,16,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1390512043,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.7211e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,17,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1917167085,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,9.1423e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,18,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,70547475,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.7321e-05,0.0,2,1,1,6,,False,1,True,,,3,36,True,,1,36.0,arm_run,19,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1084615630,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.796e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,20,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,365103655,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,False,,9,,36.0,,,8.7173e-05,0.0,2,2,0,6,,False,1,True,,,2,36,True,,0,36.0,arm_run,21,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1662733930,1.0,2,7,
false_cluster_injection,2.0,1.0,linear,,0.05,,,1.0,0,,,pairwise_exact,True,,9,,36.0,,,8.7145e-05,0.0,2,0,2,6,,False,1,True,,,4,36,True,,2,36.0,arm_run,22,1.0,0.6896551724137931,,nominal_maximum_collapse_with_institution,1249962833,1.0,2,7,
