absolute_resolution_multiplier,absolute_term_enabled,absolute_term_strength,attack_cost_model,attacker_capability,capability_ratio,cell_index,collapse_severity,committed_resolution_probability,defender_capability,defense_cost_model,defense_failed,derived_capability_ratio,effective_rank,elapsed_seconds,frontier_validator_count,gate,institution_validator_count,measured_rank,merge_rule,outputs_identical,parity_level,rank_axis_unchanged,record_type,replicate,resolution_probability,resolution_probability_difference,seed,two_dial_resolution_probability,validator_set_size
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,3.0146e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,0,0.4,,2140402542,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.7331e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,1,0.4,,1543801344,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.3769e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,2,0.4,,203588011,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.2217e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,3,0.4,,1541170793,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.1717e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,4,0.4,,187544676,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.132e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,5,0.4,,1247804041,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0807e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,6,0.4,,3874857,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.1047e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,7,0.4,,421635100,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.0578e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,8,0.4,,186669225,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0587e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,9,0.4,,332072742,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0437e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,10,0.4,,1198129972,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0991e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,11,0.4,,758761808,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.0652e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,12,0.4,,121394062,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0506e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,13,0.4,,283538554,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0255e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,14,0.4,,1546372510,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.0042e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,15,0.4,,1155716768,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0324e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,16,0.4,,1028950219,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0408e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,17,0.4,,1139110737,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.041e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,18,0.4,,1220362346,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0383e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,19,0.4,,1694803075,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.1007e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,20,0.4,,277625838,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0826e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,21,0.4,,1734310711,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0708e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,22,0.4,,2078486222,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0221e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,23,0.4,,1478091980,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0009e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,24,0.4,,708429329,,2
