rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,5.0,2.0,1,extinction,161,0,25,0.0009000000000000001,0.6190657408357989,5991.515596731135,60.55684402959069,6052.072440760726
0.05,5.0,1.0,1,extinction,161,0,25,0.0009000000000000001,0.6190657408357989,5991.515596731135,60.55684402959069,6052.072440760726
0.05,5.0,0.5,1,extinction,161,0,25,0.0009000000000000001,0.6190657408357989,5991.515596731135,60.55684402959069,6052.072440760726
0.05,5.0,0.5,4,extinction,230,0,25,0.0009000000000000001,0.31723593837397535,5833.337262657709,30.37386378340834,5863.711126441118
0.05,5.0,2.0,4,extinction,230,0,25,0.0009000000000000001,0.31723593837397535,5833.337262657709,30.37386378340834,5863.711126441118
0.05,5.0,1.0,4,extinction,230,0,25,0.0009000000000000001,0.31723593837397535,5833.337262657709,30.37386378340834,5863.711126441118
0.05,5.0,0.5,3,extinction,268,0,30,0.0009000000000000001,0.2212124334413497,6698.0541905132095,20.77151329014577,6718.825703803355
0.05,5.0,1.0,3,extinction,268,0,30,0.0009000000000000001,0.2212124334413497,6698.0541905132095,20.77151329014577,6718.825703803355
0.05,5.0,2.0,3,extinction,268,0,30,0.0009000000000000001,0.2212124334413497,6698.0541905132095,20.77151329014577,6718.825703803355
0.05,5.0,0.5,0,extinction,277,0,27,0.0009000000000000001,0.20333463815129182,6522.19322585199,18.983733761139984,6541.17695961313
0.05,5.0,2.0,0,extinction,277,0,27,0.0009000000000000001,0.20333463815129182,6522.19322585199,18.983733761139984,6541.17695961313
0.05,5.0,1.0,0,extinction,277,0,27,0.0009000000000000001,0.20333463815129182,6522.19322585199,18.983733761139984,6541.17695961313
0.05,5.0,0.5,2,extinction,320,0,32,0.0009000000000000001,0.13698821517416837,7260.720648773172,12.349091463427635,7273.0697402365995
0.05,5.0,1.0,2,extinction,320,0,32,0.0009000000000000001,0.13698821517416837,7260.720648773172,12.349091463427635,7273.0697402365995
0.05,5.0,2.0,2,extinction,320,0,32,0.0009000000000000001,0.13698821517416837,7260.720648773172,12.349091463427635,7273.0697402365995
0.05,10.0,0.5,1,extinction,161,0,35,0.0001,0.6086854137844785,12374.653642034735,60.56854341899519,12435.22218545373
0.05,10.0,1.0,1,extinction,161,0,35,0.0001,0.6086854137844785,12374.653642034735,60.56854341899519,12435.22218545373
0.05,10.0,0.5,0,extinction,277,0,43,0.001912349263994217,0.2472400235539258,13878.915215686631,18.987088204557626,13897.90230389119
0.05,10.0,2.0,1,extinction,161,0,35,0.0001,0.6086854137844785,12374.653642034735,60.56854341899519,12435.22218545373
0.05,10.0,0.5,4,extinction,230,0,38,0.0012003217306895844,0.3398032187153569,12384.800215866679,30.379418341091696,12415.17963420777
0.05,10.0,0.5,2,extinction,320,0,47,0.002770048708970705,0.20660495757231298,15696.92691708836,12.350836956947095,15709.277754045306
0.05,10.0,0.5,3,extinction,268,0,43,0.001560738477974181,0.2545737457904129,14041.540732145513,20.775252658848693,14062.315984804362
0.05,10.0,1.0,4,extinction,230,0,38,0.00013706491769190806,0.30790606053017283,12384.784267287587,30.379418341091696,12415.163685628679
0.05,10.0,1.0,0,extinction,277,0,43,0.0004732861183338758,0.20406913484795539,13878.893630242279,18.987088204557626,13897.880718446837
0.05,10.0,1.0,3,extinction,268,0,43,0.0002702840584039454,0.2158608863963026,14041.521375715816,20.775252658848693,14062.296628374665
0.05,10.0,2.0,4,extinction,230,0,38,0.0001,0.3067941320400027,12384.783711323342,30.379418341091696,12415.163129664434
0.05,10.0,2.0,0,extinction,277,0,43,0.0001,0.19287081216234406,13878.888031080936,18.987088204557626,13897.875119285494
0.05,10.0,2.0,3,extinction,268,0,43,0.0001,0.21075246667215164,14041.518821505955,20.775252658848693,14062.294074164804
0.05,10.0,1.0,2,extinction,320,0,47,0.002499995673237149,0.19850384159677242,15696.922866530373,12.350836956947095,15709.273703487319
0.05,15.0,0.5,1,extinction,161,0,39,0.002665311441923884,0.7256017495531899,19014.558662200383,60.56671676267287,19075.125378963057
0.05,15.0,0.5,0,extinction,277,0,50,0.0001,0.1943741715365892,21456.296668486095,18.98741977793287,21475.284088264027
0.05,10.0,2.0,2,extinction,320,0,47,0.0020363056179701095,0.18459395569521453,15696.91591158742,12.350836956947095,15709.266748544367
0.05,15.0,1.0,1,extinction,161,0,39,0.0014587229654437436,0.6713072749159312,19014.531514963066,60.56671676267287,19075.09823172574
0.05,15.0,0.5,4,extinction,230,0,43,0.0012003217306895844,0.3578077363675769,18918.483494029588,30.379418341091696,18948.862912370678
0.05,15.0,0.5,3,extinction,268,0,51,0.0001,0.21225523219539108,21946.755262450166,20.775526280360108,21967.530788730524
