rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.07,5.0,0.5,0,extinction,21407,0,2,0.0001,0.0014999925000374998,1467965.3446080203,3.251189525186548e-91,1467965.3446080203
0.07,5.0,2.0,0,extinction,21407,0,2,0.0001,0.0014999925000374998,1467965.3446080203,3.251189525186548e-91,1467965.3446080203
0.07,5.0,1.0,0,extinction,21407,0,2,0.0001,0.0014999925000374998,1467965.3446080203,3.251189525186548e-91,1467965.3446080203
0.07,5.0,1.0,4,extinction,47423,0,2,0.0001,0.0014999925000374998,3396401.2225176226,3.3572978712845976e-204,3396401.2225176226
0.07,5.0,0.5,1,max_steps,50000,166,2,2.3337158655973704,93.34840010020979,3590476.025551489,5.756929208615573e-215,3590476.025551489
0.07,5.0,0.5,4,extinction,47423,0,2,0.0001,0.0014999925000374998,3396401.2225176226,3.3572978712845976e-204,3396401.2225176226
0.07,5.0,1.0,3,max_steps,50000,98,2,1.4166597350228733,56.66624681616761,3463741.609387234,5.756929186325573e-215,3463741.609387234
0.07,5.0,0.5,3,max_steps,50000,98,2,1.4166597350228733,56.66624681616761,3463741.609387234,5.756929186325573e-215,3463741.609387234
0.07,5.0,1.0,1,max_steps,50000,166,2,2.3337158655973704,93.34840010020979,3590476.025551489,5.756929208615573e-215,3590476.025551489
0.07,5.0,0.5,2,max_steps,50000,155,2,2.227967930026568,89.11849325071898,3545780.095828034,5.756929205149381e-215,3545780.095828034
0.07,5.0,1.0,2,max_steps,50000,155,2,2.227967930026568,89.11849325071898,3545780.095828034,5.756929205149381e-215,3545780.095828034
0.07,10.0,0.5,0,extinction,21407,0,2,0.0001,0.0029999850000749996,2935130.6845793882,3.251189525186548e-91,2935130.6845793882
0.07,10.0,1.0,0,extinction,21407,0,2,0.0001,0.0029999850000749996,2935130.6845793882,3.251189525186548e-91,2935130.6845793882
0.07,5.0,2.0,2,max_steps,50000,155,2,2.227967930026568,89.11849325071898,3545780.095828034,5.756929205149381e-215,3545780.095828034
0.07,5.0,2.0,1,max_steps,50000,166,2,2.3337158655973704,93.34840010020979,3590476.025551489,5.756929208615573e-215,3590476.025551489
0.07,5.0,2.0,3,max_steps,50000,98,2,1.4166597350228733,56.66624681616761,3463741.609387234,5.756929186325573e-215,3463741.609387234
0.07,10.0,2.0,0,extinction,21407,0,2,0.0001,0.0029999850000749996,2935130.6845793882,3.251189525186548e-91,2935130.6845793882
0.07,5.0,2.0,4,extinction,47423,0,2,0.0001,0.0014999925000374998,3396401.2225176226,3.3572978712845976e-204,3396401.2225176226
0.07,10.0,0.5,1,max_steps,50000,166,2,2.3337158655973704,186.69680020041957,7180152.04646749,5.756929208615573e-215,7180152.04646749
0.07,10.0,0.5,2,max_steps,50000,155,2,2.227967930026568,178.23698650143797,7090760.187019571,5.756929205149381e-215,7090760.187019571
0.07,10.0,0.5,4,extinction,47423,0,2,0.0001,0.0029999850000749996,6792002.440398592,3.3572978712845976e-204,6792002.440398592
0.07,10.0,0.5,3,max_steps,50000,98,2,1.4166597350228733,113.33249363233521,6926683.214138579,5.756929186325573e-215,6926683.214138579
