rr,phi,alpha,seed,successor_cap,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,5.0,0.5,1,5.0,extinction,161,0,26,0.0009000000000000001,0.6190657408357989,7364.78734252667,60.55684402959069,7425.344186556261
0.05,5.0,0.5,1,10.0,extinction,161,0,33,0.0008758787001687563,0.6188185855052347,15178.879663038633,60.56805992424902,15239.447722962883
0.05,5.0,0.5,0,10.0,extinction,277,0,41,0.0001,0.19137492232907746,16894.543239328843,18.987492532907144,16913.53073186175
0.05,5.0,0.5,0,50.0,extinction,426,0,38,0.0001,0.044292641049866285,68961.34527942997,4.279264310473523,68965.62454374044
0.05,5.0,0.5,1,100.0,extinction,289,0,13,0.0014041605774866494,0.18944241245340196,49479.13510194579,16.838270344503233,49495.97337229029
0.05,5.0,0.5,0,5.0,extinction,277,0,29,0.0009000000000000001,0.20333463815129182,8139.27665853813,18.983733761139984,8158.260392299269
0.05,5.0,0.5,0,25.0,extinction,297,0,44,0.001593494632720361,0.33781175783484685,33787.62739999916,29.279304873136592,33816.9067048723
0.05,5.0,0.5,1,25.0,extinction,311,0,52,0.0001,0.1366474796775578,42269.54694737682,13.514748107717745,42283.06169548453
0.05,5.0,0.5,2,5.0,extinction,320,0,34,0.0009000000000000001,0.13698821517416837,9067.837307250666,12.349091463427635,9080.186398714093
0.05,5.0,0.5,2,100.0,extinction,269,0,12,0.0009000000000000001,0.21914563333616646,44676.5483163086,20.564833279627447,44697.11314958823
0.05,5.0,0.5,0,100.0,extinction,364,0,14,0.001910183740828354,0.1081911142986217,47282.4742640022,7.9541057931794565,47290.42836979538
0.05,5.0,0.5,2,25.0,extinction,275,0,46,0.0001,0.19521050583609817,38020.047819931264,19.37105099458304,38039.418870925845
0.05,5.0,0.5,4,5.0,extinction,230,0,26,0.0009000000000000001,0.31723593837397535,7164.059395933955,30.37386378340834,7194.433259717363
0.05,5.0,0.5,1,50.0,extinction,476,0,35,0.0011139721480264494,0.04265777501873372,62157.26899315767,2.5950892362130844,62159.864082393884
0.05,5.0,0.5,2,10.0,extinction,320,0,43,0.0024922045785530354,0.16089354704541267,18681.969523338634,12.35116713010704,18694.32069046874
0.05,5.0,0.5,3,5.0,extinction,268,0,31,0.0009000000000000001,0.2212124334413497,8275.415329118765,20.77151329014577,8296.18684240891
0.05,5.0,0.5,3,10.0,extinction,268,0,40,0.0001,0.2092550041889176,16960.29258086216,20.775501617232827,16981.068082479393
0.05,5.0,0.5,3,25.0,extinction,259,0,40,0.002803148368174103,0.2693555033770898,31724.922847693277,22.731042169837465,31747.653889863115
0.05,5.0,0.5,3,100.0,extinction,283,0,11,0.0022279442960528987,0.21221984690893814,35294.79552428754,17.880338225002394,35312.675862512544
0.05,5.0,0.5,3,50.0,extinction,292,0,29,0.0001,0.1649259618757394,54307.228014280554,16.34259730418652,54323.57061158474
0.05,5.0,0.5,4,10.0,extinction,230,0,35,0.0024922045785530354,0.34117156674064947,14914.697174042514,30.378969099630726,14945.076143142145
0.05,5.0,0.5,2,50.0,extinction,443,0,32,0.0001,0.03760261512086524,50917.905774339866,3.6102618381268594,50921.51603617799
0.05,5.0,0.5,4,100.0,extinction,214,0,10,0.0009000000000000001,0.36993789397843324,36697.40138194352,35.644059343854124,36733.04544128737
0.05,5.0,0.5,4,50.0,extinction,323,0,31,0.0027242534730027228,0.16071866139859534,55459.23206297085,11.985748191508565,55471.21781116236
0.05,5.0,0.5,4,25.0,extinction,308,0,41,0.0001,0.1407633519616122,31467.230811626367,13.926335316161122,31481.15714694253
0.05,5.0,1.0,0,5.0,extinction,277,0,29,0.0009000000000000001,0.20333463815129182,8139.27665853813,18.983733761139984,8158.260392299269
0.05,5.0,1.0,1,5.0,extinction,161,0,26,0.0009000000000000001,0.6190657408357989,7364.78734252667,60.55684402959069,7425.344186556261
0.05,5.0,1.0,1,10.0,extinction,161,0,33,0.0001,0.6071805770659278,15178.873844034415,60.56805992424902,15239.441903958665
0.05,5.0,1.0,0,100.0,extinction,342,0,5,0.0009000000000000001,0.11260108091147847,21578.488366462814,9.910378037158647,21588.398744499973
0.05,5.0,1.0,0,10.0,extinction,277,0,41,0.0001,0.19137492232907746,16894.543239328843,18.987492532907144,16913.53073186175
0.05,5.0,1.0,1,50.0,extinction,396,0,19,0.0009000000000000001,0.07124985535508974,38531.96086281032,5.775255481519772,38537.73611829185
0.05,5.0,1.0,0,25.0,extinction,336,0,50,0.0022248820596732738,0.13861507879906623,43048.13764311698,10.524454768554627,43058.662097885535
0.05,5.0,1.0,2,25.0,extinction,187,0,37,0.0009000000000000001,0.48042180674264323,31760.954656242073,46.692450620275125,31807.647106862347
0.05,5.0,1.0,2,10.0,extinction,320,0,43,0.0011011593837218846,0.1400285349691836,18681.959090832595,12.35116713010704,18694.3102579627
0.05,5.0,1.0,1,100.0,extinction,313,0,5,0.0009000000000000001,0.14594231679571942,20665.47455443575,13.24450162558274,20678.719056061334
0.05,5.0,1.0,3,10.0,extinction,268,0,40,0.0001,0.2092550041889176,16960.29258086216,20.775501617232827,16981.068082479393
0.05,5.0,1.0,2,5.0,extinction,320,0,34,0.0009000000000000001,0.13698821517416837,9067.837307250666,12.349091463427635,9080.186398714093
0.05,5.0,1.0,3,5.0,extinction,268,0,31,0.0009000000000000001,0.2212124334413497,8275.415329118765,20.77151329014577,8296.18684240891
0.05,5.0,1.0,2,50.0,extinction,338,0,18,0.0009000000000000001,0.11664558291383535,39752.85159600322,10.314828237394334,39763.16642424061
0.05,5.0,1.0,2,100.0,extinction,336,0,4,0.0009000000000000001,0.11872931643924722,16406.93318181449,10.52320158993552,16417.456383404424
0.05,5.0,1.0,1,25.0,extinction,494,0,50,0.0001,0.023179213965222312,37500.466743818135,2.1679233112234635,37502.63466712936
0.05,5.0,1.0,3,25.0,extinction,307,0,47,0.0001,0.14216293094414528,37515.81533761943,14.066293257659249,37529.88163087709
0.05,5.0,1.0,4,5.0,extinction,230,0,26,0.0009000000000000001,0.31723593837397535,7164.059395933955,30.37386378340834,7194.433259717363
0.05,5.0,1.0,3,50.0,extinction,238,0,15,0.0009000000000000001,0.2938834021537446,34779.765366951324,28.038610161385265,34807.80397711271
0.05,5.0,1.0,0,50.0,extinction,631,0,29,0.0001,0.007008875977631357,55741.97848925082,0.5508884185776061,55742.529377669394
0.05,5.0,1.0,3,100.0,extinction,279,0,4,0.0009000000000000001,0.19957560701067273,14290.284838056272,18.60783064707807,14308.892668703349
0.05,5.0,1.0,4,10.0,extinction,230,0,35,0.0011011593837218846,0.32030655466442043,14914.686741536476,30.378969099630726,14945.065710636107
0.05,5.0,1.0,4,25.0,extinction,226,0,42,0.0009000000000000001,0.3296317473361257,34457.914192081094,31.613444679623374,34489.527636760715
0.05,5.0,2.0,0,10.0,extinction,277,0,41,0.0001,0.19137492232907746,16894.543239328843,18.987492532907144,16913.53073186175
