k2,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.0,0.05,5,False,False,True,0,208,0.0,0.0,583.8315400813569,207
0.0,0.05,0,False,True,False,1,296,0.0,0.0,870.968272799658,295
0.0,0.05,6,False,True,False,9,299,0.0,0.0,871.2305419594347,298
0.0,0.05,4,False,True,False,3,291,0.0,0.0,867.7580623138174,290
0.0,0.05,8,False,False,True,0,264,0.0,0.0,765.3053051933034,263
0.0,0.05,7,False,True,False,25,299,0.0,0.0,871.2584790828168,298
0.0,0.05,3,False,False,True,0,283,0.0,0.0,826.3957605407215,282
0.0,0.05,2,False,True,False,13,299,0.0,0.0,868.0514158335955,298
0.0,0.05,9,False,True,False,21,299,0.0,0.0,871.0197705092455,298
0.0,0.05,1,False,True,False,14,299,0.0,0.0,872.2490954382517,298
0.0,0.05,10,False,True,False,1,299,0.0,0.0,874.6805004388586,298
0.0,0.05,11,False,False,True,0,212,0.0,0.0,598.2566045652417,211
0.0,0.05,15,False,False,True,0,220,0.0,0.0,606.5668674059508,219
0.0,0.05,12,False,True,False,1,291,0.0,0.0,869.7243676970412,290
0.0,0.05,20,False,True,False,3,299,0.0,0.0,869.9448240604701,298
0.0,0.05,13,False,True,False,24,299,0.0,0.0,871.1851915413529,298
0.0,0.05,14,False,True,False,17,299,0.0,0.0,873.8454922771758,298
0.0,0.05,18,False,True,False,13,299,0.0,0.0,870.0105715494248,298
0.0,0.05,17,False,True,False,8,299,0.0,0.0,872.0000426494797,298
0.0,0.05,16,False,True,False,9,299,0.0,0.0,870.8301159403554,298
0.0,0.05,19,False,True,False,25,299,0.0,0.0,871.6029901827978,298
0.0,0.05,21,False,True,False,4,298,0.0,0.0,862.3402242142773,297
0.0,0.05,23,False,False,True,0,287,0.0,0.0,850.1412891217054,286
0.0,0.05,22,False,False,True,0,282,0.0,0.0,828.7451156953271,281
0.0,0.05,26,False,True,False,4,299,0.0,0.0,871.3480382282999,298
0.0,0.05,24,False,False,True,0,240,0.0,0.0,694.9002826126354,239
0.0,0.05,25,False,False,True,0,197,0.0,0.0,574.0016495835112,196
0.0,0.05,27,False,True,False,8,299,0.0,0.0,873.3821101385561,298
0.0,0.05,36,False,True,False,11,299,0.0,0.0,871.3647846858051,298
0.0,0.05,28,False,True,False,23,299,0.0,0.0,871.8192614279171,298
0.0,0.05,31,False,True,False,7,299,0.0,0.0,869.7221881484428,298
0.0,0.05,29,False,True,False,3,293,0.0,0.0,867.9053105251963,292
0.0,0.05,30,False,True,False,5,300,0.0,0.0,876.9665776458788,299
0.0,0.05,32,False,False,True,0,270,0.0,0.0,799.1874551386994,269
0.0,0.05,35,False,False,True,0,277,0.0,0.0,848.7676189636608,276
0.0,0.05,34,False,True,False,1,288,0.0,0.0,868.2682519855125,287
0.0,0.05,33,False,True,False,13,299,0.0,0.0,872.1546289317172,298
0.0,0.05,40,False,False,True,0,240,0.0,0.0,665.8301178951752,239
0.0,0.05,37,False,True,False,9,299,0.0,0.0,869.9475443781221,298
0.0,0.05,39,False,True,False,3,299,0.0,0.0,871.3472036660595,298
0.0,0.05,38,False,True,False,1,289,0.0,0.0,869.6448611841457,288
0.0,0.05,44,False,True,False,5,300,0.0,0.0,874.2716112337614,299
0.0,0.05,42,False,False,True,0,280,0.0,0.0,810.8014702166114,279
0.0,0.05,41,False,True,False,26,299,0.0,0.0,871.4331428067237,298
0.0,0.05,43,False,False,True,0,293,0.0,0.0,854.429895227774,292
0.0,0.05,48,False,True,False,17,299,0.0,0.0,873.5226155175,298
0.0,0.05,45,False,True,False,1,284,0.0,0.0,869.8589567383385,283
0.0,0.05,47,False,True,False,15,299,0.0,0.0,872.1786631864751,298
0.0,0.05,46,False,True,False,2,299,0.0,0.0,868.2631692305199,298
0.0,0.05,49,False,True,False,4,300,0.0,0.0,880.7584041359468,299
0.0,0.055,0,False,True,False,42,299,0.0,0.0,875.4038016585172,298
0.0,0.055,3,False,True,False,19,300,0.0,0.0,876.5782443831026,299
0.0,0.055,2,False,True,False,9,299,0.0,0.0,871.6135510783774,298
0.0,0.055,1,False,True,False,61,299,0.0,0.0,872.5442978606909,298
0.0,0.055,10,False,True,False,41,299,0.0,0.0,870.4430365479867,298
0.0,0.055,4,False,True,False,75,299,0.0,0.0,874.9240504538642,298
0.0,0.055,5,False,True,False,14,299,0.0,0.0,869.3529562001871,298
0.0,0.055,6,False,True,False,24,299,0.0,0.0,869.1141298375204,298
