dependency_rate,capture_strength,rotation_interval,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.05,1.0,,False,2,True,False,False,407,4,1.0,1.0,166,163,0.9819277108433735,1109.5612488086097,13.864273515131961
0.05,0.5,,False,1,True,False,False,451,105,1.0,1.0,288,184,0.6388888888888888,3.7776139614686963e+20,7.555235523363378e+18
0.05,0.5,,False,7,True,False,False,526,93,1.0,1.0,282,190,0.6737588652482269,2.848641339210286e+18,5.6972884090830456e+16
0.05,1.0,,False,3,True,False,False,442,4,1.0,1.0,195,192,0.9846153846153847,1129.0144552105837,14.107438959555632
0.05,1.0,,False,4,True,False,False,473,4,1.0,1.0,253,250,0.9881422924901185,1218.7798280998447,15.229507762416517
0.05,1.0,,False,0,True,False,False,471,4,1.0,1.0,196,193,0.9846938775510204,1200.2016970891352,14.997280779324715
0.05,1.0,,False,1,True,False,False,499,4,1.0,1.0,251,248,0.9880478087649402,1353.3464630500844,16.91159315151348
0.05,0.5,,False,6,True,False,False,481,85,1.0,1.0,275,191,0.6945454545454546,1.2563349896819082e+17,2512672507300476.5
0.05,0.5,,False,8,True,False,False,470,89,1.0,1.0,263,175,0.6653992395437263,5.695993380558698e+17,1.1391998233654372e+16
0.05,0.5,,False,5,True,False,False,502,85,1.0,1.0,274,190,0.6934306569343066,1.113973455230072e+17,2227949151945400.0
0.05,0.5,,False,3,True,False,False,530,68,1.0,1.0,271,204,0.7527675276752768,113696758041017.95,2273937447573.032
0.05,0.5,,False,9,True,False,False,546,97,1.0,1.0,284,188,0.6619718309859155,2.0192551232260415e+19,4.038514304882339e+17
0.05,0.5,,False,0,True,False,False,426,75,1.0,1.0,250,176,0.704,1545349747517534.0,30907026078169.28
0.05,0.5,,False,2,True,False,False,442,87,1.0,1.0,272,186,0.6838235294117647,3.2670432026381594e+17,6534092988228186.0
0.05,0.5,,False,4,True,False,False,511,89,1.0,1.0,285,197,0.6912280701754386,6.529865699772739e+17,1.3059744537154688e+16
0.05,1.0,,False,7,True,False,False,482,4,1.0,1.0,249,246,0.9879518072289156,1254.1405673323973,15.671517649640066
0.05,1.0,,False,6,True,False,False,443,4,1.0,1.0,250,247,0.988,1148.0408119993292,14.345268761603123
0.05,1.0,,False,5,True,False,False,473,4,1.0,1.0,235,232,0.9872340425531915,1242.1924617793006,15.5221660992332
0.05,1.0,,False,8,True,False,False,467,4,1.0,1.0,226,223,0.9867256637168141,1289.2538210398861,16.110433946770122
0.15,0.5,,False,1,True,False,False,451,105,1.0,1.0,288,184,0.6388888888888888,3.7776139614686963e+20,7.555235523363378e+18
0.05,1.0,,False,9,True,False,False,406,4,1.0,1.0,205,202,0.9853658536585366,1092.6149572018855,13.652444570198963
0.15,0.5,,False,5,True,False,False,571,85,1.0,1.0,284,200,0.704225352112676,1.1075946093688432e+17,2215191445109348.8
