dependency_rate,capture_strength,rotation_interval,defense_active,defense_mode,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.01,0.3,,False,undefended,858794748,True,False,False,494,171,1.0,1.0,275,105,0.38181818181818183,7.323061534443986e+31,1.46461378170964e+30
0.01,0.3,,False,undefended,609301634,True,False,False,522,188,1.0,1.0,287,100,0.34843205574912894,9.455486215726389e+34,1.891099145017344e+33
0.01,0.3,,False,undefended,751900493,True,False,False,466,187,1.0,1.0,282,96,0.3404255319148936,7.016229841984695e+34,1.4032473805995097e+33
0.01,0.3,,False,undefended,1727663763,True,False,False,514,182,1.0,1.0,279,98,0.35125448028673834,8.377501082783649e+33,1.675501902328253e+32
0.01,0.3,,False,undefended,768020339,True,False,False,525,155,1.0,1.0,245,91,0.37142857142857144,1.9273799352058313e+29,3.8547637455517745e+27
0.01,0.3,,False,undefended,362127119,True,False,False,495,192,1.0,1.0,283,92,0.3250883392226148,3.670107709261298e+35,7.340222803541215e+33
0.01,0.3,,False,undefended,648324373,True,False,False,564,196,1.0,1.0,277,82,0.296028880866426,2.2349874229801845e+36,4.469979336577534e+34
0.01,0.3,,False,undefended,1364448421,True,False,False,422,167,1.0,1.0,265,99,0.37358490566037733,2.795044809491183e+31,5.5900952464055235e+29
0.01,0.3,,False,undefended,853809318,True,False,False,514,179,1.0,1.0,272,94,0.34558823529411764,2.6641084275181386e+33,5.32822221388532e+31
0.01,0.3,,False,undefended,1673376942,True,False,False,411,186,1.0,1.0,283,98,0.3462897526501767,3.6597956419806158e+34,7.319598669068378e+32
0.01,0.3,,False,undefended,1738575184,True,False,False,500,195,1.0,1.0,283,89,0.31448763250883394,1.7457931250019472e+36,3.4915897595164043e+34
0.01,0.3,,False,undefended,486782711,True,False,False,509,172,1.0,1.0,274,103,0.3759124087591241,1.1962868223515605e+32,2.3925760534570722e+30
0.01,0.3,,False,undefended,231335779,True,False,False,512,176,1.0,1.0,277,102,0.36823104693140796,6.396924714374465e+32,1.2793862302446187e+31
0.01,0.3,,False,undefended,2133595815,True,False,False,515,116,1.0,1.0,187,72,0.3850267379679144,2.389483923182152e+22,4.778972649900067e+20
0.01,0.3,,False,undefended,1694698352,True,False,False,508,174,1.0,1.0,276,103,0.37318840579710144,4.279638652406244e+32,8.559285915137512e+30
0.01,0.3,,False,undefended,610828011,True,False,False,462,209,1.0,1.0,282,74,0.2624113475177305,3.40850527522611e+38,6.817017410194205e+36
0.01,0.3,,False,undefended,1863131069,True,False,False,523,174,1.0,1.0,280,107,0.3821428571428571,4.6753806469150696e+32,9.350770704778319e+30
0.01,0.3,,False,undefended,982966126,True,False,False,566,170,1.0,1.0,274,105,0.38321167883211676,1.2757109406660748e+32,2.5514244468067596e+30
0.01,0.3,,False,undefended,779901947,True,False,False,479,189,1.0,1.0,283,95,0.33568904593639576,1.3957455030056038e+35,2.7914938174518893e+33
0.01,0.3,,False,undefended,1218747221,True,False,False,525,156,1.0,1.0,266,111,0.41729323308270677,4.285253936183752e+29,8.57051649360639e+27
0.01,0.3,,False,undefended,1050703743,True,False,False,484,174,1.0,1.0,265,92,0.3471698113207547,3.517149722434671e+32,7.034306518691496e+30
0.01,0.3,,False,undefended,220581260,True,False,False,502,201,1.0,1.0,276,76,0.2753623188405797,1.6668238331447612e+37,3.33365101729841e+35
0.01,0.3,,False,undefended,1666959151,True,False,False,502,182,1.0,1.0,279,98,0.35125448028673834,1.5457944502755162e+34,3.0915920122034953e+32
0.01,0.3,,False,undefended,509741898,True,False,False,490,142,1.0,1.0,217,76,0.35023041474654376,1.0427778567732021e+27,2.085557812708425e+25
0.01,0.3,,False,undefended,331087158,True,False,False,490,175,1.0,1.0,262,88,0.33587786259541985,6.133022066297776e+32,1.2266056468349252e+31
0.01,0.3,,False,undefended,881116859,True,False,False,486,188,1.0,1.0,277,90,0.3249097472924188,1.0330655587730729e+35,2.0661331961123037e+33
0.01,0.3,,False,undefended,937249223,True,False,False,509,196,1.0,1.0,284,89,0.31338028169014087,2.368512099348355e+36,4.737028965918789e+34
0.01,0.3,,False,undefended,1693158128,True,False,False,517,174,1.0,1.0,275,102,0.3709090909090909,2.9576937024344493e+32,5.91539335520792e+30
0.01,0.3,,False,undefended,1597324207,True,False,False,456,177,1.0,1.0,281,105,0.3736654804270463,1.1816185608456694e+33,2.363239497073047e+31
