lower,upper,upper_inclusive,count,mean,median,min,max,maximum_count,maximum_denominator,maximum_fraction,observed_c_avg_min,observed_c_avg_max
0.0,0.05,False,750,0.9894232125542447,0.9895137862175747,0.9791970343943966,0.9955011062821173,0,750,0.0,0.0,0.014000000000000002
0.05,0.1,False,373,0.9896169051307621,0.989964343132726,0.9791553117705062,0.9945952733596712,0,373,0.0,0.05600000000000001,0.05600000000000001
0.1,0.15,False,333,0.9894818006646543,0.9898029989572692,0.9780042164298965,0.9955885423579274,0,333,0.0,0.126,0.126
0.15,0.2,False,18,0.9852264140872801,0.98556058990281,0.978051318694629,0.9911260547465199,0,18,0.0,0.15600000000000003,0.15600000000000003
0.2,0.25,False,990,0.989456755582939,0.9897563766798319,0.9766951625862977,0.9955820762438892,0,990,0.0,0.2,0.22400000000000003
0.25,0.3,False,336,0.9893745765452935,0.9896383706875349,0.9805027004929705,0.9948608733589986,0,336,0.0,0.256,0.256
0.3,0.35,False,329,0.9894126952423978,0.9893901693563328,0.9807272654822029,0.9960416741147331,0,329,0.0,0.326,0.326
0.35,0.4,False,285,0.989215906324816,0.9895337381094168,0.9805395293506446,0.995587337893085,0,285,0.0,0.35,0.35
0.4,0.45,False,1001,0.9893457711243184,0.9896364912164514,0.979942459086288,0.9948261161723813,0,1001,0.0,0.4,0.42400000000000004
0.45,0.5,False,437,0.9896426897222089,0.9898700685266485,0.9803454780613876,0.9945563163341751,0,437,0.0,0.456,0.456
0.5,0.55,False,472,0.9894521995180204,0.9896554673920096,0.9780227551543333,0.995125293163388,0,472,0.0,0.526,0.526
0.55,0.6,False,266,0.9893412246389041,0.9896713520689362,0.9754757697154058,0.994271032971446,0,266,0.0,0.55,0.55
0.6,0.65,False,928,0.9893434948397186,0.9897824649808646,0.9738960496228043,0.9953177339548378,0,928,0.0,0.6,0.6240000000000001
0.65,0.7,False,457,0.9894381450407858,0.9896817770073659,0.9788794264384513,0.9944389531775912,0,457,0.0,0.656,0.656
0.7,0.75,False,319,0.989587012081563,0.9900358845589153,0.9809729144651669,0.9942095379815613,0,319,0.0,0.726,0.726
0.75,0.8,False,260,0.9893553292939928,0.9895732926416878,0.9797947744296154,0.9945654839825858,0,260,0.0,0.75,0.75
0.8,0.85,False,1019,0.9894436232573414,0.9898607122861222,0.9785322327124474,0.995903611192481,0,1019,0.0,0.8,0.8240000000000001
0.85,0.9,False,348,0.9893294297531096,0.989694026390664,0.978401702753674,0.9952475871717342,0,348,0.0,0.8560000000000001,0.8560000000000001
0.9,0.95,False,275,0.9894174999854787,0.9897974206326711,0.9767754708974024,0.9951305861494467,0,275,0.0,0.926,0.926
0.95,1.0,True,2804,0.9987585251665322,1.0,0.9812378025035908,1.0,2479,2804,0.8840941512125535,0.95,1.0
