arm,defense_arm,seed,steps_completed,last_completed_step,end_reason,final_population,g_steps,population_step_149,population_step_160,shock_loss,resilience_stock_step_49,depletion_step,no_alarm_before_150,VETO_entry_step,CONSENSUS_entry_step,held_action_attack_modified,audit_file,recorded_steps_equal_completed,elapsed_seconds,entropy_first_alarm_step,g_first_alarm_step,A_first_alarm_step,entropy_alarm_minus_depletion,g_alarm_minus_depletion,A_alarm_minus_depletion,imposed_resilience_audit
A1-high,GRADED,1835087800,300,299,step_limit,237,19,283,177,106,0.3831435949920704,150,True,153,157,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087800_audit_attempt1.json,True,679.3190590000013,157,153,153,7,3,3,defense_heldout_run_a5_run_A1_high_GRADED_1835087800_audit_attempt1.json
A1-high,GRADED,1835087801,300,299,step_limit,295,24,342,225,117,0.40522558678434967,150,True,151,158,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087801_audit_attempt1.json,True,682.0830272999883,null,151,null,null,1,null,defense_heldout_run_a5_run_A1_high_GRADED_1835087801_audit_attempt1.json
A1-high,GRADED,1835087802,300,299,step_limit,244,22,307,195,112,0.46245609521945497,150,True,154,160,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087802_audit_attempt1.json,True,683.0578506000165,160,154,null,10,4,null,defense_heldout_run_a5_run_A1_high_GRADED_1835087802_audit_attempt1.json
A1-high,GRADED,1835087803,300,299,step_limit,251,14,378,249,129,0.39091012510571455,150,True,155,null,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087803_audit_attempt1.json,True,688.098480900022,null,155,null,null,5,null,defense_heldout_run_a5_run_A1_high_GRADED_1835087803_audit_attempt1.json
A1-high,GRADED,1835087804,300,299,step_limit,295,23,328,197,131,0.4187432641564,150,True,152,155,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087804_audit_attempt1.json,True,682.6001991999801,157,152,152,7,2,2,defense_heldout_run_a5_run_A1_high_GRADED_1835087804_audit_attempt1.json
A1-high,GRADED,1835087805,300,299,step_limit,251,22,280,173,107,0.3769799683113308,150,True,153,154,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087805_audit_attempt1.json,True,676.9696131999954,157,153,154,7,3,4,defense_heldout_run_a5_run_A1_high_GRADED_1835087805_audit_attempt1.json
A1-high,GRADED,1835087806,300,299,step_limit,312,23,357,221,136,0.4234262365845461,150,True,152,154,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087806_audit_attempt1.json,True,715.9038179999916,159,152,154,9,2,4,defense_heldout_run_a5_run_A1_high_GRADED_1835087806_audit_attempt1.json
A1-high,GRADED,1835087807,300,299,step_limit,272,23,324,192,132,0.47164174327803493,150,True,153,154,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087807_audit_attempt1.json,True,716.167523799988,157,153,154,7,3,4,defense_heldout_run_a5_run_A1_high_GRADED_1835087807_audit_attempt1.json
A1-high,GRADED,1835087808,300,299,step_limit,301,23,338,195,143,0.437366858499616,150,True,154,156,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087808_audit_attempt1.json,True,677.7147567000065,158,154,156,8,4,6,defense_heldout_run_a5_run_A1_high_GRADED_1835087808_audit_attempt1.json
A1-high,GRADED,1835087809,300,299,step_limit,239,18,302,193,109,0.3742058996491991,150,True,152,155,True,defense_heldout_run_a5_run_A1_high_GRADED_1835087809_audit_attempt1.json,True,678.6946793000097,162,155,152,12,5,2,defense_heldout_run_a5_run_A1_high_GRADED_1835087809_audit_attempt1.json
