arm,defense_arm,seed,steps_completed,last_completed_step,end_reason,final_population,g_steps,VETO_steps,CONSENSUS_steps,non_NORMAL_steps,state_after_last_completed_step,state_in_force_at_last_step,maximum_live_points,suspensions,permanence_reached,permanence_step,H_first_NORMAL_step_at_or_after_shock,H_steps_from_shock_to_NORMAL,H_never_returned_to_NORMAL,normal_at_shock_completion,audit_file,audit_sha256_lf,recorded_steps_equal_completed,binding_restored_by_identity,attack_binding_restored_by_identity,elapsed_seconds,NORMAL_to_VETO,NORMAL_to_CONSENSUS,VETO_to_NORMAL,VETO_to_CONSENSUS,CONSENSUS_to_NORMAL,CONSENSUS_to_VETO
A3,LATCHED,1835088200,300,299,step_limit,231,20,1,145,146,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,True,defense_points_run_a2_run_A3_LATCHED_1835088200_audit_attempt1.json,1356febcc71283c397a89513b7bf509fa87647651a05a2fea0aeb69830b073e4,True,True,True,738.6613335000002,1,0,0,1,0,0
A3,LATCHED,1835088201,300,299,step_limit,297,24,94,149,243,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088201_audit_attempt1.json,c4226c58d3f258e5b517c3045d92940a682dccb293842e1267a8733ede67db3f,True,True,True,734.5617138000089,1,0,0,1,0,0
A3,LATCHED,1835088202,300,299,step_limit,242,26,42,148,190,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088202_audit_attempt1.json,c3678ae9f369621056125e4fe32ec3e3ae146cc876ddf73369470e15449a6d23,True,True,True,741.2937284999934,1,0,0,1,0,0
A3,LATCHED,1835088203,300,299,step_limit,240,19,8,161,169,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088203_audit_attempt1.json,13335c67c6f23352bda639ec424afb395fffb5f8581706b6309cc0dc56622939,True,True,True,729.2068934999988,1,0,0,1,0,0
A3,LATCHED,1835088204,300,299,step_limit,196,22,9,243,252,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088204_audit_attempt1.json,fd38f985e071beefc957d66141f9279b03f7c663f0782611ad198f6bd4e06a96,True,True,True,740.1435302000027,1,0,0,1,0,0
A3,LATCHED,1835088205,300,299,step_limit,268,24,84,148,232,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088205_audit_attempt1.json,c33e0a4b037097852eecd9bbf9af5b29f0ea895ed457a160da461c0b25697e65,True,True,True,734.1417231000087,1,0,0,1,0,0
A3,LATCHED,1835088206,300,299,step_limit,233,26,2,146,148,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,True,defense_points_run_a2_run_A3_LATCHED_1835088206_audit_attempt1.json,96e2566f9906908bc5d243c8c57bcc352cb882e0bb806522c2dc904d1d8577c3,True,True,True,743.6384096999827,1,0,0,1,0,0
A3,LATCHED,1835088207,300,299,step_limit,236,46,22,205,227,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088207_audit_attempt1.json,d1d61c2d6fd26616fe6a70a0d5b41285193cf59d53b3a360248d485186949413,True,True,True,744.6336323000141,1,0,0,1,0,0
A3,LATCHED,1835088208,300,299,step_limit,310,22,12,181,193,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088208_audit_attempt1.json,d44a5362eb7934e33aa8433c88cd04712e72f7a563d6deabbb2e14b0cdbd573f,True,True,True,735.5090085999982,1,0,0,1,0,0
A3,LATCHED,1835088209,300,299,step_limit,205,24,54,148,202,CONSENSUS,CONSENSUS,0,1,False,null,null,null,null,False,defense_points_run_a2_run_A3_LATCHED_1835088209_audit_attempt1.json,b0480281c5d123c8b8065daac4e07624fcb8c24899184f727152b1e4d649c0e8,True,True,True,729.7011806000082,1,0,0,1,0,0
