arm,defense_arm,seed,steps_completed,last_completed_step,end_reason,final_population,g_steps,VETO_steps,CONSENSUS_steps,non_NORMAL_steps,state_after_last_completed_step,state_in_force_at_last_step,H_first_NORMAL_step_at_or_after_shock,H_steps_from_shock_to_NORMAL,H_never_returned_to_NORMAL,normal_at_shock_completion,audit_file,audit_sha256_lf,recorded_steps_equal_completed,binding_restored_by_identity,attack_binding_restored_by_identity,elapsed_seconds,NORMAL_to_VETO,VETO_to_CONSENSUS,CONSENSUS_to_VETO,VETO_to_NORMAL,re_escalations_after_recovery
A3,LATCHED,1835088000,300,299,step_limit,238,31,10,218,228,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088000_audit_attempt1.json,aad1ee22c1d813feb6415023d5da5e2e1164389cdf9905cdc81285fe5c64b675,True,True,True,702.8662777999998,1,1,0,0,0
A3,LATCHED,1835088001,300,299,step_limit,301,19,6,188,194,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088001_audit_attempt1.json,e81ae4cbb79831e604604609db00be8e0515fca7e47e44eb27cf9716c944e24d,True,True,True,714.8994205000054,1,1,0,0,0
A3,LATCHED,1835088002,300,299,step_limit,334,21,19,193,212,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088002_audit_attempt1.json,d17a753acf85e13a5252c327443bbc5b3630b505e365a514833f24676991d54f,True,True,True,713.3352059000172,1,1,0,0,0
A3,LATCHED,1835088003,300,299,step_limit,306,21,9,186,195,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088003_audit_attempt1.json,f6a2c89f5053c35c5b47209da0851775b06aa6aad02e585b72556bbf9b840e9a,True,True,True,710.515014900011,1,1,0,0,0
A3,LATCHED,1835088004,300,299,step_limit,273,45,19,149,168,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088004_audit_attempt1.json,433cdb2702a35a75e1cc1fb4ae237b412aa596b8fe655c0c8ed1e9bdf93b1f3e,True,True,True,710.7720230999985,1,1,0,0,0
A3,LATCHED,1835088005,300,299,step_limit,222,20,9,172,181,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088005_audit_attempt1.json,37ea504e4815fae5b5cfde3c93e597c09c42f7ac1d65462c8c19f47dc9abf646,True,True,True,705.3521194999921,1,1,0,0,0
A3,LATCHED,1835088006,300,299,step_limit,318,31,4,187,191,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088006_audit_attempt1.json,543fc9a20f3a23ed2dacb335a375245c883d3bf105fd0111770c107fccacef27,True,True,True,714.7479418999865,1,1,0,0,0
A3,LATCHED,1835088007,300,299,step_limit,220,34,13,165,178,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088007_audit_attempt1.json,c2114d7e9ea4623e41197a45100654ba2be7fe45f076fd091e690a988383d058,True,True,True,709.3421899999958,1,1,0,0,0
A3,LATCHED,1835088008,300,299,step_limit,195,26,1,147,148,CONSENSUS,CONSENSUS,null,null,null,True,defense_recovery_run_a3_run_A3_LATCHED_1835088008_audit_attempt1.json,dc53c31de8b6afe6db6736884b66d513548969de855cb00473b9ee246e56d8ea,True,True,True,712.385993200005,1,1,0,0,0
A3,LATCHED,1835088009,300,299,step_limit,290,20,15,187,202,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088009_audit_attempt1.json,474f835125f6e0ffba50147b63a4535aca6c6f4504ed97e9ede0523b25a68ff7,True,True,True,720.3426010000112,1,1,0,0,0
A3,LATCHED,1835088010,300,299,step_limit,170,23,1,146,147,CONSENSUS,CONSENSUS,null,null,null,True,defense_recovery_run_a3_run_A3_LATCHED_1835088010_audit_attempt1.json,808b12d8c216c7c7a8181f601c090b7fec6e6d25560a3984fec821261c0d0624,True,True,True,704.2613728999859,1,1,0,0,0
A3,LATCHED,1835088011,300,299,step_limit,220,23,9,148,157,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088011_audit_attempt1.json,c8e2b2bba37d605a2b8fad067f9df2c6d92f1207de1bffbabd4c9e03003d601f,True,True,True,707.7583073000133,1,1,0,0,0
A3,LATCHED,1835088012,300,299,step_limit,245,46,17,155,172,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088012_audit_attempt1.json,0aa0b5cad4885d9368f88dae94b8eca7a7b3c2eb8ccc3ee992330d752dd0b048,True,True,True,712.6267211000086,1,1,0,0,0
A3,LATCHED,1835088013,300,299,step_limit,176,26,86,148,234,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088013_audit_attempt1.json,40d1472df81fe412ff10ead7ffd72e1d6fa61f6b60e2c7619fff5b921d1197bd,True,True,True,705.7879209000093,1,1,0,0,0
A3,LATCHED,1835088014,300,299,step_limit,230,27,89,149,238,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088014_audit_attempt1.json,30070e750f92787dc09a0d6b393dcae6442d37e4ad01251800ccbd06f765994a,True,True,True,703.7200960000046,1,1,0,0,0
A3,LATCHED,1835088015,300,299,step_limit,247,25,1,146,147,CONSENSUS,CONSENSUS,null,null,null,True,defense_recovery_run_a3_run_A3_LATCHED_1835088015_audit_attempt1.json,e08058e8b3987c0295bb3af855a31af3dba43ac7c74940a35ebd10d58b63ce20,True,True,True,707.098948800005,1,1,0,0,0
A3,LATCHED,1835088016,300,299,step_limit,276,23,1,146,147,CONSENSUS,CONSENSUS,null,null,null,True,defense_recovery_run_a3_run_A3_LATCHED_1835088016_audit_attempt1.json,2e782c14fc887fa17e986b210a8818f28260a88e535cdbdfdc27e14b6115de0e,True,True,True,714.4555411000038,1,1,0,0,0
A3,LATCHED,1835088017,300,299,step_limit,223,50,50,182,232,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088017_audit_attempt1.json,d6cf83dc113eac25c48f06ae058da357d5dc5367f4d4c3d9b9909f0afeb16d73,True,True,True,711.5132167999982,1,1,0,0,0
A3,LATCHED,1835088018,300,299,step_limit,215,25,3,144,147,CONSENSUS,CONSENSUS,null,null,null,True,defense_recovery_run_a3_run_A3_LATCHED_1835088018_audit_attempt1.json,485812eacea49865a146d23332ca05856cb13f30ee11826b6cd51c8b50d81e4b,True,True,True,711.0267160999938,1,1,0,0,0
A3,LATCHED,1835088019,300,299,step_limit,306,19,8,192,200,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_a3_run_A3_LATCHED_1835088019_audit_attempt1.json,a555d341bf370b48b0e6cb41e7ece64061318a188f8c3137172a247ba08582d6,True,True,True,725.3086757000128,1,1,0,0,0
A3,OFF,1835088000,300,299,step_limit,286,33,0,0,0,NORMAL,NORMAL,null,null,null,True,defense_recovery_run_a3_run_A3_OFF_1835088000_audit_attempt1.json,7420b7d5db050d080b2ee6e5d28800de4cc3b3ce69ae0455ceabb753627d5508,True,True,True,709.9557639999839,0,0,0,0,0
A3,OFF,1835088001,300,299,step_limit,227,26,0,0,0,NORMAL,NORMAL,null,null,null,True,defense_recovery_run_a3_run_A3_OFF_1835088001_audit_attempt1.json,2069d3e872d864a13483773f6d69f2d5071ad3a236abe071660d8f5e804b8c30,True,True,True,709.1253196999896,0,0,0,0,0
A3,OFF,1835088002,300,299,step_limit,216,25,0,0,0,NORMAL,NORMAL,null,null,null,True,defense_recovery_run_a3_run_A3_OFF_1835088002_audit_attempt1.json,36799d3c60482f6f642f6bc54539138dc82db655e2fc7ac20d83d9bec8edb50f,True,True,True,708.3167418999947,0,0,0,0,0
A3,OFF,1835088003,300,299,step_limit,168,25,0,0,0,NORMAL,NORMAL,null,null,null,True,defense_recovery_run_a3_run_A3_OFF_1835088003_audit_attempt1.json,c02299ab30513401e699019a6415c666912bed82e30637acb29fdb488bb0594e,True,True,True,707.7302743000037,0,0,0,0,0
