arm,defense_arm,seed,steps_completed,last_completed_step,end_reason,final_population,g_steps,VETO_steps,CONSENSUS_steps,non_NORMAL_steps,state_after_last_completed_step,state_in_force_at_last_step,H_first_NORMAL_step_at_or_after_shock,H_steps_from_shock_to_NORMAL,H_never_returned_to_NORMAL,normal_at_shock_completion,audit_file,audit_sha256_lf,recorded_steps_equal_completed,binding_restored_by_identity,attack_binding_restored_by_identity,elapsed_seconds,NORMAL_to_VETO,VETO_to_CONSENSUS,CONSENSUS_to_VETO,VETO_to_NORMAL,re_escalations_after_recovery
A3,LATCHED,1835088100,300,299,step_limit,234,20,131,148,279,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088100_audit_attempt1.json,469d164d2c72babae69ab6eabddac88e8c949deae20710e0a0b92f86146e841a,True,True,True,645.6479071999784,1,1,0,0,0
A3,LATCHED,1835088101,300,299,step_limit,229,26,66,149,215,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088101_audit_attempt1.json,20031aef74813c519b62159f4449c5f4f075a514ba179e4ab4a3bd2ed718646a,True,True,True,651.625182400021,1,1,0,0,0
A3,LATCHED,1835088102,300,299,step_limit,151,19,6,206,212,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088102_audit_attempt1.json,f03fa4a78439bc923dac07368c46711bd119b1ca627184cf5b5f8b3248349324,True,True,True,662.576003299997,1,1,0,0,0
A3,LATCHED,1835088103,300,299,step_limit,244,27,6,152,158,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088103_audit_attempt1.json,7dae5478e9719d2a0a8ffa089af11cda08bb2ff50841223c85900f0a30f1963d,True,True,True,646.9582678999868,1,1,0,0,0
A3,LATCHED,1835088104,300,299,step_limit,229,21,2,144,146,CONSENSUS,CONSENSUS,null,null,null,True,defense_recovery_run_conf_run_A3_LATCHED_1835088104_audit_attempt1.json,308600e9d74f6056fdbefb02965effe511fa1bb8007413ec033cb507adfb1464,True,True,True,647.2108107999957,1,1,0,0,0
A3,LATCHED,1835088105,300,299,step_limit,246,32,7,169,176,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088105_audit_attempt1.json,24b229dd92d59cc1f8460d53e5c4f0fda0bc4fb5608ee8847dba11be31ee3cee,True,True,True,657.0078644999885,1,1,0,0,0
A3,LATCHED,1835088106,300,299,step_limit,252,24,5,174,179,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088106_audit_attempt1.json,a1f119a127b6e61c0dadbe10330ca76b26c68bdcb1049dce2b1123be424bfabd,True,True,True,646.3543582000129,1,1,0,0,0
A3,LATCHED,1835088107,300,299,step_limit,259,18,37,191,228,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088107_audit_attempt1.json,4edc24ec8fcae63d75a5be1a03e453c4dde60524dc08a0ebc709e46ec29229a8,True,True,True,644.4636324000021,1,1,0,0,0
A3,LATCHED,1835088108,300,299,step_limit,284,19,3,220,223,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088108_audit_attempt1.json,5c6756d5b05a8e6cc38ad06fb4f14175d509da4248f9c1f221ed25aa117aa357,True,True,True,644.936145899992,1,1,0,0,0
A3,LATCHED,1835088109,300,299,step_limit,272,26,42,148,190,CONSENSUS,CONSENSUS,null,null,null,False,defense_recovery_run_conf_run_A3_LATCHED_1835088109_audit_attempt1.json,add22d6bb4153bf8ab5668a8bfcf798b7d15615cb0b745a3e35ea2814393b484,True,True,True,648.9269715000119,1,1,0,0,0
