job,vector,own_defense,defense_arm,seed,onset,steps_completed,end_reason,steps_at_or_after_onset_above_g_star,final_population,ratified_yields,yield_condition_blocked_count,action_modified,veto_entry_step,consensus_entry_step,veto_held_action_attack_modified,recorded_steps,heartbeat_count,raw_log,raw_row,audit_file
sybil_capture_own0_OFF_1835087700,sybil_capture,False,OFF,1835087700,50,112,extinction,61,0,0,0,1,null,null,0,112,112,defense_xv_run_a2_sybil_capture_own0_OFF_1835087700_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087700_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087700_audit_attempt1.json
sybil_capture_own0_OFF_1835087701,sybil_capture,False,OFF,1835087701,50,109,extinction,59,0,0,0,1,null,null,0,109,109,defense_xv_run_a2_sybil_capture_own0_OFF_1835087701_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087701_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087701_audit_attempt1.json
sybil_capture_own0_OFF_1835087702,sybil_capture,False,OFF,1835087702,50,95,extinction,45,0,0,0,1,null,null,0,95,95,defense_xv_run_a2_sybil_capture_own0_OFF_1835087702_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087702_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087702_audit_attempt1.json
sybil_capture_own0_OFF_1835087703,sybil_capture,False,OFF,1835087703,50,112,extinction,62,0,0,0,1,null,null,0,112,112,defense_xv_run_a2_sybil_capture_own0_OFF_1835087703_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087703_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087703_audit_attempt1.json
sybil_capture_own0_OFF_1835087704,sybil_capture,False,OFF,1835087704,50,105,extinction,55,0,0,0,1,null,null,0,105,105,defense_xv_run_a2_sybil_capture_own0_OFF_1835087704_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087704_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087704_audit_attempt1.json
sybil_capture_own0_OFF_1835087705,sybil_capture,False,OFF,1835087705,50,109,extinction,59,0,0,0,1,null,null,0,109,109,defense_xv_run_a2_sybil_capture_own0_OFF_1835087705_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087705_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087705_audit_attempt1.json
sybil_capture_own0_OFF_1835087706,sybil_capture,False,OFF,1835087706,50,102,extinction,52,0,0,0,1,null,null,0,102,102,defense_xv_run_a2_sybil_capture_own0_OFF_1835087706_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087706_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087706_audit_attempt1.json
sybil_capture_own0_OFF_1835087707,sybil_capture,False,OFF,1835087707,50,98,extinction,48,0,0,0,1,null,null,0,98,98,defense_xv_run_a2_sybil_capture_own0_OFF_1835087707_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087707_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087707_audit_attempt1.json
sybil_capture_own0_OFF_1835087708,sybil_capture,False,OFF,1835087708,50,111,extinction,60,0,0,0,1,null,null,0,111,111,defense_xv_run_a2_sybil_capture_own0_OFF_1835087708_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087708_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087708_audit_attempt1.json
sybil_capture_own0_OFF_1835087709,sybil_capture,False,OFF,1835087709,50,107,extinction,56,0,0,0,1,null,null,0,107,107,defense_xv_run_a2_sybil_capture_own0_OFF_1835087709_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087709_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087709_audit_attempt1.json
sybil_capture_own0_OFF_1835087710,sybil_capture,False,OFF,1835087710,50,106,extinction,56,0,0,0,1,null,null,0,106,106,defense_xv_run_a2_sybil_capture_own0_OFF_1835087710_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087710_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087710_audit_attempt1.json
sybil_capture_own0_OFF_1835087711,sybil_capture,False,OFF,1835087711,50,105,extinction,54,0,0,0,1,null,null,0,105,105,defense_xv_run_a2_sybil_capture_own0_OFF_1835087711_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087711_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087711_audit_attempt1.json
sybil_capture_own0_OFF_1835087712,sybil_capture,False,OFF,1835087712,50,103,extinction,53,0,0,0,1,null,null,0,103,103,defense_xv_run_a2_sybil_capture_own0_OFF_1835087712_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087712_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087712_audit_attempt1.json
sybil_capture_own0_OFF_1835087713,sybil_capture,False,OFF,1835087713,50,104,extinction,53,0,0,0,1,null,null,0,104,104,defense_xv_run_a2_sybil_capture_own0_OFF_1835087713_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087713_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087713_audit_attempt1.json
sybil_capture_own0_OFF_1835087714,sybil_capture,False,OFF,1835087714,50,106,extinction,56,0,0,0,1,null,null,0,106,106,defense_xv_run_a2_sybil_capture_own0_OFF_1835087714_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087714_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087714_audit_attempt1.json
sybil_capture_own0_OFF_1835087715,sybil_capture,False,OFF,1835087715,50,107,extinction,56,0,0,0,1,null,null,0,107,107,defense_xv_run_a2_sybil_capture_own0_OFF_1835087715_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087715_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087715_audit_attempt1.json
sybil_capture_own0_OFF_1835087716,sybil_capture,False,OFF,1835087716,50,103,extinction,53,0,0,0,1,null,null,0,103,103,defense_xv_run_a2_sybil_capture_own0_OFF_1835087716_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087716_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087716_audit_attempt1.json
sybil_capture_own0_OFF_1835087717,sybil_capture,False,OFF,1835087717,50,108,extinction,58,0,0,0,1,null,null,0,108,108,defense_xv_run_a2_sybil_capture_own0_OFF_1835087717_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087717_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087717_audit_attempt1.json
sybil_capture_own0_OFF_1835087718,sybil_capture,False,OFF,1835087718,50,105,extinction,55,0,0,0,1,null,null,0,105,105,defense_xv_run_a2_sybil_capture_own0_OFF_1835087718_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087718_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087718_audit_attempt1.json
sybil_capture_own0_OFF_1835087719,sybil_capture,False,OFF,1835087719,50,107,extinction,57,0,0,0,1,null,null,0,107,107,defense_xv_run_a2_sybil_capture_own0_OFF_1835087719_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_OFF_1835087719_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_OFF_1835087719_audit_attempt1.json
sybil_capture_own0_GRADED_1835087700,sybil_capture,False,GRADED,1835087700,50,300,step_limit,11,355,0,0,1,50,59,0,300,300,defense_xv_run_a2_sybil_capture_own0_GRADED_1835087700_steps_attempt1.csv,defense_xv_run_a2_sybil_capture_own0_GRADED_1835087700_row_attempt1.json,defense_xv_run_a2_sybil_capture_own0_GRADED_1835087700_audit_attempt1.json
