arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
H,1835086314,0,200,0.987998978305572,0.9880019156723046,0.10129932828172682,0.987998978305572,0.10122283370600113,0.0,0.6681224218479229,0.5083233875017626,0.55,1.383315857528078,205,0.10404234377203285,0.2987821781626233,5.014527735477804e-06,0.2050243701886842,0.3699685226845711,0.022177570664352973,0.0,0.0,False,False,0.0,2
H,1835086314,1,205,0.9840447890272459,0.9872067293334459,0.04572023175339332,0.9840447890272459,0.12071050774831998,0.35,0.6861661134272878,0.5089761152171074,0.5950000000000001,1.2466690290329252,203,0.013361213630411104,0.2977709214511304,0.00179474102867981,0.38350799499595234,0.3035272126896532,3.791620417318595e-05,1.0,0.0,False,False,0.0,0
H,1835086314,2,203,0.9889907993862563,0.9890772218926693,0.0743891259043315,0.9889907993862563,0.13880075226975,0.21400000000000002,0.7026247611610015,0.5293553637909849,0.627061647684005,1.2014719278212271,200,0.26035067918416094,0.21376711576738577,0.04194192045797106,0.17417303649427487,0.25780823842002426,0.05195900967618308,0.2,0.2,False,False,0.0,0
H,1835086314,3,200,0.9871589337150933,0.987159382580357,0.11624590453963972,0.9871589337150933,0.15983529555036577,0.014000000000000002,0.7195383626925408,0.546155336391167,0.6265303262908835,1.2114908282156156,205,0.22834675987164113,0.22018907259775905,0.02991770025210349,0.3312103447338399,0.11087421687639508,0.07946190566826128,0.2,0.0,False,False,0.0,0
H,1835086314,4,205,0.983141592651978,0.9831808047852874,0.08063207369218062,0.983141592651978,0.1776316289756573,0.21400000000000002,0.7333023788874701,0.5528181475239052,0.6550213811641947,1.150916247364851,205,0.11213222440370693,0.17687165276275366,0.046333790591185246,0.21097159996869155,0.25572043751199786,0.19797029476166472,0.2,0.2,False,False,0.0,0
H,1835086314,5,205,0.9850545312243264,0.9851283405691932,0.07561308536660169,0.9850545312243264,0.19956736777416878,0.256,0.7409086369047907,0.5585651474545783,0.6895192430477752,1.0933590028451101,210,0.10484884133585469,0.3134708556256243,0.01553247997836396,0.1759913852451424,0.33493897095371494,0.05521746686129969,0.4,0.2,False,False,0.0,0
H,1835086314,6,210,0.9892398184044143,0.9892399418775233,0.12653672747291378,0.9892398184044143,0.225183196207941,0.014000000000000002,0.751424828704378,0.5683786573454653,0.7148111762048661,1.0581832593176304,214,0.15927209079519983,0.21929134219378296,0.11402540181452793,0.21951278351610531,0.27121928730934186,0.016679094371042227,0.2,0.0,False,False,0.0,0
H,1835086314,7,214,0.9318411553373016,0.9850470644238736,0.02323163767488323,0.9318411553373016,0.22869996857397418,0.6,0.7662854031695423,0.5682877420160023,0.7346539543239865,1.0094734822697724,211,0.041600219222627646,0.25775770384770613,0.016796993216311625,0.32502830135401994,0.2566194786980347,0.10219730366129987,0.0,0.6,False,False,0.0,0
H,1835086314,8,211,0.9870890636868223,0.9871238529178501,0.08161658227101015,0.9870890636868223,0.2791405834969823,0.256,0.7748192500182424,0.5757745404771498,0.7611885588915879,0.9762472047829511,224,0.13626481952434533,0.3084639132671092,0.025068290415950153,0.22315639350331873,0.30293504204891974,0.004111541240356797,0.4,0.2,False,False,0.0,0
H,1835086314,9,224,0.9785229875020474,0.9827721602545657,0.04333188597227894,0.9785229875020474,0.2990570334272811,0.456,0.7818557611312774,0.5845749909393074,0.7796695968224994,0.958965518896665,223,0.15736471857518827,0.15919279598402114,0.09627438507924997,0.28006097601419877,0.2729994691003515,0.03410765524699035,0.4,0.4,False,False,0.0,0
