seed,record_type,step,channel,statistic_before_reset,statistic_after_reset,operational_channel
1835086302,alarm,280,g,4.553524394730783,0.0,True
1835086307,alarm,135,L,15.202083799337226,0.0,False
1835086307,alarm,172,entropy,0.1783668719813427,0.0,True
1835086342,alarm,100,entropy,0.18256091735101632,0.0,True
1835086342,alarm,251,g,4.555263677657748,0.0,True
1835086366,alarm,292,L,15.071371398848637,0.0,False
1835086390,alarm,238,g,4.518491956457199,0.0,True
1835086406,alarm,144,L,15.087006355333033,0.0,False
1835086407,alarm,188,L,15.099901497745888,0.0,False
1835086408,alarm,98,L,15.13614446139962,0.0,False
1835086413,alarm,158,entropy,0.21931116124529915,0.0,True
1835086413,alarm,179,L,15.079584933942098,0.0,False
