channel,seed,post_burn_in_records,maximum_statistic
entropy,1835086300,290,0.06324809166901257
entropy,1835086301,290,0.06211185963080923
entropy,1835086302,290,0.047881925944261994
entropy,1835086303,290,0.06605016588910884
entropy,1835086304,290,0.10930517524555372
entropy,1835086305,290,0.08202065399415226
entropy,1835086306,290,0.06919480023851521
entropy,1835086307,290,0.20130647120718637
entropy,1835086308,290,0.05442734746704192
entropy,1835086309,290,0.05067430802931949
entropy,1835086310,290,0.08285199173444469
entropy,1835086311,290,0.12827279289751914
entropy,1835086312,290,0.1433997511843813
entropy,1835086313,290,0.1292473746239019
entropy,1835086314,290,0.08174980592288605
entropy,1835086315,290,0.1276749106274312
entropy,1835086316,290,0.06698969934677734
entropy,1835086317,290,0.044591571299299915
entropy,1835086318,290,0.05121944788908395
entropy,1835086319,290,0.06977520025190043
entropy,1835086320,290,0.08146642812391358
entropy,1835086321,290,0.07695537755061288
entropy,1835086322,290,0.07249917389931504
entropy,1835086323,290,0.11244809046686854
entropy,1835086324,290,0.125276425142689
entropy,1835086325,290,0.09587738700784254
entropy,1835086326,290,0.04648083229330813
entropy,1835086327,290,0.04153977969613876
entropy,1835086328,290,0.1484008394849482
entropy,1835086329,290,0.172562894307133
entropy,1835086330,290,0.06997116885726784
entropy,1835086331,290,0.16434696906954438
entropy,1835086332,290,0.07014361433977379
entropy,1835086333,290,0.06646864583264389
entropy,1835086334,290,0.07622520145105516
entropy,1835086335,290,0.11012216317606549
entropy,1835086336,290,0.07637357337969075
entropy,1835086337,290,0.05345217617582876
entropy,1835086338,290,0.04766427272876961
entropy,1835086339,290,0.08917161079349645
entropy,1835086340,290,0.08317230367790085
entropy,1835086341,290,0.11338795224041687
entropy,1835086342,290,0.19784146230896715
entropy,1835086343,290,0.07995168991749568
entropy,1835086344,290,0.07089490164679724
entropy,1835086345,290,0.16764883087607751
entropy,1835086346,290,0.06483641247740368
entropy,1835086347,290,0.04535009900681242
entropy,1835086348,290,0.0931699685639904
entropy,1835086349,290,0.06739719321690185
entropy,1835086350,290,0.06274311684825207
entropy,1835086351,290,0.09088661245870433
entropy,1835086352,290,0.10198168310670175
entropy,1835086353,290,0.13214495580133678
entropy,1835086354,290,0.0905810567792229
entropy,1835086355,290,0.14520699883981147
entropy,1835086356,290,0.05985848682724171
entropy,1835086357,290,0.06803746864688309
entropy,1835086358,290,0.08174995538792929
entropy,1835086359,290,0.13726146293468533
entropy,1835086360,290,0.05882497928719388
entropy,1835086361,290,0.04426929673028557
entropy,1835086362,290,0.07005908194114463
entropy,1835086363,290,0.05475541211252688
entropy,1835086364,290,0.038305926416940195
entropy,1835086365,290,0.17099540002408553
entropy,1835086366,290,0.07661329162278996
entropy,1835086367,290,0.04825175763389156
entropy,1835086368,290,0.07884329487829167
entropy,1835086369,290,0.08026517901565011
entropy,1835086370,290,0.07029657559759239
entropy,1835086371,290,0.14094271748282716
entropy,1835086372,290,0.059256609177333774
entropy,1835086373,290,0.06894371763747986
entropy,1835086374,290,0.09563151713071327
