channel,seed,maximum_statistic,post_burn_in_records,maximum_binary64_hex
A,1835086300,0.37207989750371867,290,0x1.7d02833d1c29fp-2
A,1835086301,0.5214326971518737,290,0x1.0af939faaa2c6p-1
A,1835086302,0.8970784583680764,290,0x1.cb4dde2146230p-1
A,1835086303,0.40025998760655174,290,0x1.99ddc112ab867p-2
A,1835086304,0.7012979536245965,290,0x1.6710867f23840p-1
A,1835086305,0.35772447280504877,290,0x1.6e4f52feb4c33p-2
A,1835086306,0.5360383141044998,290,0x1.12739d28f6aecp-1
A,1835086307,0.34830394996082686,290,0x1.64a9ca6898f4fp-2
A,1835086308,0.5144675595191706,290,0x1.07684abdf9bd2p-1
A,1835086309,0.5592098237328695,290,0x1.1e50c00111b70p-1
A,1835086310,0.5956066425503639,290,0x1.30f35a96117f6p-1
A,1835086311,0.5679259304005277,290,0x1.22c730033dc46p-1
A,1835086312,0.8379508824403197,290,0x1.ad07e5e778954p-1
A,1835086313,0.5534078743586714,290,0x1.1b5846e370516p-1
A,1835086314,0.4938902339236955,290,0x1.f9be5c8a10729p-2
A,1835086315,0.5221919562220307,290,0x1.0b5cbe7c6a700p-1
A,1835086316,0.40663101400015006,290,0x1.a063e16aae0abp-2
A,1835086317,0.37719356755798567,290,0x1.823f07d3b1451p-2
A,1835086318,0.46249329763083463,290,0x1.d997d7cfc646bp-2
A,1835086319,0.4386635279575805,290,0x1.c131030a1a68bp-2
A,1835086320,0.6042148138940302,290,0x1.355ba4e2ddff0p-1
A,1835086321,0.3905414994331912,290,0x1.8fea1c5f2f78bp-2
A,1835086322,0.4115767160870731,290,0x1.a5745ddd8e64bp-2
A,1835086323,0.6954952340094258,290,0x1.6417f389304ecp-1
A,1835086324,0.3831682907603184,290,0x1.885d44b6b819fp-2
A,1835086325,0.401861257800504,290,0x1.9b81847f215f3p-2
A,1835086326,0.4671824908928776,290,0x1.de65163e984bfp-2
A,1835086327,0.49169059651132513,290,0x1.f77dbd5f11473p-2
A,1835086328,0.3984408990783796,290,0x1.9800e41bb8cefp-2
A,1835086329,0.58394689777414,290,0x1.2afb167914c7cp-1
A,1835086330,0.37682251227830704,290,0x1.81ddc2ba870d7p-2
A,1835086331,0.43559960637943534,290,0x1.be0dd2be3359fp-2
A,1835086332,0.36799233331504405,290,0x1.78d2fb73113ffp-2
A,1835086333,0.34640037312592326,290,0x1.62b6c78797973p-2
A,1835086334,0.47034345350123913,290,0x1.e1a1b6dab3bb3p-2
A,1835086335,0.37516990509307896,290,0x1.802c8a2345d5bp-2
A,1835086336,0.6021750237022905,290,0x1.345048e289e9ep-1
A,1835086337,0.5661308478209657,290,0x1.21dbe7094bac8p-1
A,1835086338,0.3188365860444899,290,0x1.467d191751477p-2
A,1835086339,0.5688984243598985,290,0x1.2346a77ebe4eap-1
A,1835086340,0.47296552345265525,290,0x1.e45112fd756d7p-2
A,1835086341,0.29025514565864813,290,0x1.2938a51866003p-2
A,1835086342,1.01148258212943,290,0x1.02f085c2b8338p+0
A,1835086343,0.4615069060078851,290,0x1.d8954430ba617p-2
A,1835086344,0.5617968460651834,290,0x1.1fa3d611b11b0p-1
A,1835086345,0.39606330558088104,290,0x1.95919e82764fbp-2
A,1835086346,0.2753971166548325,290,0x1.1a01b3a5c7e33p-2
A,1835086347,0.40341402874520343,290,0x1.9d189130d5403p-2
A,1835086348,0.5455279548860594,290,0x1.174f70aa942acp-1
A,1835086349,0.38843600458775224,290,0x1.8dc22b012c575p-2
A,1835086350,0.3651597633050447,290,0x1.75ec70e4d7507p-2
A,1835086351,0.5706985089134031,290,0x1.2432984f516c8p-1
A,1835086352,0.4034758029520075,290,0x1.9d28c2c99ff63p-2
A,1835086353,0.4485506333911668,290,0x1.cb50db740f82bp-2
A,1835086354,0.5409041936525649,290,0x1.14f164fc0397cp-1
A,1835086355,0.32317021014685615,290,0x1.4aed21ae7d209p-2
A,1835086356,0.33874870871053514,290,0x1.5ae0f105e55abp-2
A,1835086357,0.4322144309177011,290,0x1.ba966b769a657p-2
A,1835086358,0.3927393457984331,290,0x1.922a43583a10fp-2
A,1835086359,0.39351451455090763,290,0x1.92f57809fd675p-2
A,1835086360,0.49617001337426575,290,0x1.fc13fdf2cb1d5p-2
A,1835086361,0.4078422674003814,290,0x1.a1a16741a4fdfp-2
A,1835086362,0.4900038668837003,290,0x1.f5c392dcb753bp-2
A,1835086363,0.579156817259699,290,0x1.28873e0ac58eep-1
A,1835086364,0.6103499026346857,290,0x1.387fc84ddd92ap-1
A,1835086365,0.33457048692551034,290,0x1.5699a54e351b7p-2
A,1835086366,0.47687821727173046,290,0x1.e852c36d6d6dfp-2
A,1835086367,0.34074386334235557,290,0x1.5cebf59578f1fp-2
A,1835086368,0.5364920451793749,290,0x1.12af15d938198p-1
A,1835086369,0.3380527672796691,290,0x1.5a2a812f2766bp-2
A,1835086370,0.46122001557248987,290,0x1.d84a0f4c93ebfp-2
A,1835086371,0.3011127337954483,290,0x1.3456e5803e0f1p-2
A,1835086372,0.3835359381297115,290,0x1.88bda51c6e609p-2
A,1835086373,0.4400078914502105,290,0x1.c2916dbf0ad37p-2
A,1835086374,0.32453761696411715,290,0x1.4c5396ccbb0abp-2
A,1835086375,0.2818572261226821,290,0x1.209f2e415a503p-2
A,1835086376,0.5758943153238254,290,0x1.26db9ea48949ep-1
A,1835086377,0.27837169770853504,290,0x1.1d0d7867291ebp-2
A,1835086378,0.47087589275708636,290,0x1.e22d4a3f7748fp-2
A,1835086379,0.4171239326217559,290,0x1.ab228943f517fp-2
A,1835086380,0.2698032631242268,290,0x1.14474e7de3fafp-2
A,1835086381,0.3771978184910489,290,0x1.8240251a2a98fp-2
A,1835086382,0.4167187091385411,290,0x1.aab84f2d8685fp-2
A,1835086383,0.36579335796698714,290,0x1.769288b63fb97p-2
A,1835086384,0.4259030006347317,290,0x1.b41fea8bfa4e7p-2
A,1835086385,0.6068263442308006,290,0x1.36b1f14da5224p-1
A,1835086386,0.3779818264078449,290,0x1.830daafb9dbd7p-2
A,1835086387,0.7242823881474325,290,0x1.72d5242452f1cp-1
A,1835086388,0.4381598723951187,290,0x1.c0acfb496d203p-2
A,1835086389,0.4828280788449201,290,0x1.ee6a7be0eaf2bp-2
A,1835086390,0.451023615705377,290,0x1.cdd9227cb68b7p-2
A,1835086391,0.6437468804600923,290,0x1.499930ecf4cbep-1
A,1835086392,0.7683789692238805,290,0x1.8968f7df80634p-1
A,1835086393,0.638771747624657,290,0x1.470d172b5036cp-1
A,1835086394,0.37641737736286035,290,0x1.81738e95ada55p-2
A,1835086395,0.5060101030765907,290,0x1.0313c19851b00p-1
A,1835086396,0.5165485898867863,290,0x1.08790e88b7a2cp-1
A,1835086397,0.5090434100461263,290,0x1.04a1567cc8ecap-1
A,1835086398,0.3707021477315639,290,0x1.7b99580441907p-2
A,1835086399,0.4768216877373576,290,0x1.e843f1cb6c01bp-2
A,1835086400,0.43838550283552896,290,0x1.c0e82116e05efp-2
A,1835086401,0.409854235917909,290,0x1.a3b0d42d93f49p-2
A,1835086402,0.5467991815442401,290,0x1.17f60ff46c958p-1
A,1835086403,0.49744256247637136,290,0x1.fd619545e5d6bp-2
A,1835086404,0.3195037802279181,290,0x1.472bffbc1bef3p-2
A,1835086405,0.3538693451408002,290,0x1.6a5cb9c1bf275p-2
A,1835086406,0.5571501916613895,290,0x1.1d42ca384aa64p-1
A,1835086407,0.36803551784274285,290,0x1.78de4d839aa11p-2
A,1835086408,0.4819052061500974,290,0x1.ed788ef0bf4a3p-2
A,1835086409,0.4583919743130482,290,0x1.d564b4a9b1937p-2
A,1835086410,0.5846779067340209,290,0x1.2b5ae7103b934p-1
A,1835086411,0.5040541113265018,290,0x1.021361671f930p-1
A,1835086412,0.41954690973108927,290,0x1.ad9db481bb483p-2
A,1835086413,0.5301886298563165,290,0x1.0f74e253e34aap-1
A,1835086414,0.442597917627977,290,0x1.c5386375f59ebp-2
A,1835086415,0.6864290023779631,290,0x1.5f739f487a800p-1
A,1835086416,0.38132343238664584,290,0x1.8679a65d324a3p-2
A,1835086417,0.5511272304800952,290,0x1.1a2d592db1b24p-1
A,1835086418,0.339394599620989,290,0x1.5b8a42073ea13p-2
A,1835086419,0.4831451984119333,290,0x1.eebd9d699840dp-2
transfer_share,1835086300,0.2204987847421923,290,0x1.c394ddea34244p-3
transfer_share,1835086301,0.30930774847770304,290,0x1.3cbb2ba071cbap-2
transfer_share,1835086302,0.5920776428092923,290,0x1.2f24cd011e0b5p-1
transfer_share,1835086303,0.21698815182537912,290,0x1.bc6448bdad070p-3
transfer_share,1835086304,0.29876075442136885,290,0x1.31ee56d645b34p-2
transfer_share,1835086305,0.275692524796783,290,0x1.1a4f242703f1dp-2
transfer_share,1835086306,0.33383251343776255,290,0x1.55d830be3a07ep-2
transfer_share,1835086307,0.26594108641799435,290,0x1.1052dc334fde1p-2
transfer_share,1835086308,0.2119157590834326,290,0x1.b200e3b629b17p-3
transfer_share,1835086309,0.24617396821442247,290,0x1.f82a0eb4dc22bp-3
transfer_share,1835086310,0.4192670608332847,290,0x1.ad54582a46a80p-2
transfer_share,1835086311,0.24054972549345635,290,0x1.eca555a0730a9p-3
transfer_share,1835086312,0.30725846662427275,290,0x1.3aa1f6a6480c3p-2
transfer_share,1835086313,0.3638551480435226,290,0x1.749671a5500b4p-2
transfer_share,1835086314,0.22762996099489113,290,0x1.d22fa83080a42p-3
transfer_share,1835086315,0.20245071991464478,290,0x1.9e9e7ba8ae317p-3
transfer_share,1835086316,0.41680349757302054,290,0x1.aace893bbcf7bp-2
transfer_share,1835086317,0.2336606736293479,290,0x1.de897cbccb872p-3
transfer_share,1835086318,0.26263949952462784,290,0x1.0cf15e746263ep-2
transfer_share,1835086319,0.2017692077212406,290,0x1.9d392ca4053dbp-3
transfer_share,1835086320,0.22293756150252383,290,0x1.c8937cfda06abp-3
transfer_share,1835086321,0.3828717163144668,290,0x1.880f85f0893dcp-2
transfer_share,1835086322,0.2507538018065143,290,0x1.00c59ac86d344p-2
transfer_share,1835086323,0.26208215945656027,290,0x1.0c5f43feec86fp-2
transfer_share,1835086324,0.2903846469404455,290,0x1.295a97c77a97ep-2
transfer_share,1835086325,0.31045301736240505,290,0x1.3de76552106f6p-2
transfer_share,1835086326,0.19983820609335062,290,0x1.9944c5fd4c492p-3
transfer_share,1835086327,0.24609973501018048,290,0x1.f803234b62495p-3
transfer_share,1835086328,0.21416531458997404,290,0x1.b69c4df0cfda1p-3
transfer_share,1835086329,0.2529887928202756,290,0x1.030f7e7daba03p-2
transfer_share,1835086330,0.26394638225175504,290,0x1.0e47f5deacdaap-2
transfer_share,1835086331,0.2635774142725796,290,0x1.0de73cd90f551p-2
transfer_share,1835086332,0.17876790729795633,290,0x1.6e1dde5b5a47cp-3
transfer_share,1835086333,0.2617768532050516,290,0x1.0c0f3b3d7642ep-2
transfer_share,1835086334,0.2378899345529514,290,0x1.e732d6879ebbdp-3
transfer_share,1835086335,0.17303754184824094,290,0x1.626181b9bf564p-3
transfer_share,1835086336,0.2071708493210893,290,0x1.a84930b426238p-3
transfer_share,1835086337,0.19772617544329243,290,0x1.94f17608bc9e9p-3
transfer_share,1835086338,0.29695590204943445,290,0x1.3015353ea041ap-2
transfer_share,1835086339,0.2658785084335711,290,0x1.104274a9b9cd8p-2
transfer_share,1835086340,0.30827623214426864,290,0x1.3bacc3bcc6633p-2
transfer_share,1835086341,0.25904099442887496,290,0x1.09420add94d30p-2
transfer_share,1835086342,0.38167851575648276,290,0x1.86d6bb9b0a26fp-2
transfer_share,1835086343,0.2989434045931525,290,0x1.321e384854774p-2
