kind,seed,steps_completed,final_population,successor_present,attack_succeeded,defense_fired,extinct,collapsed,elapsed_seconds
ATTACK,1835086199,300,351,False,True,True,False,False,28.66172799999913
BASELINE,1835086199,300,379,False,,False,False,False,56.21468509999977
BASELINE,1835086200,300,377,False,,False,False,False,57.18064289999893
BASELINE,1835086201,300,414,False,,False,False,False,57.91248809999888
BASELINE,1835086202,300,335,False,,False,False,False,57.910718899998756
BASELINE,1835086203,300,386,False,,False,False,False,58.553731699998025
BASELINE,1835086204,300,320,False,,False,False,False,57.396852100002434
BASELINE,1835086205,300,333,False,,False,False,False,58.69383690000177
BASELINE,1835086206,300,281,False,,False,False,False,62.27658439999868
BASELINE,1835086207,300,257,False,,False,False,False,60.2898432999973
BASELINE,1835086208,300,225,False,,False,False,True,60.132982700000866
BASELINE,1835086209,300,338,False,,False,False,False,60.170106400000805
BASELINE,1835086210,300,234,False,,False,False,True,61.21028070000102
BASELINE,1835086211,300,280,False,,False,False,False,60.67304850000073
BASELINE,1835086212,300,342,False,,False,False,False,61.337593299998844
BASELINE,1835086213,300,288,False,,False,False,False,61.54261369999949
BASELINE,1835086214,300,323,False,,False,False,False,67.04050550000102
BASELINE,1835086215,300,274,False,,False,False,False,67.02923939999891
BASELINE,1835086216,300,208,False,,False,False,True,66.22065809999913
BASELINE,1835086217,300,365,False,,False,False,False,67.9949379000027
BASELINE,1835086218,300,320,False,,False,False,False,66.8762639000015
BASELINE,1835086219,300,318,False,,False,False,False,65.47884659999909
BASELINE,1835086220,300,266,False,,False,False,False,65.88587910000206
BASELINE,1835086221,300,385,False,,False,False,False,66.4569018000002
BASELINE,1835086222,300,292,False,,False,False,False,67.76439630000095
BASELINE,1835086223,300,329,False,,False,False,False,67.67456810000294
BASELINE,1835086224,300,270,False,,False,False,False,66.11869780000052
BASELINE,1835086225,300,294,False,,False,False,False,66.38653720000002
BASELINE,1835086226,300,310,False,,False,False,False,66.7140701999997
BASELINE,1835086227,300,316,False,,False,False,False,67.29716619999817
BASELINE,1835086228,300,269,False,,False,False,False,66.55898410000009
BASELINE,1835086229,300,347,False,,False,False,False,55.64625689999957
BASELINE,1835086230,300,246,False,,False,False,False,55.06874930000049
BASELINE,1835086231,300,386,False,,False,False,False,54.57739510000101
BASELINE,1835086232,300,336,False,,False,False,False,54.75828990000082
BASELINE,1835086233,300,286,False,,False,False,False,53.85324430000037
BASELINE,1835086234,300,312,False,,False,False,False,53.61224559999755
BASELINE,1835086235,300,319,False,,False,False,False,53.65925259999858
BASELINE,1835086236,300,342,False,,False,False,False,51.84691639999801
BASELINE,1835086237,300,299,False,,False,False,False,51.742249300001276
BASELINE,1835086238,300,286,False,,False,False,False,51.55661619999955
