step,seed,kind,V,H_N,h_n_spectral,avg_wb,theta_capability,transfer_state,absorption_denominator,g,g_unfloored_ratio,g_pre_step,g_change_within_step,population,novelty_vector_count,psi_inst_stock,H_eff,H_E,U_sys,L_t,incumbent_capability,incumbent_generation,successor_present,total_suppression,adapter_active,adapter_score,defense_fired,action_modified,live_yield_evaluated,live_yield_margin,live_transition_cost,reference_T_incumbent,reference_T_successor,reference_theta_incumbent,reference_theta_successor,reference_margin,reference_transition_cost,reference_soft_condition,reference_hard_condition,reference_soft_only,g_star,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive
0,1835086222,BASELINE,0.014186608050407253,0.9857382343719029,0.9857382343719029,0.6401344195652658,0.5089971064011878,0.55,0.35207393076089627,1.4457108633438203,1.4457108633438203,1.5315501963170541,-0.08583933297323387,199,200,0.55,0.6278499476404332,0.2450921385818704,15.73365207095775,0.09667107649744314,1.0,1,False,0.614,False,0.0,False,False,False,,,1.0,0.4974428784667746,0.2799484085206533,0.1392583421567063,-3.886610624280428,4.286823210451209,True,True,False,1.0965735902799727,0.11246383001484776,0.10568833906171853,0.09613700323314728,0.27619836479330423,0.3091960135045454,0.10031644939243672,0.2,0.6
1,1835086222,BASELINE,0.016573796114861206,0.988545447365285,0.988545447365285,0.6568266571762127,0.511444978774044,0.5950000000000001,0.3908118610198466,1.3086731232757323,1.3086731232757323,1.4457108633438203,-0.137037740068088,198,199,0.5950000000000001,0.6428099716431068,0.08657498361567628,17.23150858426549,0.11638994308348202,1.0,1,False,0.614,False,0.0,False,False,False,,,1.0,0.6542936213355878,0.30430976237055624,0.1991079364292034,-3.2189236810677295,4.080558886539826,True,True,False,1.0965735902799727,0.0362215961614452,0.19785419377802996,0.060494271466055814,0.29121631056956354,0.3448969136522656,0.06931671437263996,0.2,0.6
2,1835086222,BASELINE,0.0,1.0,1.0,0.6706749276699376,0.5216570330526307,0.6319069050504411,0.42380411783883876,1.2308918462444074,1.2308918462444074,1.3086731232757323,-0.07778127703132487,207,198,0.6355000000000001,0.6941485501383854,0.28609792473719686,19.474669620323773,0.1454139741467337,1.0,1,False,1.0,False,0.0,False,False,False,,,1.0,0.7644210630930492,0.3296386812540835,0.25198275116083735,-2.7405122503569443,3.9198966672854842,True,True,False,1.0965735902799727,0.13480379021611064,0.16464900324272466,0.10437164271315622,0.2941495624470377,0.28203452525220546,0.01999147612876534,0.6,1.0
3,1835086222,BASELINE,0.1104321638290241,0.9877368544970069,0.9877368544970069,0.6814674036749346,0.5257077710408469,0.668716214545397,0.45570830252158223,1.1536058661471271,1.1536058661471271,1.2308918462444074,-0.07728598009728027,219,207,0.6697187923644145,0.7370559643741935,0.14821801945395696,21.64604394105154,0.17353185168698446,1.0,1,False,0.0,False,0.0,False,False,False,,,1.0,0.8922003609428518,0.3515493106075334,0.31365242181325204,-1.4965289449073291,3.799296503600445,True,True,False,1.0965735902799727,0.06416987051059603,0.22905459102372988,0.0382770557404762,0.26258541983824724,0.3276275662848357,0.07828549660211506,0.0,0.0
4,1835086222,BASELINE,0.0035851669114294934,0.9839925619406695,0.9839925619406695,0.6950906282282853,0.5303218624508836,0.7018445930908572,0.4878455991301492,1.087069071436683,1.087069071436683,1.1536058661471271,-0.06653679471044405,222,219,0.6959397810945159,0.759200048936943,0.16836259862812042,23.418771151934365,0.1966565334360518,1.0,1,False,0.8240000000000001,False,0.0,False,False,False,,,1.0,1.0191908597033388,0.372203531759026,0.37934643751810065,0.30191977118877855,3.7149093816753105,True,False,True,1.0965735902799727,0.07374349952598905,0.17418200012073948,0.01663852750811656,0.2417857634842861,0.3415105935196376,0.15213961584123123,0.8,0.6
5,1835086222,BASELINE,0.013179260827059947,0.9850049150727441,0.9850049150727441,0.7100994084181295,0.5444279204003025,0.7307559700741584,0.5189093820476762,1.0491772537469397,1.0491772537469397,1.087069071436683,-0.03789181768974337,224,222,0.7077421425094333,0.7833855763799582,0.38626511102971217,25.256083384446896,0.22057860666612777,1.0,1,False,0.656,False,0.0,False,False,False,,,1.0,1.0994308898597827,0.39784395310757975,0.43740193139040007,1.7545833548674452,3.6789664539181457,True,False,True,1.0965735902799727,0.19527688839953833,0.16977048825605584,0.0813042682919201,0.18816517965622256,0.2954791814619342,0.07000399393432913,0.4,0.6
6,1835086222,BASELINE,0.07901394426812478,0.9869163129385539,0.9869163129385539,0.7240502840519336,0.5595200029145764,0.727067839207213,0.5264336755030081,1.0628499447341666,1.0628499447341666,1.0491772537469397,0.013672690987226899,219,224,0.73696792825849,0.7824618552069185,0.4178611024827803,26.300965745436788,0.23458612169980014,1.0,1,False,0.22400000000000003,False,0.0,False,False,False,,,1.0,1.069773871498849,0.40680899951231453,0.43519363836886205,1.3094365485005135,3.5949172101195193,True,False,True,1.0965735902799727,0.21641848167861227,0.2502431046808234,0.07682570708581182,0.27832914535535186,0.14693733070235218,0.03124623049704834,0.8,0.0
7,1835086222,BASELINE,0.10876571065631382,0.9890261243769839,0.9890261243769839,0.7375602306923243,0.5598802430503135,0.7543610552864917,0.55638671396241,1.006278958501765,1.006278958501765,1.0628499447341666,-0.05657098623240153,218,219,0.763271135432641,0.7951183067372839,0.09900674614197591,27.964744969501748,0.2563214750181759,1.0,1,False,0.05600000000000001,False,0.0,False,False,False,,,1.0,1.1979230475796523,0.4223518509814919,0.505945016478656,4.058536262809202,3.524776115810014,False,False,False,1.0965735902799727,0.04170300351832387,0.18273924869103833,0.006388448013509599,0.2855512421458138,0.4470123934578538,0.03660566417346054,0.4,0.0
8,1835086222,BASELINE,0.00031947329407156877,0.9895033052992093,0.9895033052992093,0.7451872760668765,0.5688335537166403,0.7789249497578425,0.5804449615705753,0.9799956781044034,0.9799956781044034,1.006278958501765,-0.02628328039736172,223,218,0.7832633866156606,0.8221622790996238,0.3115784000400392,30.211210059725612,0.2853291841448728,1.0,1,False,0.95,False,0.0,False,False,False,,,1.0,1.2625782044290494,0.4430786472493091,0.5594214428648849,5.993686988032973,3.4746151033712227,False,False,False,1.0965735902799727,0.14934153523553245,0.17406490644916617,0.003879124550451003,0.25599711239219874,0.32537044509878277,0.09134687627386893,1.0,0.6
9,1835086222,BASELINE,0.08526955946134425,0.9890695229161821,0.9890695229161821,0.7538613357147663,0.5733233165399412,0.8010324547820583,0.6038673963128807,0.9494192268709375,0.9494192268709375,0.9799956781044034,-0.030576451233465862,221,223,0.8049370479540946,0.8239115051846975,0.2195288599241907,31.67726023242808,0.3045735609807563,1.0,1,False,0.2,False,0.0,False,False,False,,,1.0,1.3421982122928897,0.4592505836317801,0.6164053123450415,8.337942734659105,3.4230502485483876,False,False,False,1.0965735902799727,0.09914300636416123,0.20055984862179824,0.031073310898237567,0.2751606620618577,0.3258252711676473,0.06823790088629798,0.0,0.2
