arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
H,1835087605,0,200,0.9799385626089907,0.9862517812040724,0.040208456491425626,0.9799385626089907,0.09759502230705269,0.4,0.6548903838784684,0.5072803100834933,0.55,1.4083697962598327,203,0.09100387604366533,0.19756782669405612,0.029546496544652294,0.2136879746417321,0.4306560651490155,0.03753776092687848,0.0,0.4,False,False,0.0,2
H,1835087605,1,203,0.9724939253455597,0.9831291481489652,0.03603182936357617,0.9724939253455597,0.11428449973364531,0.4,0.6658128090265251,0.5111032670910295,0.5950000000000001,1.2901480354574064,199,0.052337156396385684,0.2460547809402626,0.05636146602883506,0.33203112099634113,0.30886185340051125,0.004353622237664311,0.0,0.4,False,False,0.0,0
H,1835087605,2,199,0.9897416100607567,0.9897430617777068,0.10692333848417471,0.9897416100607567,0.1339599404056981,0.014000000000000002,0.6784818020863352,0.518157680122601,0.6222318206868798,1.227358738258751,198,0.09511970482653777,0.2510950214029059,0.10185899053671503,0.27318068721947336,0.23365910343439875,0.0450864925799693,0.2,0.0,False,False,0.0,0
H,1835087605,3,198,0.9847556002574844,0.9858977451023171,0.053815238715585745,0.9847556002574844,0.1524636485037561,0.326,0.6921543159929004,0.5209303490473399,0.6600086386181918,1.1403209641193641,198,0.04600691163586259,0.21668606663639514,0.0432737366163879,0.2485349879280577,0.3057183200109764,0.13977997717232027,0.6,0.2,False,False,0.0,0
H,1835087605,4,198,0.9833523821740743,0.9880413774530088,0.04259043084179287,0.9833523821740743,0.17514181450159727,0.41400000000000003,0.7057122331198656,0.5275323604295877,0.6919551976187923,1.0802977811868135,202,0.09560661043268553,0.16878755334654066,0.074650163987919,0.24139076621445266,0.2897371143120985,0.1298277917063037,0.2,0.4,False,False,0.0,0
H,1835087605,5,202,0.9357614522297154,0.9812288223183347,0.02445184394187934,0.9357614522297154,0.18514998823462725,0.55,0.7147841462647262,0.5344617180360521,0.7227596778569131,1.034541165394122,201,0.10382469534929771,0.22095951575716363,0.006424950834065257,0.2587937085741951,0.32356804206370576,0.08642908742157258,1.0,0.2,False,False,0.0,0
H,1835087605,6,201,0.9845107343518483,0.9845653868424319,0.07800046265741457,0.9845107343518483,0.21706928981934784,0.22400000000000003,0.7233021980887616,0.5415136620548928,0.7496026839053419,0.9987539279256309,204,0.10968787400804066,0.2587009786576106,0.03902183166338588,0.24777613738310997,0.29559486917060074,0.049218309117252196,0.8,0.0,False,False,0.0,0
H,1835087605,7,204,0.9841058800268769,0.9866113753252596,0.04756773466799158,0.9841058800268769,0.2358414881015339,0.4,0.7338179800016277,0.5589557247769354,0.7556841264435541,1.0079726776243014,206,0.24397182280984048,0.21185332150347244,0.08128212677691668,0.21833136036775191,0.205208554643732,0.03935281389828638,0.0,0.4,False,False,0.0,0
H,1835087605,8,206,0.9561802110552173,0.9881182560308787,0.027319012739356052,0.9561802110552173,0.24787580132229114,0.55,0.7422789457658667,0.5589312769628073,0.7783970052081073,0.9673644295719597,207,0.036541730308982785,0.209689670110986,0.04464357777725113,0.2970445427385181,0.29140645704454304,0.12067402201971894,1.0,0.2,False,False,0.0,0
H,1835087605,9,207,0.9788609292041229,0.9791385476172952,0.06501933215445778,0.9788609292041229,0.27703123708740135,0.326,0.7553564047864467,0.5619020983991038,0.8005573046872966,0.9292152171439212,210,0.07396731605545967,0.17726313873296695,0.05249181017403004,0.25105912557207277,0.3121560088692238,0.13306260059624672,0.6,0.2,False,False,0.0,0
H,1835087605,10,210,0.9900588775812728,0.9900771859517745,0.08675032847392486,0.9900588775812728,0.29415584643516873,0.21400000000000002,0.7542445472565041,0.5738949156042537,0.820501574218567,0.927343814166204,208,0.1885990265638133,0.14385273188260336,0.005298180892282322,0.22929789404386433,0.3313612229149833,0.1015909437024533,0.2,0.2,False,False,0.0,0
H,1835087605,11,208,0.982425786050875,0.9824258460296776,0.1322291373537861,0.982425786050875,0.30938432204402366,0.05600000000000001,0.7595029757378355,0.595200169824041,0.8141907419365855,0.9625147796260654,209,0.3514804579182612,0.15659841818369488,0.044494746383232205,0.24924836298806913,0.178696625699376,0.019481388827366473,0.4,0.0,False,False,0.0,0
H,1835087605,12,209,0.989412383934821,0.9897622031896548,0.06326511083881728,0.989412383934821,0.3324275913479899,0.326,0.7662312976407776,0.5938982588530545,0.8322820480703119,0.9312829191579234,212,0.043226219002693377,0.2433946472941796,0.027652780934183052,0.29708568544327774,0.29755190163692496,0.09108876568874134,0.6,0.2,False,False,0.0,0
